Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Marseille (FR);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;25,00;137,50;184,38;137,50;134,38;100,00;1,79;58,93;92,86;153,57;53,57;121,43;70,00;105,00;115,00;40,00;47,83;71,74;5,43;9,00;35,00;19,00;5,00;12,00;3,00;3,00;3,00;2,00;1,00;6,00;1,00;1,00
2019-01-13;22,00;141,43;210,57;135,14;141,43;110,00;1,83;67,83;100,83;141,43;47,14;110,00;57,20;96,80;110,00;35,20;49,50;75,90;5,50;10,00;38,00;25,00;5,00;12,00;6,00;5,00;4,00;2,00;1,00;5,00;0,50;0,50
2019-01-20;22,00;128,86;191,71;141,43;141,43;93,08;1,69;72,77;89,69;135,14;44,00;103,71;48,40;88,00;105,60;35,20;52,80;74,80;6,60;8,00;34,00;19,00;4,00;11,00;2,00;4,00;2,00;2,00;1,00;4,00;1,00;1,00
2019-01-27;17,00;146,20;207,40;149,60;125,80;62,90;0,85;69,70;91,80;122,40;57,80;119,00;59,50;97,75;93,50;38,25;47,81;81,81;4,25;12,00;36,00;24,00;7,00;10,00;2,00;2,00;4,00;3,00;1,00;6,00;1,00;0,50
2019-02-03;15,00;123,00;159,00;135,00;105,00;58,13;1,88;75,00;106,88;131,25;56,25;138,75;65,00;135,00;115,00;50,00;50,36;73,93;6,43;10,00;36,00;23,00;5,00;9,00;2,00;6,00;2,00;3,00;1,00;8,00;0,50;1,00
2019-02-10;16,00;147,20;188,80;144,00;121,60;58,67;1,78;72,89;110,22;115,20;48,00;124,80;74,67;122,67;117,33;64,00;49,07;77,87;4,27;9,00;37,00;23,00;5,00;11,00;1,00;6,00;4,00;4,00;1,00;8,00;1,00;1,00
2019-02-17;18,00;138,00;162,00;135,00;99,00;59,40;1,80;72,00;102,60;140,40;61,20;144,00;63,00;108,00;103,50;49,50;50,82;66,71;8,47;8,00;34,00;23,00;8,00;9,00;1,00;5,00;4,00;2,00;0,50;8,00;0,50;0,50
2019-02-24;16,00;150,40;179,20;163,20;118,40;64,00;1,78;83,56;99,56;128,00;60,80;124,80;74,67;144,00;112,00;64,00;45,87;67,20;6,40;11,00;30,00;14,00;6,00;12,00;2,00;3,00;3,00;4,00;2,00;8,00;1,00;0,50
2019-03-03;17,00;166,60;207,40;166,60;129,20;66,11;1,89;79,33;117,11;149,60;74,80;146,20;79,33;141,67;130,33;68,00;58,93;71,40;7,93;7,00;36,00;24,00;10,00;18,00;2,00;4,00;3,00;3,00;2,00;8,00;0,50;1,00
2019-03-10;19,00;155,17;183,67;164,67;120,33;60,45;1,73;76,00;105,36;123,50;69,67;126,67;66,50;118,75;109,25;57,00;42,22;78,11;5,28;11,00;29,00;19,00;6,00;16,00;2,00;8,00;3,00;3,00;3,00;10,00;1,00;0,50
2019-03-17;21,00;147,00;180,00;171,00;108,00;64,75;1,75;71,75;108,50;143,50;63,00;143,50;84,00;136,50;115,50;63,00;50,84;82,89;6,63;13,00;35,00;23,00;6,00;11,00;2,00;6,00;5,00;3,00;2,00;9,00;1,00;1,00
2019-03-24;18,00;147,00;168,00;162,00;114,00;57,60;1,80;75,60;120,60;158,40;68,40;129,60;72,00;108,00;108,00;67,50;49,50;76,50;4,50;11,00;31,00;23,00;8,00;9,00;1,00;6,00;2,00;2,00;3,00;9,00;1,00;1,00
2019-03-31;23,00;164,29;177,43;161,00;157,71;107,92;1,77;72,54;115,00;180,71;65,71;157,71;78,20;119,60;105,80;59,80;52,57;64,62;6,57;12,00;31,00;22,00;8,00;10,00;4,00;3,00;3,00;4,00;3,00;4,00;1,00;0,50
2019-04-07;37,00;191,17;178,83;166,50;169,58;114,52;1,76;82,81;176,19;218,64;84,09;158,09;83,25;129,50;115,63;64,75;51,15;72,91;9,79;12,00;31,00;27,00;7,00;11,00;4,00;4,00;3,00;4,00;2,00;6,00;1,00;1,00
2019-04-14;35,00;318,18;168,64;200,45;168,64;113,75;1,75;75,25;148,75;276,50;70,00;150,50;95,00;170,00;150,00;95,00;44,84;80,94;6,56;15,00;39,00;22,00;9,00;11,00;5,00;4,00;5,00;3,00;2,00;6,00;1,00;0,50
2019-04-21;35,00;159,09;165,45;152,73;162,27;105,00;1,75;70,00;101,50;206,82;60,45;108,18;85,00;140,00;130,00;80,00;48,79;61,52;4,24;14,00;40,00;30,00;12,00;10,00;4,00;4,00;4,00;3,00;2,00;8,00;1,00;1,00
2019-04-28;29,00;151,44;170,78;148,22;164,33;117,81;1,81;70,69;97,88;206,22;61,22;125,67;87,00;159,50;116,00;72,50;52,63;62,30;6,44;15,00;45,00;29,00;10,00;9,00;4,00;3,00;4,00;3,00;2,00;6,00;0,50;0,50
2019-05-05;27,00;158,63;192,38;141,75;182,25;108,00;1,80;91,80;97,20;189,00;64,13;128,25;81,00;156,60;129,60;64,80;54,00;68,04;6,48;13,00;38,00;18,00;8,00;12,00;5,00;6,00;5,00;2,00;2,00;7,00;1,00;1,00
2019-05-12;31,00;155,00;170,50;139,50;151,90;111,94;1,72;70,61;98,17;186,00;62,00;127,44;82,67;149,83;124,00;77,50;48,10;65,21;8,55;14,00;37,00;23,00;6,00;11,00;5,00;6,00;3,00;1,00;1,00;6,00;1,00;1,00
2019-05-19;27,00;168,75;155,25;155,25;162,00;115,20;1,80;68,40;102,60;192,38;60,75;121,50;63,00;135,00;108,00;67,50;51,84;66,96;11,88;15,00;41,00;35,00;7,00;19,00;5,00;5,00;3,00;3,00;2,00;5,00;2,00;1,00
2019-05-26;35,00;159,09;155,91;143,18;162,27;99,75;3,50;77,00;94,50;220,50;66,50;133,00;185,00;155,00;135,00;85,00;53,59;67,81;9,84;15,00;41,00;33,00;9,00;13,00;3,00;5,00;5,00;2,00;3,00;13,00;2,00;1,00
2019-06-02;39,00;175,50;178,75;146,25;162,50;101,05;1,77;69,14;92,18;198,25;58,50;117,00;107,25;307,13;112,13;73,13;48,75;63,92;9,75;15,00;41,00;29,00;9,00;9,00;3,00;6,00;4,00;5,00;2,00;6,00;1,00;1,00
2019-06-09;38,00;174,17;164,67;148,83;161,50;106,76;1,81;66,95;104,95;224,55;65,64;124,36;76,00;152,00;128,25;76,00;52,11;58,63;7,60;17,00;49,00;27,00;9,00;12,00;6,00;6,00;5,00;4,00;2,00;7,00;2,00;1,00
