Semaine;Nice (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA)
2019-04-21;46,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;22,00;6,00;10,00;6,00;0,00;2,00;4,00;4,00;4,00;15,00;4,00;0,00;49,00;29,00;0,00;54,00;18,00;0,00;14,00;33,00;169,85;0,00;0,00;0,00
2019-04-28;45,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;4,00;6,00;4,00;0,00;5,00;4,00;2,00;13,00;9,00;0,00;0,00;36,00;9,00;4,00;19,00;11,00;2,00;2,00;31,00;198,75;7,50;0,00;3,75
2019-05-05;48,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;6,00;10,00;6,00;2,00;0,00;2,00;0,00;10,00;13,00;6,00;0,00;18,00;21,00;4,00;37,00;2,00;0,00;8,00;25,00;177,23;7,38;0,00;7,38
2019-05-12;26,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;2,00;0,00;4,00;6,00;4,00;2,00;4,00;0,00;8,00;4,00;6,00;14,00;6,00;0,00;33,00;18,00;14,00;34,00;14,00;0,00;8,00;25,00;226,57;3,71;0,00;7,43
2019-05-19;62,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;19,00;4,00;21,00;4,00;0,00;4,00;2,00;4,00;8,00;9,00;8,00;0,00;30,00;19,00;15,00;41,00;6,00;0,00;4,00;30,00;196,94;7,29;0,00;3,65
2019-05-26;37,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;15,00;6,00;6,00;4,00;4,00;0,00;2,00;2,00;11,00;15,00;2,00;0,00;34,00;17,00;8,00;39,00;6,00;0,00;8,00;57,00;229,40;29,60;0,00;3,70
2019-06-02;46,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;13,00;2,00;4,00;6,00;0,00;2,00;4,00;4,00;6,00;15,00;2,00;0,00;43,00;15,00;9,00;31,00;6,00;0,00;8,00;47,00;194,62;7,08;0,00;3,54
2019-06-09;33,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;2,00;0,00;2,00;6,00;2,00;0,00;0,00;0,00;4,00;0,00;0,00;8,00;0,00;17,00;4,00;2,00;2,00;0,00;2,00;15,00;19,00;0,00;0,00;57,00;25,00;9,00;64,00;11,00;0,00;9,00;42,00;220,00;7,33;0,00;3,67
2019-06-16;58,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;2,00;4,00;0,00;4,00;10,00;8,00;10,00;8,00;6,00;4,00;2,00;0,00;10,00;27,00;6,00;2,00;51,00;20,00;10,00;30,00;10,00;0,00;4,00;41,00;235,63;7,25;0,00;7,25
2019-06-23;61,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;2,00;0,00;2,00;2,00;19,00;4,00;17,00;10,00;6,00;4,00;2,00;6,00;17,00;35,00;4,00;0,00;41,00;15,00;6,00;40,00;6,00;0,00;10,00;35,00;254,76;3,59;0,00;7,18
