Semaine;Nice (FR);Paris (FR);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;55,00;473,00;440,00;396,00;265,83;9,17;137,50;100,83;215,00;137,50;85,00;122,50;229,17;265,83;68,75;9,17;91,67;543,89;18,33;48,89;13,00;52,00;40,00;43,00;24,33;74,04;8,46;29,62;19,00;4,00;9,00;5,00;13,00;2,00;3,00
2019-01-13;56,00;407,27;371,64;366,55;252,00;9,33;140,00;102,67;203,64;137,45;81,45;112,00;224,00;233,33;60,67;14,00;93,33;510,22;18,67;37,33;18,00;36,00;37,00;43,00;22,19;75,02;11,62;28,53;15,00;9,00;7,00;5,00;12,00;2,00;1,00
2019-01-20;53,00;392,20;392,20;371,00;275,60;10,60;169,60;116,60;191,81;128,71;85,81;98,43;198,75;216,42;48,58;8,83;76,56;459,33;17,67;35,33;14,00;42,00;37,00;40,00;23,32;72,08;9,54;20,14;17,00;6,00;16,00;3,00;15,00;1,00;1,00
2019-01-27;49,00;375,67;359,33;364,78;215,60;9,80;156,80;107,80;180,53;121,21;87,68;116,05;178,18;196,00;49,00;8,91;91,88;514,50;18,38;42,88;17,00;40,00;33,00;42,00;23,43;78,83;7,46;24,50;14,00;6,00;10,00;5,00;11,00;2,00;0,00
2019-02-03;52,00;374,40;317,20;374,40;280,80;10,40;166,40;104,00;198,10;121,33;79,24;128,76;203,67;229,67;56,33;8,67;80,89;462,22;17,33;34,67;14,00;38,00;44,00;41,00;24,96;69,68;10,40;22,88;15,00;9,00;12,00;4,00;10,00;2,00;2,00
2019-02-10;51,00;367,20;311,10;367,20;234,60;10,20;163,20;102,00;191,25;127,50;81,60;124,95;194,73;213,27;64,91;4,64;82,88;490,88;19,13;38,25;17,00;38,00;39,00;41,00;21,25;58,44;6,38;25,50;17,00;7,00;8,00;4,00;12,00;3,00;1,00
2019-02-17;52,00;379,60;327,60;364,00;239,20;10,40;176,80;104,00;189,80;122,20;91,00;143,00;203,67;203,67;60,67;8,67;86,67;473,78;11,56;40,44;17,00;36,00;40,00;42,00;23,35;67,92;10,61;27,59;19,00;6,00;8,00;6,00;15,00;1,00;1,00
2019-02-24;53,00;371,00;296,80;392,20;265,00;10,60;190,80;116,60;169,10;126,19;83,29;131,24;194,33;198,75;53,00;4,42;82,44;424,00;17,67;35,33;16,00;32,00;38,00;34,00;21,20;56,18;7,42;23,32;14,00;6,00;9,00;4,00;10,00;2,00;3,00
2019-03-03;57,00;373,09;279,82;388,64;228,00;9,50;161,50;104,50;181,36;124,36;88,09;142,50;206,08;201,69;48,23;8,77;88,67;500,33;12,67;44,33;23,00;43,00;38,00;39,00;26,39;65,44;8,44;26,39;18,00;8,00;10,00;6,00;12,00;0,50;2,00
2019-03-10;66,00;396,00;313,50;423,50;226,29;9,43;160,29;103,71;175,15;119,31;88,85;129,46;180,40;215,60;57,20;13,20;84,00;438,00;12,00;42,00;19,00;39,00;33,00;45,00;24,48;61,74;6,39;24,48;15,00;5,00;9,00;1,00;12,00;2,00;2,00
2019-03-17;59,00;375,45;273,55;407,64;255,67;9,83;157,33;108,17;166,74;115,43;89,78;141,09;186,08;217,85;49,92;9,08;82,60;418,90;17,70;29,50;18,00;39,00;32,00;40,00;23,18;55,84;5,27;23,18;11,00;8,00;6,00;4,00;7,00;2,00;1,00
2019-03-24;58,00;332,18;258,36;379,64;232,00;9,67;154,67;106,33;168,96;98,35;93,30;123,57;182,92;218,62;40,15;8,92;81,20;406,00;17,40;40,60;18,00;35,00;43,00;35,00;26,36;51,67;9,49;23,20;14,00;6,00;6,00;5,00;16,00;1,00;1,00
2019-03-31;71,00;344,08;278,54;426,00;243,43;10,14;172,43;121,71;174,96;111,57;93,82;152,14;199,69;208,56;53,25;8,88;94,67;414,17;17,75;35,50;17,00;41,00;41,00;49,00;29,67;54,04;9,54;26,49;13,00;8,00;10,00;4,00;16,00;0,50;1,00
2019-04-07;82,00;399,75;292,13;440,75;276,75;10,25;184,50;112,75;210,13;130,69;105,06;153,75;205,00;259,67;68,33;9,11;93,71;427,57;17,57;46,86;23,00;36,00;33,00;45,00;21,03;50,46;12,62;24,18;17,00;12,00;14,00;4,00;13,00;2,00;1,00
2019-04-14;66,00;434,50;258,50;539,00;216,86;9,43;169,71;122,57;170,08;119,31;91,38;129,46;189,20;206,80;48,40;8,80;108,00;420,00;18,00;42,00;19,00;38,00;30,00;31,00;26,61;36,19;8,52;27,68;18,00;9,00;10,00;3,00;16,00;2,00;1,00
2019-04-21;69,00;334,38;233,54;435,23;216,86;9,86;167,57;108,43;148,22;107,33;79,22;143,11;193,20;225,40;55,20;9,20;94,09;445,36;12,55;37,64;21,00;32,00;37,00;43,00;23,35;44,58;9,55;28,66;13,00;9,00;7,00;6,00;15,00;1,00;1,00
2019-04-28;63,00;320,25;246,75;435,75;231,00;10,50;199,50;126,00;158,76;113,40;85,68;128,52;180,00;225,00;54,00;9,00;100,80;415,80;18,90;50,40;23,00;41,00;50,00;47,00;23,10;36,75;13,65;24,15;17,00;6,00;7,00;7,00;11,00;1,00;1,00
2019-05-05;82,00;328,00;271,63;492,00;235,75;10,25;1025,00;123,00;156,31;107,63;105,06;138,38;191,33;250,56;50,11;9,11;93,71;369,00;17,57;46,86;24,00;37,00;44,00;37,00;33,64;42,05;16,82;26,28;27,00;9,00;8,00;11,00;20,00;0,50;2,00
2019-05-12;83,00;337,19;223,06;440,94;228,25;10,38;363,13;114,13;143,36;110,67;103,12;128,27;179,83;230,56;55,33;9,22;100,79;385,36;17,79;35,57;20,00;44,00;36,00;43,00;23,11;42,03;12,61;26,27;16,00;7,00;10,00;4,00;20,00;1,00;2,00
2019-05-19;91,00;385,41;278,35;449,65;262,89;10,11;232,56;111,22;179,47;123,86;93,53;123,86;186,55;227,50;54,60;9,10;115,27;430,73;24,27;48,53;24,00;33,00;42,00;44,00;26,45;49,73;9,52;31,74;17,00;9,00;9,00;9,00;34,00;1,00;2,00
2019-05-26;76,00;390,86;282,29;439,71;209,00;9,50;522,50;104,50;154,53;119,07;86,13;144,40;259,29;210,12;62,59;8,94;120,33;449,67;19,00;44,33;27,00;41,00;39,00;38,00;25,33;39,06;11,61;26,39;15,00;7,00;12,00;5,00;32,00;3,00;3,00
2019-06-02;94,00;381,22;245,44;433,44;206,80;9,40;244,40;112,80;170,22;109,24;99,08;132,11;201,43;411,81;53,71;13,43;106,53;419,87;18,80;50,13;27,00;36,00;41,00;44,00;35,91;44,36;14,79;28,52;22,00;6,00;14,00;6,00;18,00;3,00;3,00
