Semaine;Chamonix (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT)
2019-04-21;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;32,40;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;18,00;9,00;9,00;0,00;27,00;0,00;0,00;9,00;0,00;36,00
2019-04-28;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,69;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;17,00;0,00;9,38;0,00;0,00;9,38;0,00;0,00;50,00;18,75;0,00;0,00;10,00;0,00;6,25;6,25;0,00;6,25
2019-05-05;26,00;0,00;0,00;0,00;0,00;8,00;0,00;8,00;9,29;16,71;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,67;0,00;0,00;0,00;0,00;0,00;26,00;8,67;0,00;0,00;10,40;0,00;13,00;6,50;0,00;6,50
2019-05-12;35,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;8,75;0,00;0,00;0,00;8,75;0,00;0,00;0,00;10,00;0,00;55,00;0,00;0,00;21,00;0,00;7,00
2019-05-19;34,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,44;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;9,00;0,00;0,00;27,82;0,00;9,27;9,27;9,27;0,00;18,55;0,00;19,43;9,71;43,71;9,71;13,60;6,80;0,00;6,80
2019-05-26;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,07;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,00;0,00;8,33;0,00;0,00;16,67;0,00;0,00;30,56;8,33;0,00;0,00;35,00;0,00;6,25;43,75;0,00;6,25
2019-06-02;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29,33;0,00;8,00;0,00;8,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;8,00
2019-06-09;25,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;32,14;0,00;0,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;16,67;8,33;16,67;8,33;0,00;0,00;8,33;16,67;0,00;0,00;10,00;10,00;0,00;12,50;0,00;25,00
2019-06-16;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;9,00;53,00;0,00;18,00;0,00;9,00;18,00;0,00;0,00;9,00;27,00;18,00;9,00;18,00;9,00;27,00;27,00;0,00;27,00
2019-06-23;55,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,48;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,68;0,00;26,05;17,37;18,33;0,00;45,83;0,00;6,88;34,38;0,00;34,38
