Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Flachau (AT);La Clusaz (FR);Zillertal (AT);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;78,00;7,09;7,09;2,84;56,73;6,00;8,00;13,00;1,00;15,00;5,00;76,00;55,00;17,00;5,00;10,00;8,00;18,00;0,00;9,00;6,00;3,00;4,00;10,00;0,00;4,00;5,00;13,00;6,00;1,00;3,00;0,00;0,00;3,00;4,00;1,00;0,00;0,00;0,00;0,00
2019-01-13;80,00;7,02;4,21;4,21;64,56;9,00;4,00;8,00;5,00;23,00;0,00;47,00;3,00;14,00;9,00;7,00;14,00;26,00;0,00;10,00;3,00;0,00;1,00;13,00;0,00;3,00;0,00;20,00;8,00;0,00;5,00;5,00;8,00;1,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;68,00;4,25;9,92;4,25;34,00;4,00;4,00;6,00;0,00;17,00;1,00;25,00;0,00;17,00;8,00;18,00;8,00;18,00;0,00;14,00;1,00;1,00;0,00;13,00;0,00;3,00;4,00;10,00;23,00;0,00;4,00;0,00;6,00;1,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;69,00;5,63;4,22;5,63;46,47;6,00;6,00;3,00;5,00;20,00;5,00;29,00;0,00;18,00;8,00;12,00;5,00;17,00;1,00;5,00;1,00;1,00;1,00;11,00;0,00;4,00;5,00;14,00;9,00;0,00;8,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;81,00;1,42;2,84;1,42;34,11;1,00;4,00;8,00;3,00;16,00;1,00;28,00;3,00;11,00;8,00;23,00;12,00;19,00;0,00;5,00;5,00;4,00;4,00;8,00;0,00;7,00;3,00;19,00;4,00;0,00;3,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;86,00;7,05;9,87;1,41;54,98;7,00;3,00;11,00;3,00;5,00;4,00;21,00;4,00;11,00;5,00;14,00;12,00;18,00;1,00;9,00;0,00;1,00;4,00;5,00;0,00;3,00;1,00;18,00;8,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;70,00;8,40;1,40;0,00;28,00;3,00;9,00;1,00;1,00;12,00;1,00;17,00;3,00;11,00;7,00;7,00;16,00;12,00;1,00;3,00;3,00;4,00;1,00;8,00;0,00;3,00;4,00;11,00;3,00;0,00;3,00;1,00;3,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;63,00;4,20;5,60;2,80;28,00;11,00;0,00;11,00;5,00;17,00;0,00;19,00;1,00;9,00;7,00;5,00;7,00;8,00;0,00;4,00;0,00;1,00;4,00;8,00;0,00;5,00;0,00;8,00;7,00;0,00;4,00;0,00;3,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;56,00;4,20;5,60;1,40;44,80;6,00;3,00;6,00;3,00;19,00;4,00;20,00;5,00;8,00;13,00;11,00;3,00;5,00;0,00;4,00;5,00;3,00;3,00;6,00;1,00;0,00;4,00;10,00;5,00;0,00;6,00;0,00;4,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;78,00;5,67;11,35;1,42;24,11;6,00;3,00;6,00;0,00;9,00;1,00;29,00;0,00;5,00;5,00;9,00;8,00;6,00;0,00;8,00;3,00;1,00;1,00;5,00;0,00;3,00;3,00;4,00;3,00;0,00;1,00;3,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;58,00;5,66;8,49;1,41;42,44;3,00;3,00;3,00;3,00;4,00;0,00;18,00;1,00;4,00;5,00;5,00;1,00;9,00;0,00;7,00;3,00;4,00;0,00;1,00;0,00;1,00;1,00;9,00;1,00;0,00;4,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
