Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;46,00;197,14;78,86;65,71;203,71;7,67;38,33;766,67;15,33;11,50;46,00;316,25;86,25;418,18;16,73;33,45;163,09;42,59;47,70;39,19;34,07;14,98;14,98;88,79;4,28;8,00;0,00;8,00;4,00;4,00;15,00;50,00;0,00;25,56;25,56;0,00;170,37;4,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;58,00;122,44;45,11;70,89;219,11;49,71;33,14;588,29;33,14;29,00;29,00;243,60;69,60;310,71;4,14;24,86;132,57;35,82;39,24;39,24;23,88;15,04;11,81;81,63;7,52;4,00;19,00;12,00;4,00;15,00;4,00;35,00;0,00;38,67;19,33;3,52;119,52;4,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;63,00;107,10;75,60;37,80;107,10;15,75;23,63;385,88;31,50;28,64;22,91;131,73;45,82;226,80;4,20;8,40;96,60;18,73;49,38;22,14;25,54;7,47;40,58;51,25;0,00;4,00;7,00;18,00;7,00;0,00;4,00;45,00;7,00;14,00;22,75;0,00;64,75;7,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;29,00;69,60;34,80;58,00;63,80;29,00;29,00;348,00;50,75;46,40;23,20;150,80;63,80;215,43;12,43;33,14;62,14;34,12;30,71;11,94;18,76;14,50;10,36;61,11;27,96;4,00;7,00;11,00;15,00;4,00;4,00;30,00;4,00;3,41;25,59;0,00;63,12;4,00;4,00;4,00;0,00;0,00;0,00;0,00
2019-02-03;31,00;74,40;55,80;55,80;93,00;15,50;15,50;341,00;15,50;18,60;24,80;192,20;43,40;212,57;4,43;35,43;84,14;15,50;31,00;27,56;8,61;7,48;11,76;68,41;0,00;4,00;4,00;4,00;11,00;8,00;8,00;19,00;0,00;34,44;22,39;3,44;49,94;11,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;35,00;119,00;35,00;49,00;161,00;8,75;17,50;446,25;17,50;17,50;35,00;151,67;58,33;323,75;0,00;26,25;96,25;35,00;31,67;18,33;15,00;15,31;19,69;74,38;0,00;0,00;4,00;11,00;12,00;8,00;4,00;23,00;0,00;31,50;19,25;0,00;87,50;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;47,00;127,57;67,14;53,71;107,43;39,17;23,50;423,00;31,33;11,75;17,63;146,88;35,25;260,64;8,55;47,00;64,09;11,75;52,04;31,89;11,75;16,02;4,27;89,73;4,27;0,00;8,00;8,00;16,00;8,00;0,00;35,00;0,00;27,85;12,19;0,00;64,41;12,00;8,00;0,00;4,00;0,00;0,00;0,00
2019-02-24;39,00;97,50;97,50;58,50;91,00;31,20;46,80;436,80;31,20;32,50;19,50;156,00;45,50;221,00;4,33;26,00;82,33;8,48;32,22;42,39;8,48;15,17;7,58;58,50;11,92;0,00;4,00;4,00;8,00;11,00;15,00;23,00;0,00;23,05;19,50;0,00;60,27;4,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;38,00;114,00;69,67;50,67;82,33;22,80;38,00;349,60;22,80;19,00;12,67;145,67;38,00;223,78;12,67;8,44;50,67;11,57;26,43;11,57;11,57;11,61;7,39;76,00;7,39;0,00;4,00;11,00;15,00;0,00;0,00;23,00;0,00;15,55;15,55;12,09;55,27;4,00;4,00;11,00;0,00;0,00;0,00;0,00
2019-03-10;23,00;76,67;138,00;46,00;130,33;30,67;15,33;329,67;23,00;28,75;23,00;201,25;57,50;239,20;0,00;4,60;87,40;19,46;28,31;19,46;12,38;3,29;10,95;58,05;0,00;0,00;7,00;4,00;11,00;4,00;7,00;4,00;0,00;0,00;15,92;0,00;47,77;0,00;4,00;4,00;0,00;0,00;0,00;0,00
2019-03-17;30,00;84,00;78,00;36,00;60,00;22,50;15,00;232,50;22,50;12,00;12,00;132,00;24,00;124,29;0,00;30,00;64,29;3,33;23,33;18,33;0,00;3,21;3,21;22,50;3,21;0,00;4,00;4,00;0,00;11,00;4,00;23,00;0,00;7,06;15,88;0,00;19,41;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;46,00;65,71;85,43;26,29;92,00;3,83;7,67;122,67;7,67;5,75;0,00;109,25;28,75;92,00;4,18;20,91;54,36;8,21;3,29;11,50;8,21;0,00;4,28;31,02;0,00;0,00;4,00;0,00;4,00;0,00;8,00;16,00;0,00;6,81;3,41;0,00;15,33;4,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;35,00;63,00;98,00;35,00;56,00;17,50;8,75;96,25;8,75;17,50;5,83;81,67;23,33;35,00;3,89;15,56;27,22;3,33;8,33;43,33;0,00;0,00;7,42;30,76;0,00;8,00;0,00;4,00;4,00;4,00;0,00;8,00;0,00;12,25;12,25;3,50;12,25;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;11,00;22,00;60,50;16,50;27,50;22,00;11,00;88,00;11,00;0,00;5,50;27,50;16,50;47,67;7,33;11,00;40,33;3,14;7,86;42,43;3,14;0,00;0,00;28,00;0,00;0,00;7,00;0,00;0,00;0,00;4,00;11,00;0,00;3,14;0,00;3,14;3,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;28,00;42,00;56,00;7,00;28,00;14,00;0,00;28,00;0,00;0,00;5,60;33,60;5,60;52,00;0,00;8,00;28,00;8,24;3,29;3,29;0,00;0,00;0,00;36,62;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;8,75;0,00;0,00;17,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;28,00;98,00;49,00;14,00;56,00;14,00;14,00;49,00;7,00;0,00;5,60;44,80;16,80;32,00;0,00;12,00;36,00;0,00;3,29;0,00;11,53;0,00;0,00;16,15;0,00;0,00;8,00;0,00;4,00;8,00;0,00;16,00;0,00;8,75;12,25;0,00;12,25;0,00;4,00;0,00;4,00;0,00;0,00;0,00
2019-04-28;7,00;77,00;77,00;7,00;49,00;7,00;3,50;77,00;3,50;0,00;7,00;28,00;21,00;45,50;3,50;7,00;21,00;0,00;0,00;15,75;3,50;3,00;0,00;21,00;3,00;0,00;0,00;0,00;4,00;0,00;0,00;7,00;0,00;10,50;3,50;0,00;22,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;34,00;20,40;81,60;0,00;13,60;4,25;8,50;59,50;8,50;0,00;0,00;28,33;17,00;25,50;0,00;4,25;25,50;0,00;0,00;0,00;0,00;0,00;0,00;15,35;0,00;0,00;0,00;0,00;0,00;4,00;0,00;8,00;0,00;10,74;10,74;0,00;16,11;0,00;0,00;4,00;0,00;0,00;0,00;0,00
