Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2020-05-17;13,00;10,40;5,20;35,10;0,00;0,00;15,00;6,00;0,00
2020-05-24;15,00;19,00;9,00;19,00;0,00;2,14;2,14;0,00;0,00
2020-05-31;20,00;28,89;24,44;33,33;0,00;4,00;10,00;8,00;0,00
2020-06-07;28,00;23,33;6,22;34,22;3,11;10,00;2,00;2,00;0,00
2020-06-14;100,00;4,00;6,00;35,00;0,00;6,00;6,00;4,00;2,00
2020-06-21;14,00;8,00;6,00;29,00;0,00;0,00;7,00;0,00;3,50
2020-06-28;22,00;13,00;0,00;17,00;0,00;0,00;5,50;16,50;11,00
2020-07-05;23,00;13,14;3,29;29,57;0,00;0,00;8,00;0,00;4,00
2020-07-12;9,00;21,00;12,00;49,50;3,00;0,00;2,00;2,00;0,00
2020-07-19;23,00;23,00;0,00;31,21;3,29;2,00;5,00;2,00;5,00
2020-07-26;16,00;11,43;11,43;26,29;4,57;2,00;4,00;0,00;2,00
2020-08-02;20,00;8,00;12,00;38,00;4,00;0,00;4,00;2,00;0,00
2020-08-09;26,00;16,00;2,00;36,00;2,00;0,00;6,93;3,47;3,47
2020-08-16;29,00;12,00;2,00;14,00;4,00;2,23;4,46;0,00;2,23
2020-08-23;22,00;36,67;7,33;51,33;7,33;2,00;7,00;2,00;7,00
2020-08-30;20,00;35,00;5,00;70,00;5,00;2,00;4,00;4,00;0,00
2020-09-06;38,00;14,71;12,26;63,74;0,00;0,00;0,00;0,00;7,00
2020-09-13;13,00;13,00;8,67;37,92;0,00;4,00;4,00;0,00;2,00
2020-09-20;20,00;15,56;2,22;26,67;0,00;4,00;9,00;4,00;0,00
2020-09-27;18,00;10,00;6,00;22,00;0,00;0,00;5,14;5,14;10,29
2020-10-04;12,00;12,00;6,00;41,00;0,00;0,00;15,43;0,00;6,86
2020-10-11;18,00;36,00;9,00;126,00;0,00;2,00;2,00;7,00;2,00
2020-10-18;10,00;12,00;2,00;23,00;0,00;2,22;0,00;0,00;2,22
2020-10-25;11,00;22,00;0,00;35,75;0,00;0,00;4,00;2,00;2,00
2020-11-01;12,00;7,64;2,18;12,00;2,18;0,00;4,00;2,00;4,00
2020-11-08;20,00;4,00;4,00;20,00;2,00;8,89;15,56;0,00;0,00
2020-11-15;16,00;14,00;2,00;14,00;2,00;2,46;4,92;2,46;2,46
2020-11-22;8,00;8,00;6,00;6,00;0,00;4,00;4,00;4,00;12,00
2020-11-29;18,00;6,00;14,00;24,00;0,00;2,40;2,40;0,00;2,40
2020-12-06;11,00;14,67;11,00;29,33;0,00;4,00;2,00;4,00;2,00
2020-12-13;16,00;10,00;4,00;32,00;0,00;10,67;5,33;34,67;0,00
2020-12-20;17,00;21,64;3,09;57,18;0,00;2,00;2,00;2,00;0,00
2020-12-27;26,00;26,00;7,09;22,45;0,00;2,00;0,00;5,00;0,00
2021-01-03;23,00;16,00;16,00;31,00;2,00;23,00;46,00;34,50;23,00
2021-01-10;20,00;21,67;6,67;51,67;0,00;16,00;2,00;8,00;2,00
2021-01-17;13,00;17,00;13,00;34,00;6,00;2,17;6,50;4,33;2,17
2021-01-24;15,00;15,00;13,00;40,00;2,00;0,00;0,00;3,00;3,00
2021-01-31;17,00;17,00;11,00;27,00;0,00;6,80;2,27;0,00;4,53
2021-02-07;12,00;10,00;2,00;36,00;0,00;2,00;4,00;0,00;0,00
2021-02-14;17,00;12,00;6,00;16,00;0,00;0,00;11,33;0,00;3,78
2021-02-21;19,00;28,50;14,25;49,88;0,00;0,00;2,00;2,00;0,00
2021-02-28;14,00;12,00;2,00;19,00;0,00;0,00;0,00;0,00;28,00
2021-03-07;13,00;19,00;10,00;23,00;0,00;0,00;6,50;3,25;9,75
2021-03-14;14,00;14,00;6,36;34,36;0,00;0,00;2,00;6,00;0,00
2021-03-21;10,00;16,67;6,67;26,67;0,00;2,00;2,00;0,00;2,00
2021-03-28;19,00;8,44;12,67;48,56;0,00;2,00;0,00;0,00;0,00
2021-04-04;6,00;8,00;0,00;16,00;0,00;3,00;3,00;3,00;0,00
2021-04-11;19,00;8,00;15,00;23,00;2,00;5,07;19,00;0,00;0,00
2021-04-18;17,00;17,00;2,00;17,00;0,00;0,00;8,50;4,25;0,00
2021-04-25;14,00;8,00;4,00;27,00;2,00;2,15;4,31;0,00;2,15
2021-05-02;22,00;0,00;4,89;53,78;0,00;0,00;0,00;2,00;0,00
2021-05-09;10,00;22,00;6,00;12,00;2,00;0,00;10,00;0,00;2,22
2021-05-16;16,00;6,40;6,40;29,87;0,00;2,00;2,00;0,00;0,00
2021-05-23;10,00;10,00;8,00;28,00;8,00;0,00;6,67;3,33;3,33
2021-05-30;14,00;11,20;14,00;26,60;2,80;0,00;0,00;0,00;5,00
2021-06-06;18,00;6,00;8,00;20,00;2,00;5,54;12,46;2,77;0,00
2021-06-13;27,00;0,00;6,00;35,00;0,00;7,71;15,43;15,43;0,00
2021-06-20;16,00;14,00;12,00;26,00;6,00;4,92;29,54;2,46;0,00
2021-06-27;12,00;18,00;6,00;37,00;2,00;2,18;4,36;2,18;2,18
2021-07-04;32,00;7,68;7,68;37,12;0,00;0,00;20,00;0,00;0,00
2021-07-11;23,00;10,82;0,00;33,82;5,41;2,00;0,00;2,00;0,00
