Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;51,00;5,00;1,00;12,00;8,00;7,00;1,00;15,00;2,00;4,86;1,21;36,43;34,00;42,00;0,00;12,00;10,00;2,13;0,00;95,63;0,00;0,00;5,00;1,00;4,00;1,00;0,00;1,00;3,00;4,00;13,00;2,00;4,00;1,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;27,00;4,00;0,00;10,00;11,00;2,00;1,00;9,00;2,00;2,45;1,23;12,27;36,82;8,00;1,00;3,00;5,00;4,15;0,00;64,38;2,08;1,00;6,00;2,00;1,00;0,00;0,00;1,00;0,00;2,00;16,00;1,00;3,00;4,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;48,00;7,00;2,00;6,00;8,00;2,00;4,00;4,00;0,00;0,00;1,20;7,20;19,20;3,00;0,00;3,00;4,00;2,18;2,18;104,73;2,18;1,00;4,00;0,00;1,00;2,00;0,00;1,00;2,00;2,00;14,00;2,00;9,00;5,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;23,00;3,00;3,00;8,00;5,00;1,00;1,00;4,00;1,00;1,28;0,00;7,67;28,11;3,00;0,00;1,00;5,00;0,00;1,05;85,73;2,09;0,00;0,00;0,00;5,00;1,00;0,00;2,00;1,00;1,00;13,00;0,00;9,00;1,00;0,00;1,00;2,00;1,00;0,00;0,00;0,00;0,00
2019-02-03;35,00;2,00;6,00;6,00;6,00;1,00;1,00;4,00;0,00;1,25;0,00;10,00;22,50;3,00;2,00;7,00;3,00;2,19;0,00;59,06;0,00;1,00;3,00;0,00;6,00;0,00;2,00;1,00;2,00;4,00;5,00;0,00;10,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;35,00;3,00;6,00;12,00;6,00;3,00;2,00;3,00;1,00;1,25;0,00;5,00;27,50;2,00;3,00;8,00;1,00;2,19;0,00;76,56;0,00;2,00;4,00;0,00;5,00;1,00;1,00;0,00;1,00;2,00;2,00;2,00;3,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;24,00;7,00;5,00;7,00;6,00;1,00;2,00;6,00;0,00;2,40;0,00;12,00;21,60;2,00;2,00;7,00;1,00;4,36;2,18;87,27;0,00;0,00;5,00;1,00;5,00;1,00;0,00;6,00;0,00;2,00;5,00;1,00;3,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;34,00;5,00;8,00;10,00;11,00;0,00;0,00;4,00;0,00;2,43;1,21;4,86;26,71;1,00;0,00;10,00;2,00;2,13;0,00;76,50;2,13;0,00;7,00;2,00;1,00;2,00;1,00;1,00;0,00;1,00;7,00;3,00;3,00;3,00;0,00;0,00;0,00;8,00;0,00;0,00;1,00;0,00
2019-03-03;43,00;7,00;5,00;10,00;7,00;1,00;2,00;4,00;1,00;0,00;1,19;9,56;26,28;2,00;1,00;5,00;2,00;2,15;2,15;66,65;2,15;0,00;1,00;0,00;4,00;0,00;2,00;2,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;1,00;1,00;8,00;0,00;0,00;0,00;0,00
2019-03-10;31,00;2,00;13,00;5,00;8,00;6,00;3,00;7,00;0,00;2,38;1,19;9,54;33,38;2,00;2,00;7,00;7,00;2,07;0,00;47,53;0,00;0,00;3,00;0,00;3,00;0,00;0,00;3,00;2,00;1,00;4,00;0,00;2,00;1,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
