Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;16,00;144,00;134,40;60,80;86,40;78,55;2,91;61,09;88,73;42,67;109,33;138,67;61,33;53,33;64,00;64,00;16,00;35,20;46,93;29,87;57,60;8,53;53,33;19,20;10,67;12,80;5,33;59,73;5,33;6,40;8,53;1,07;4,00;1,00;0,00
2019-01-13;26,00;130,00;136,50;61,75;100,75;66,44;2,89;70,78;72,22;44,20;91,00;161,20;62,40;47,27;63,82;61,45;21,27;30,00;36,00;22,00;41,00;8,00;35,00;25,00;17,00;8,00;7,00;63,00;6,00;5,00;4,00;2,00;8,32;3,12;1,04
2019-01-20;28,00;157,50;150,50;80,50;126,00;85,40;2,80;68,60;71,40;48,36;73,82;160,36;50,91;56,00;45,82;45,82;20,36;28,00;37,33;26,96;43,56;9,33;56,00;29,04;14,52;12,44;10,37;58,07;3,11;5,19;5,19;2,07;6,00;4,00;1,00
2019-01-27;16,00;147,20;153,60;86,40;80,00;52,00;1,33;70,67;69,33;38,86;89,14;130,29;59,43;36,57;50,29;48,00;20,57;37,00;33,00;17,00;43,00;9,00;46,00;23,00;10,00;9,00;3,00;67,00;4,00;3,00;4,00;1,00;10,00;2,00;0,00
2019-02-03;14,00;164,50;126,00;70,00;94,50;53,20;1,40;71,40;68,60;42,00;88,67;142,33;60,67;51,33;67,67;60,67;23,33;38,00;50,00;21,00;49,00;9,00;68,00;23,00;17,00;14,00;0,00;58,00;2,00;5,00;2,00;6,00;4,00;2,00;1,00
2019-02-10;20,00;150,00;140,00;63,33;73,33;68,57;4,29;74,29;77,14;40,00;87,50;147,50;62,50;57,50;67,50;55,00;30,00;50,00;42,00;21,00;35,00;15,00;47,00;21,00;16,00;13,00;3,00;52,00;2,00;1,00;3,00;5,00;8,00;0,00;2,00
2019-02-17;25,00;153,13;140,63;62,50;90,63;51,39;0,00;66,67;68,06;45,00;105,00;135,00;70,00;47,50;62,50;57,50;20,00;41,00;36,00;24,00;44,00;11,00;50,00;22,00;14,00;9,00;4,00;35,00;4,00;4,00;2,00;2,00;6,25;3,13;1,04
2019-02-24;21,00;178,50;161,00;77,00;105,00;54,00;3,00;87,00;88,50;49,88;118,13;147,00;70,88;55,13;70,88;55,13;36,75;33,60;31,50;31,50;42,00;13,65;52,50;25,20;19,95;11,55;7,35;48,30;3,15;7,35;8,40;5,25;6,00;4,00;1,00
2019-03-03;22,00;150,86;147,71;69,14;69,14;58,67;1,47;79,20;89,47;39,11;102,67;136,89;63,56;56,22;66,00;61,11;26,89;20,95;41,90;24,10;54,48;9,43;44,00;27,24;7,33;18,86;0,00;78,57;2,10;8,38;6,29;4,19;8,00;5,00;1,00
2019-03-10;25,00;150,00;134,38;75,00;100,00;51,39;1,39;77,78;65,28;47,50;92,50;137,50;72,50;54,55;63,64;45,45;25,00;35,00;43,00;32,00;52,00;14,00;56,00;16,00;24,00;13,00;3,00;59,00;5,00;4,00;5,00;2,00;5,00;3,00;3,00
2019-03-17;24,00;161,14;116,57;82,29;96,00;62,12;4,24;62,12;81,88;50,40;100,80;148,80;79,20;52,80;69,60;50,40;21,60;36,00;34,00;23,00;45,00;12,00;49,00;18,00;18,00;8,00;1,00;71,00;3,00;6,00;7,00;5,00;6,00;4,00;1,00
2019-03-24;28,00;189,00;147,00;84,00;119,00;59,11;3,11;79,33;79,33;44,80;100,80;154,00;72,80;50,91;81,45;53,45;28,00;39,20;45,92;25,76;49,28;19,04;56,00;24,64;23,52;8,96;1,12;72,80;0,00;6,72;2,24;4,48;6,00;2,00;1,00
2019-03-31;36,00;163,64;127,64;68,73;127,64;78,92;2,77;74,77;102,46;54,00;108,00;200,57;84,86;60,00;76,80;55,20;33,60;45,00;42,00;35,00;42,00;21,00;50,00;26,00;12,00;14,00;5,00;59,00;3,00;6,00;3,00;6,00;9,00;6,00;4,00
2019-04-07;48,00;192,00;134,40;92,80;144,00;90,35;4,24;62,12;97,41;80,84;133,89;199,58;63,16;50,40;96,00;76,80;38,40;48,00;40,85;54,13;54,13;17,36;64,34;29,62;14,30;18,38;8,17;66,38;5,11;10,21;4,09;4,09;10,00;4,00;3,00
2019-04-14;49,00;294,00;176,40;88,20;150,27;112,97;5,44;77,58;70,78;88,20;120,05;237,65;83,30;58,33;116,67;77,00;65,33;45,00;53,00;58,00;40,00;20,00;74,00;20,00;12,00;10,00;4,00;82,00;3,00;8,00;6,00;8,00;14,00;14,00;2,00
2019-04-21;39,00;175,50;143,00;78,00;152,75;93,32;2,79;84,96;84,96;73,13;119,44;204,75;75,56;65,81;97,50;65,81;56,06;43,00;40,00;45,00;43,00;13,00;68,00;28,00;11,00;18,00;7,00;81,00;3,00;7,00;3,00;5,00;9,24;5,13;3,08
2019-04-28;39,00;152,75;139,75;74,75;143,00;83,57;2,79;83,57;80,79;83,20;101,40;171,60;65,00;68,25;92,63;73,13;53,63;43,11;43,11;23,61;34,89;14,37;60,55;26,68;17,45;14,37;5,13;65,68;4,11;6,16;3,08;2,05;8,00;4,00;1,00
2019-05-05;31,00;137,78;151,56;79,22;130,89;84,14;2,95;144,67;88,57;54,25;98,17;170,50;56,83;46,50;90,42;64,58;33,58;42,76;33,14;20,31;59,86;12,83;45,97;24,59;18,17;14,97;3,21;76,97;5,34;4,28;7,48;5,34;11,00;4,00;1,00
2019-05-12;35,00;149,55;111,36;54,09;117,73;135,80;2,80;100,80;98,00;52,50;105,00;172,50;52,50;60,00;92,50;67,50;35,00;51,47;28,82;24,71;47,35;18,53;52,50;32,94;16,47;10,29;7,21;70,00;8,24;5,15;8,24;5,15;5,00;2,00;0,00
2019-05-19;36,00;163,64;114,55;62,18;108,00;82,08;2,88;89,28;76,32;56,57;100,29;174,86;59,14;55,20;81,60;64,80;33,60;48,34;42,17;39,09;47,31;14,40;69,94;20,57;14,40;19,54;9,26;66,86;3,09;4,11;5,14;8,23;9,00;3,00;3,00
2019-05-26;61,00;157,32;141,26;57,79;118,79;80,41;1,39;87,34;77,64;63,54;88,96;188,08;63,54;109,80;80,52;68,32;56,12;40,00;39,00;43,00;33,00;12,00;64,00;17,00;18,00;16,00;7,00;60,00;3,00;4,00;5,00;3,00;21,35;9,15;2,03
2019-06-02;35,00;168,64;133,64;60,45;117,73;68,60;0,00;81,20;79,80;52,50;87,50;192,50;70,00;67,67;126,00;63,00;23,33;41,00;35,00;33,00;42,00;17,00;54,00;30,00;19,00;20,00;4,00;68,00;6,00;5,00;8,00;3,00;9,00;6,00;0,00
2019-06-09;48,00;150,86;120,00;65,14;133,71;64,94;2,82;57,88;77,65;53,05;101,05;166,74;50,53;48,00;80,84;63,16;30,32;50,09;46,96;33,39;48,00;12,52;58,43;26,09;17,74;14,61;11,48;76,17;6,26;8,35;5,22;4,17;6,00;7,00;1,00
2019-06-16;49,00;143,73;124,13;45,73;120,87;56,00;5,60;58,80;79,80;67,05;82,53;188,26;56,74;66,15;83,30;51,45;29,40;47,00;37,00;33,00;42,00;21,00;50,00;32,00;15,00;8,00;10,00;75,00;4,00;9,00;9,00;6,00;10,21;5,10;2,04
2019-06-23;42,00;151,85;103,38;58,15;135,69;73,86;2,90;76,76;81,10;52,50;110,25;175,88;76,13;64,24;81,53;56,82;27,18;44,05;32,78;30,73;36,88;18,44;53,27;32,78;15,37;12,29;7,17;60,44;7,17;9,22;3,07;3,07;13,00;3,00;1,00
2019-06-30;47,00;157,79;117,50;67,14;124,21;64,09;2,85;58,39;58,39;62,67;94,00;167,11;49,61;47,00;76,68;44,53;24,74;39,85;36,78;38,83;41,89;20,43;47,00;24,52;11,24;12,26;5,11;69,48;6,13;10,22;7,15;6,13;6,00;1,00;5,00
2019-07-07;51,00;153,00;137,06;66,94;127,50;70,30;2,76;62,03;86,84;76,50;114,75;173,40;76,50;68,00;114,14;55,86;31,57;59,00;33,00;38,00;49,00;19,00;61,00;37,00;22,00;12,00;4,00;77,00;6,00;10,00;5,00;2,00;8,16;4,08;2,04
2019-07-14;54,00;165,18;139,76;66,71;133,41;72,00;4,15;67,85;98,31;69,43;102,86;198,00;72,00;54,00;115,36;63,82;36,82;64,00;36,00;37,00;47,00;22,00;54,00;28,00;15,00;14,00;5,00;71,00;5,00;14,00;7,00;5,00;13,00;2,00;5,00
2019-07-21;63,00;172,42;142,58;72,95;152,53;64,40;1,40;65,80;78,40;65,52;110,88;176,40;52,92;65,42;113,88;60,58;43,62;64,00;44,00;26,00;59,00;21,00;61,00;40,00;14,00;18,00;3,00;67,00;7,00;9,00;7,00;5,00;9,15;8,13;2,03
2019-07-28;54,00;175,50;141,75;87,75;158,63;73,89;5,68;59,68;96,63;66,86;118,29;187,71;54,00;66,27;98,18;68,73;36,82;40,75;41,77;37,70;60,11;21,40;56,04;33,62;23,43;18,34;6,11;69,28;6,11;6,11;8,15;6,11;13,00;8,00;3,00
2019-08-04;43,00;158,77;138,92;66,15;135,62;74,90;1,39;66,58;69,35;48,06;78,41;144,18;73,35;62,11;71,67;64,50;35,83;45,05;50,17;39,93;37,88;22,52;50,17;18,43;17,40;15,36;7,17;72,69;7,17;13,31;5,12;5,12;12,00;3,00;2,00
2019-08-11;48,00;147,20;124,80;60,80;121,60;61,71;2,74;68,57;80,91;58,11;101,05;146,53;58,11;40,80;91,20;62,40;36,00;44,00;22,00;31,00;45,00;21,00;62,00;19,00;17,00;17,00;8,00;61,00;2,00;9,00;6,00;5,00;7,00;1,00;1,00
2019-08-18;45,00;151,07;138,21;70,71;118,93;61,88;2,81;70,31;71,72;50,00;90,00;157,50;55,00;56,84;68,68;59,21;33,16;40,00;33,00;30,00;44,00;15,00;54,00;22,00;20,00;13,00;11,00;49,00;2,00;5,00;6,00;2,00;8,00;4,00;0,00
2019-08-25;41,00;164,00;119,58;54,67;133,25;74,93;1,41;79,17;69,28;56,38;84,56;153,75;69,19;50,65;84,41;55,47;38,59;34,85;42,03;33,83;45,10;18,45;44,08;21,53;24,60;14,35;10,25;51,25;7,18;5,13;5,13;3,08;10,00;5,00;1,00
2019-09-01;41,00;170,31;138,77;69,38;119,85;76,53;4,10;64,23;83,37;64,06;117,88;179,38;84,56;67,53;84,41;65,12;41,00;46,00;58,00;33,00;44,00;15,00;45,00;17,00;17,00;14,00;4,00;60,00;1,00;12,00;7,00;4,00;8,20;5,13;2,05
2019-09-08;41,00;181,08;167,42;71,75;116,17;76,34;0,00;82,00;84,83;71,75;117,88;176,81;74,31;48,69;99,94;69,19;51,25;39,98;42,03;45,10;46,13;13,33;62,53;20,50;20,50;16,40;6,15;73,80;8,20;5,13;3,08;5,13;9,00;6,00;3,00
2019-09-15;37,00;191,73;154,73;74,00;114,36;93,92;4,27;83,96;59,77;61,67;120,87;194,87;83,87;59,20;91,27;59,20;56,73;50,00;42,00;28,00;44,00;13,00;73,00;18,00;11,00;13,00;5,00;70,00;8,00;5,00;4,00;4,00;3,00;6,00;2,00
