Semaine;Nice (FR);Paris (FR);London (GB);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;40,00;880,00;900,00;440,00;220,00;12,00;172,00;256,00;288,89;302,22;106,67;186,67;182,86;125,71;120,00;17,14;88,70;116,52;13,91;59,13;20,00;100,00;48,57;74,29;14,19;45,16;28,39;55,48;9,00;9,00;5,00;6,00;15,00;1,00;3,00
2019-01-13;46,00;598,00;613,33;306,67;221,64;20,91;188,18;267,64;188,18;284,36;112,91;158,91;138,00;109,25;112,13;14,38;83,15;146,85;17,69;70,77;21,56;115,00;66,13;79,06;21,03;36,80;38,11;64,40;7,00;11,00;4,00;1,00;16,00;1,00;4,00
2019-01-20;44,00;528,00;601,33;264,00;228,00;24,00;172,00;228,00;206,80;246,40;114,40;180,40;146,67;93,87;85,07;11,73;84,48;139,04;22,88;38,72;19,07;83,60;67,47;49,87;12,00;34,67;36,00;37,33;5,00;10,00;15,00;1,00;9,00;1,00;1,00
2019-01-27;18,00;666,00;756,00;360,00;220,50;9,00;180,00;292,50;175,50;324,00;144,00;211,50;138,00;93,00;117,00;18,00;54,00;118,80;19,80;77,40;15,00;109,50;52,50;72,00;20,57;34,71;6,43;23,14;9,00;10,00;6,00;7,00;8,00;0,00;1,00
2019-02-03;23,00;897,00;943,00;460,00;239,20;13,80;188,60;257,60;188,60;317,40;133,40;225,40;155,25;77,63;97,75;14,38;53,08;113,23;12,38;51,31;20,13;80,50;60,38;71,88;12,18;44,65;4,06;50,06;5,00;15,00;4,00;3,00;9,00;3,00;4,00
2019-02-10;24,00;912,00;912,00;384,00;204,00;20,00;188,00;256,00;148,00;284,00;144,00;184,00;174,00;111,00;108,00;21,00;44,57;118,29;18,86;66,86;22,59;94,59;45,18;55,06;13,33;22,67;2,67;49,33;5,00;7,00;7,00;11,00;9,00;0,00;0,00
2019-02-17;29,00;507,50;594,50;304,50;232,00;12,43;182,29;290,00;169,86;256,86;132,57;207,14;150,80;107,30;104,40;17,40;56,19;121,44;50,75;58,00;21,75;91,35;47,85;46,40;17,14;31,64;3,95;51,41;15,00;12,00;5,00;4,00;18,00;1,00;1,00
2019-02-24;36,00;774,00;774,00;342,00;216,00;16,00;240,00;232,00;156,00;228,00;112,00;176,00;135,00;135,00;105,00;6,00;55,80;135,00;9,00;57,60;28,80;79,20;64,80;47,52;23,14;24,43;7,71;42,43;12,00;7,00;4,00;3,00;4,00;1,00;1,00
2019-03-03;33,00;676,50;709,50;330,00;189,75;12,38;301,13;255,75;152,63;239,25;148,50;193,88;129,00;123,00;81,00;12,00;55,58;128,53;12,16;50,37;18,65;84,65;64,57;50,22;17,16;42,24;6,60;33,00;13,00;4,00;13,00;3,00;11,00;0,00;4,00
2019-03-10;31,00;620,00;635,50;341,00;220,88;19,38;178,25;267,38;163,86;243,57;146,14;208,14;124,00;93,00;87,36;19,73;56,83;144,67;37,89;82,67;32,41;81,73;78,91;46,50;11,63;55,54;9,04;51,67;16,00;12,00;5,00;5,00;9,00;1,00;0,00
