Semaine;Nice (FR);Paris (FR);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;55,00;467,50;434,50;396,00;265,83;9,17;137,50;110,00;220,00;141,43;86,43;125,71;233,75;261,25;73,33;9,17;91,67;556,11;18,33;48,89;14,00;55,00;38,00;45,00;22,83;74,72;9,34;31,13;20,00;5,00;9,00;5,00;13,00;2,00;3,00
2019-01-13;56,00;397,09;361,45;366,55;252,00;9,33;140,00;102,67;201,09;137,45;76,36;112,00;211,08;215,38;56,00;8,62;84,00;476,00;16,80;33,60;19,00;35,00;38,00;42,00;20,74;72,59;11,41;29,04;16,00;9,00;6,00;4,00;12,00;2,00;1,00
2019-01-20;54,00;394,20;399,60;372,60;280,80;10,80;172,80;118,80;192,86;128,57;84,86;100,29;202,50;220,50;54,00;9,00;84,00;492,00;18,00;42,00;13,00;41,00;37,00;40,00;22,85;70,62;9,35;19,73;17,00;5,00;17,00;3,00;14,00;1,00;1,00
2019-01-27;49,00;370,22;343,00;364,78;215,60;9,80;147,00;107,80;180,53;123,79;87,68;116,05;187,09;196,00;49,00;8,91;98,00;526,75;18,38;42,88;17,00;41,00;34,00;40,00;21,44;75,54;6,13;22,46;14,00;6,00;8,00;5,00;11,00;2,00;0,00
2019-02-03;50,00;400,00;327,78;394,44;270,00;10,00;170,00;100,00;200,00;122,50;80,00;127,50;213,64;227,27;59,09;9,09;93,75;512,50;18,75;37,50;15,00;37,00;45,00;45,00;23,96;70,83;10,42;25,00;14,00;9,00;12,00;4,00;11,00;2,00;2,00
2019-02-10;50,00;411,11;338,89;394,44;230,00;10,00;160,00;110,00;185,00;132,50;80,00;120,00;190,91;218,18;63,64;4,55;72,22;438,89;16,67;33,33;17,00;39,00;36,00;42,00;21,43;56,12;6,12;24,49;16,00;7,00;9,00;4,00;12,00;3,00;1,00
2019-02-17;53,00;381,60;328,60;365,70;243,80;10,60;180,20;106,00;186,76;118,62;93,38;136,29;207,58;207,58;61,83;8,83;88,33;500,56;11,78;41,22;16,00;36,00;38,00;42,00;22,86;66,51;9,35;28,06;19,00;6,00;8,00;7,00;15,00;2,00;1,00
2019-02-24;53,00;365,70;296,80;392,20;254,40;10,60;190,80;116,60;169,10;123,67;83,29;133,76;194,33;203,17;57,42;4,42;82,44;441,67;17,67;35,33;16,00;34,00;36,00;34,00;22,42;56,06;7,13;23,44;14,00;7,00;9,00;5,00;10,00;2,00;3,00
2019-03-03;57,00;373,09;274,64;383,45;228,00;9,50;161,50;104,50;178,77;126,95;88,09;142,50;206,08;201,69;52,62;8,77;79,80;444,60;11,40;39,90;24,00;43,00;37,00;38,00;25,91;67,36;9,33;26,95;18,00;9,00;11,00;5,00;11,00;1,00;2,00
2019-03-10;64,00;384,00;304,00;410,67;219,43;9,14;155,43;100,57;174,08;117,76;89,60;133,12;187,43;224,00;59,43;13,71;87,27;442,18;11,64;40,73;17,00;42,00;35,00;45,00;23,74;62,97;6,19;24,77;15,00;5,00;9,00;3,00;12,00;2,00;2,00
2019-03-17;60,00;392,73;278,18;420,00;260,00;10,00;160,00;110,00;174,78;120,00;96,52;143,48;189,23;221,54;55,38;9,23;84,00;438,00;18,00;36,00;18,00;38,00;32,00;40,00;23,79;55,86;6,21;22,76;12,00;7,00;6,00;4,00;8,00;2,00;1,00
2019-03-24;59,00;337,91;257,45;386,18;236,00;9,83;157,33;108,17;171,87;102,61;97,48;130,83;190,62;222,38;45,38;9,08;88,50;424,80;17,70;41,30;18,00;36,00;40,00;37,00;24,84;53,82;9,32;23,81;16,00;5,00;5,00;5,00;16,00;1,00;1,00
2019-03-31;71,00;338,62;284,00;420,54;233,29;10,14;172,43;121,71;172,43;111,57;93,82;149,61;199,69;213,00;53,25;8,88;100,58;431,92;17,75;41,42;17,00;40,00;42,00;48,00;29,84;52,48;10,29;26,75;15,00;9,00;9,00;6,00;16,00;1,00;1,00
2019-04-07;81,00;415,80;302,40;464,40;273,38;10,13;182,25;121,50;202,50;129,09;103,78;146,81;207,00;256,50;67,50;9,00;92,57;433,93;17,36;46,29;23,00;40,00;33,00;46,00;20,51;52,29;10,25;24,61;16,00;11,00;14,00;3,00;14,00;2,00;1,00
