Semaine;Nice (FR);reta (SI);Agadir (MA);Djerba (TN);Corfu (GR);Santorini Island (GR);Faro (PT);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;38,00;0,00;38,00;3,17;41,17;107,09;41,45;4,75;57,00;76,00;4,75;11,00;8,00;3,00;1,00;12,67;2,81;30,96;4,22;0,00;19,00;0,00;3,00;3,00;1,00;0,00;0,00;3,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;28,00;0,00;32,00;3,11;34,22;140,00;24,50;4,67;56,00;65,33;9,33;8,17;9,33;8,17;3,50;18,20;8,40;30,80;5,60;0,00;4,00;2,00;0,00;3,00;0,00;0,00;1,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;36,00;0,00;25,00;12,52;42,26;111,27;32,73;9,00;72,00;54,00;4,50;11,31;3,09;4,11;1,03;13,85;1,38;38,77;4,15;0,00;2,00;2,00;5,00;0,00;0,00;0,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;30,00;0,00;29,00;12,63;28,42;136,67;30,00;10,00;60,00;70,00;10,00;6,00;8,00;5,00;0,00;22,86;5,71;44,29;1,43;1,88;1,88;3,75;5,00;3,00;1,00;1,00;1,00;6,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;27,00;0,00;34,00;9,53;30,18;121,50;40,50;9,00;63,00;72,00;9,00;4,15;10,38;5,19;3,12;9,95;11,37;28,42;4,26;0,00;3,86;1,93;3,00;0,00;1,00;1,00;0,00;0,00;4,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-02-10;28,00;0,00;29,00;3,11;31,11;147,00;49,00;0,00;102,67;93,33;4,67;7,26;4,15;4,15;4,15;30,80;9,80;44,80;5,60;0,00;2,00;2,00;3,00;3,00;0,00;0,00;3,00;3,00;4,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-02-17;34,00;0,00;29,75;5,10;47,60;149,60;34,00;8,50;76,50;102,00;25,50;9,00;7,00;12,00;7,00;25,13;4,43;38,43;5,91;4,25;2,13;0,00;6,38;0,00;1,06;1,06;1,06;0,00;3,19;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;19,00;0,00;28,00;3,17;50,67;136,17;63,33;9,50;85,50;85,50;4,75;12,67;7,39;11,61;3,17;19,00;9,50;36,64;5,43;0,00;1,90;0,00;4,00;4,00;0,00;3,00;4,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;29,00;0,00;32,00;11,28;40,28;167,56;45,11;9,67;106,33;96,67;9,67;10,36;15,54;7,25;6,21;21,75;7,25;43,50;4,35;0,00;4,14;4,14;1,00;3,00;3,00;1,00;2,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-03-10;30,00;0,00;22,00;4,74;44,21;163,33;46,67;10,00;70,00;100,00;5,00;10,34;8,28;8,28;4,14;31,43;15,71;47,14;5,71;0,00;7,50;0,00;4,00;1,00;0,00;4,00;5,00;3,00;4,00;0,00;1,00;0,00;0,00;0,00;0,00
