Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Marseille (FR);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;23,00;147,86;197,14;141,29;141,29;93,77;1,77;58,38;90,23;141,29;49,29;108,43;64,40;96,60;105,80;36,80;49,29;70,10;5,48;10,00;37,00;19,00;6,00;13,00;3,00;3,00;3,00;3,00;1,00;6,00;1,00;1,00
2019-01-13;21,00;157,50;234,50;150,50;157,50;112,64;1,91;66,82;105,00;157,50;52,50;122,50;68,25;120,75;131,25;42,00;50,84;77,37;5,53;11,00;38,00;26,00;5,00;12,00;5,00;5,00;4,00;3,00;1,00;5,00;0,50;0,50
2019-01-20;21,00;120,00;183,00;135,00;135,00;94,50;1,75;73,50;89,25;150,50;45,50;115,50;63,00;105,00;126,00;42,00;51,95;76,26;7,74;8,00;36,00;19,00;4,00;11,00;3,00;4,00;2,00;2,00;2,00;4,00;1,00;1,00
2019-01-27;18,00;158,40;216,00;162,00;133,20;64,80;0,90;72,00;93,60;133,20;61,20;126,00;67,50;99,00;99,00;45,00;51,75;84,38;5,63;11,00;35,00;24,00;7,00;11,00;2,00;3,00;4,00;3,00;1,00;6,00;1,00;1,00
2019-02-03;14,00;143,50;185,50;157,50;122,50;52,50;1,75;68,25;96,25;126,00;52,50;129,50;65,33;126,00;107,33;46,67;49,54;74,31;6,46;10,00;35,00;23,00;6,00;9,00;2,00;7,00;3,00;3,00;1,00;7,00;1,00;1,00
2019-02-10;17,00;156,40;197,20;149,60;125,80;60,44;1,89;75,56;111,44;125,80;47,60;129,20;79,33;130,33;124,67;68,00;54,40;80,47;5,67;9,00;36,00;22,00;5,00;11,00;1,00;6,00;4,00;4,00;1,00;8,00;0,50;1,00
2019-02-17;18,00;138,00;162,00;135,00;96,00;61,20;1,80;68,40;100,80;136,80;64,80;147,60;63,00;108,00;108,00;49,50;52,88;73,13;11,25;7,00;36,00;23,00;7,00;9,00;1,00;5,00;3,00;3,00;0,50;9,00;1,00;1,00
2019-02-24;16,00;150,40;179,20;160,00;118,40;64,00;1,78;80,00;96,00;128,00;57,60;121,60;74,67;144,00;112,00;64,00;45,87;67,20;5,33;11,00;30,00;15,00;8,00;13,00;2,00;4,00;3,00;4,00;2,00;8,00;1,00;0,50
2019-03-03;18,00;180,00;219,60;176,40;136,80;61,20;1,80;72,00;106,20;158,40;79,20;151,20;67,50;112,50;103,50;54,00;58,50;70,88;7,88;7,00;36,00;25,00;10,00;20,00;2,00;4,00;3,00;3,00;2,00;10,00;0,50;1,00
2019-03-10;20,00;163,33;196,67;163,33;123,33;61,82;1,82;80,00;109,09;133,33;73,33;133,33;70,00;130,00;115,00;60,00;44,44;81,11;5,56;10,00;31,00;18,00;6,00;17,00;2,00;7,00;3,00;2,00;2,00;10,00;1,00;0,50
