Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Marseille (FR);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;24,00;150,86;205,71;147,43;147,43;99,69;1,85;60,92;96,00;144,00;51,43;113,14;67,20;100,80;110,40;38,40;49,09;69,82;5,45;10,00;37,00;20,00;6,00;12,00;3,00;3,00;3,00;3,00;1,00;6,00;1,00;1,00
2019-01-13;22,00;141,43;207,43;135,14;141,43;108,17;1,83;64,17;99,00;168,67;51,33;128,33;71,50;126,50;137,50;49,50;50,60;78,10;5,50;11,00;38,00;25,00;5,00;11,00;5,00;5,00;4,00;2,00;1,00;5,00;0,50;0,50
2019-01-20;22,00;125,71;191,71;138,29;141,43;100,83;1,83;78,83;95,33;135,14;44,00;103,71;52,80;92,40;105,60;39,60;49,24;72,29;7,33;8,00;36,00;20,00;4,00;11,00;3,00;4,00;2,00;3,00;2,00;4,00;1,00;1,00
2019-01-27;18,00;154,80;216,00;158,40;133,20;64,80;0,90;73,80;95,40;133,20;61,20;126,00;63,00;99,00;99,00;40,50;51,75;83,25;4,50;11,00;35,00;24,00;7,00;11,00;2,00;4,00;4,00;3,00;1,00;6,00;1,00;1,00
2019-02-03;14,00;143,50;185,50;157,50;119,00;52,50;1,75;68,25;98,00;126,00;52,50;129,50;60,67;126,00;107,33;46,67;49,54;75,38;6,46;10,00;36,00;23,00;6,00;9,00;2,00;7,00;3,00;3,00;1,00;7,00;1,00;1,00
2019-02-10;16,00;147,20;185,60;140,80;118,40;56,89;1,78;71,11;104,89;118,40;44,80;121,60;74,67;117,33;117,33;64,00;50,13;75,73;4,27;9,00;36,00;23,00;5,00;11,00;1,00;6,00;4,00;4,00;1,00;8,00;1,00;1,00
2019-02-17;18,00;162,00;190,80;162,00;115,20;61,20;1,80;70,20;100,80;136,80;64,80;144,00;63,00;108,00;103,50;49,50;52,88;73,13;11,25;8,00;36,00;23,00;7,00;9,00;1,00;5,00;3,00;3,00;0,50;9,00;1,00;1,00
2019-02-24;17,00;159,80;190,40;173,40;125,80;68,00;1,89;85,00;103,89;132,60;61,20;129,20;79,33;153,00;119,00;68,00;48,73;72,53;5,67;11,00;30,00;15,00;8,00;12,00;2,00;4,00;3,00;4,00;2,00;8,00;1,00;0,50
2019-03-03;18,00;176,40;219,60;172,80;136,80;63,00;1,80;72,00;108,00;158,40;79,20;151,20;67,50;112,50;103,50;54,00;58,50;72,00;7,88;7,00;36,00;24,00;10,00;20,00;2,00;4,00;3,00;3,00;2,00;10,00;0,50;1,00
2019-03-10;20,00;160,00;196,67;160,00;123,33;63,64;1,82;78,18;110,91;130,00;73,33;130,00;70,00;130,00;115,00;60,00;43,33;82,22;6,67;11,00;30,00;19,00;6,00;17,00;2,00;8,00;3,00;2,00;3,00;10,00;1,00;0,50
