Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Flachau (AT);La Clusaz (FR);Zillertal (AT);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;68,00;5,79;7,23;2,89;60,77;8,50;6,38;12,75;1,06;15,00;5,00;78,00;53,00;15,00;7,00;13,00;7,00;19,00;0,00;9,00;7,00;2,00;4,00;9,00;0,00;4,00;7,00;12,00;8,00;1,00;2,00;0,00;1,00;2,00;4,00;1,00;0,00;0,00;0,00;0,00
2019-01-13;72,00;5,76;4,32;2,88;63,36;9,67;3,22;8,60;4,30;24,00;0,00;45,00;2,00;13,00;10,00;8,00;14,00;27,00;0,00;11,00;2,00;0,00;1,00;12,00;0,00;4,00;0,00;20,00;7,00;0,00;5,00;6,00;7,00;1,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;64,00;2,91;10,18;2,91;34,91;3,25;4,34;6,51;0,00;18,00;2,00;26,00;0,00;15,00;7,00;17,00;7,00;20,00;0,00;14,00;1,00;1,00;0,00;13,00;0,00;2,00;4,00;11,00;22,00;0,00;4,00;0,00;6,00;1,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;61,00;5,81;2,90;4,36;46,48;7,49;7,49;3,21;4,28;21,00;5,00;34,00;0,00;22,00;8,00;13,00;6,00;16,00;1,00;5,00;1,00;1,00;1,00;13,00;0,00;5,00;5,00;14,00;9,00;0,00;8,00;10,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;72,00;4,32;2,88;1,44;33,12;2,12;3,18;7,41;2,12;17,00;1,00;27,00;2,00;10,00;9,00;22,00;11,00;17,00;0,00;6,00;7,00;4,00;5,00;9,00;0,00;6,00;2,00;17,00;6,00;0,00;2,00;1,00;4,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;81,00;5,79;8,68;1,45;52,07;6,39;2,13;9,59;2,13;6,00;4,00;22,00;4,00;10,00;6,00;12,00;11,00;20,00;1,00;9,00;0,00;1,00;4,00;5,00;0,00;2,00;1,00;17,00;7,00;0,00;0,00;1,00;1,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;66,00;8,61;2,87;0,00;25,83;2,13;9,58;1,06;3,19;14,00;1,00;19,00;2,00;12,00;7,00;9,00;16,00;11,00;1,00;6,00;2,00;4,00;1,00;9,00;0,00;4,00;4,00;11,00;4,00;0,00;2,00;1,00;2,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;53,00;4,30;4,30;2,86;28,65;8,48;0,00;9,54;5,30;17,00;0,00;22,00;1,00;8,00;7,00;5,00;8,00;10,00;0,00;4,00;0,00;1,00;4,00;7,00;0,00;5,00;0,00;8,00;6,00;0,00;4,00;0,00;4,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;57,00;2,92;7,31;2,92;45,31;8,60;3,23;6,45;2,15;17,00;3,00;20,00;5,00;7,00;12,00;10,00;2,00;5,00;0,00;3,00;6,00;2,00;2,00;6,00;1,00;0,00;3,00;10,00;5,00;0,00;6,00;0,00;3,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;80,00;4,29;11,43;1,43;22,86;7,47;2,13;7,47;0,00;9,00;1,00;33,00;0,00;6,00;5,00;9,00;7,00;6,00;0,00;9,00;2,00;1,00;1,00;5,00;0,00;2,00;2,00;5,00;2,00;0,00;1,00;2,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;53,00;4,30;7,16;2,86;40,11;2,12;3,18;2,12;2,12;5,00;0,00;18,00;1,00;9,00;5,00;5,00;1,00;10,00;0,00;9,00;2,00;4,00;0,00;1,00;0,00;1,00;1,00;12,00;2,00;0,00;4,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;47,00;4,41;4,41;0,00;32,31;5,34;1,07;1,07;1,07;5,00;2,00;7,00;1,00;10,00;10,00;5,00;5,00;5,00;1,00;0,00;2,00;0,00;0,00;6,00;0,00;1,00;4,00;5,00;4,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-03-31;45,00;5,81;4,35;0,00;23,23;3,21;2,14;6,43;1,07;8,00;0,00;12,00;0,00;8,00;10,00;8,00;4,00;12,00;0,00;4,00;2,00;0,00;2,00;4,00;0,00;4,00;1,00;8,00;2,00;0,00;1,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;35,00;1,46;1,46;1,46;20,42;3,18;2,12;2,12;2,12;11,00;1,00;6,00;0,00;5,00;10,00;3,00;5,00;7,00;0,00;3,00;7,00;0,00;2,00;1,00;0,00;2,00;0,00;3,00;3,00;0,00;1,00;0,00;1,00;1,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-04-14;47,00;5,70;7,12;2,85;25,64;1,07;0,00;4,27;0,00;13,00;0,00;20,00;1,00;3,00;7,00;7,00;4,00;1,00;0,00;1,00;0,00;0,00;0,00;4,00;0,00;3,00;1,00;0,00;4,00;1,00;3,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
