Semaine;Nice (FR);Paris (FR);London (GB);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;43,00;630,67;659,33;315,33;227,90;12,90;176,30;275,20;279,50;292,40;107,50;180,60;180,60;123,27;120,40;14,33;89,58;121,83;14,33;59,13;21,50;104,43;55,29;78,32;17,47;45,69;29,56;57,78;9,00;9,00;5,00;5,00;15,00;3,00;3,00
2019-01-13;44,00;572,00;601,33;308,00;228,80;22,00;189,20;277,20;193,60;294,80;114,40;167,20;143,73;111,47;114,40;14,67;84,48;147,84;17,60;70,40;21,24;118,34;66,76;77,38;22,67;36,00;37,33;66,67;8,00;11,00;4,00;3,00;16,00;1,00;4,00
2019-01-20;43,00;516,00;587,67;258,00;240,80;25,80;180,60;240,80;206,40;236,50;111,80;172,00;146,20;88,87;83,13;11,47;84,28;137,60;22,36;41,28;19,28;80,07;65,24;47,45;13,03;32,58;35,18;36,48;5,00;10,00;15,00;3,00;9,00;1,00;1,00
2019-01-27;18,00;666,00;738,00;360,00;220,50;9,00;175,50;292,50;171,00;324,00;148,50;216,00;138,00;93,00;117,00;18,00;55,80;122,40;21,60;77,40;13,50;108,00;51,00;70,50;19,29;33,43;6,43;21,86;9,00;10,00;6,00;6,00;8,00;1,00;1,00
2019-02-03;22,00;880,00;924,00;440,00;224,40;8,80;176,00;242,00;176,00;308,00;127,60;215,60;145,75;71,50;93,50;16,50;54,15;108,31;11,85;52,46;19,07;79,20;61,60;71,87;11,65;42,71;3,88;46,59;5,00;14,00;4,00;4,00;9,00;3,00;4,00
2019-02-10;24,00;936,00;912,00;384,00;200,00;20,00;184,00;244,00;148,00;284,00;144,00;184,00;177,00;108,00;108,00;24,00;44,57;125,14;18,86;68,57;22,50;99,00;46,50;54,00;14,67;24,00;4,00;50,67;5,00;7,00;7,00;11,00;9,00;0,00;0,00
2019-02-17;28,00;504,00;574,00;294,00;216,00;12,00;168,00;276,00;160,00;244,00;132,00;200,00;145,60;100,80;98,00;16,80;57,75;119,00;52,50;57,75;20,63;88,42;48,63;42,74;16,55;26,73;3,82;48,36;15,00;12,00;5,00;4,00;18,00;3,00;1,00
2019-02-24;37,00;795,50;795,50;370,00;213,78;16,44;238,44;234,33;160,33;234,33;123,33;180,89;130,92;125,23;99,62;5,69;56,38;135,67;10,57;54,62;29,60;76,96;63,64;48,84;23,79;25,11;7,93;43,61;12,00;7,00;4,00;4,00;4,00;1,00;1,00
2019-03-03;33,00;693,00;709,50;330,00;185,63;8,25;305,25;251,63;152,63;235,13;148,50;202,13;132,00;123,00;81,00;12,00;57,32;133,74;12,16;52,11;18,00;84,00;64,50;49,50;17,16;40,92;6,60;33,00;13,00;4,00;13,00;3,00;11,00;0,00;4,00
2019-03-10;31,00;635,50;635,50;341,00;252,43;22,14;199,29;305,57;168,29;243,57;146,14;203,71;124,00;95,82;87,36;19,73;58,56;148,11;39,61;82,67;32,48;84,14;79,71;44,29;11,63;51,67;9,04;49,08;16,00;12,00;5,00;6,00;9,00;1,00;0,00
2019-03-17;22,00;770,00;792,00;374,00;198,00;8,80;154,00;246,40;162,80;242,00;140,80;180,40;112,75;99,00;66,00;8,25;58,67;111,83;7,33;69,67;19,07;83,60;46,93;57,20;19,41;28,47;3,88;38,82;9,00;12,00;4,00;5,00;12,00;8,00;0,00
2019-03-24;29,00;580,00;551,00;275,50;190,57;8,29;169,86;248,57;140,86;273,43;149,14;182,29;130,50;118,90;92,80;17,40;54,59;148,41;8,53;66,53;33,58;80,89;61,05;44,26;18,45;26,36;2,64;58,00;11,00;5,00;1,00;4,00;17,00;3,00;0,00
