Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;16,00;92,44;7,11;0,00;7,11;30,00;8,00;8,00;21,00;39,00;5,00;5,00;5,00;6,40;32,00;8,00;1,60;1,00;3,00;1,00;3,00;5,00;4,00;7,00;6,00;0,00;1,00;1,00;0,00;3,00;3,00;1,00;1,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;25,00;92,86;3,57;0,00;10,71;31,00;13,00;5,00;15,00;37,00;7,00;13,00;6,00;4,69;21,88;7,81;4,69;1,00;6,00;4,00;2,00;6,00;4,00;4,00;4,00;0,00;0,00;1,00;1,00;1,00;3,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;28,00;85,87;11,20;0,00;5,60;26,00;13,00;7,00;24,00;33,00;10,00;16,00;4,00;6,59;23,06;3,29;0,82;1,00;4,00;1,00;1,00;10,00;4,00;9,00;4,00;1,00;0,00;1,00;1,00;1,00;3,00;1,00;1,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;16,00;97,78;5,33;0,00;3,56;24,00;16,00;7,00;21,00;35,00;6,00;10,00;8,00;3,20;20,80;6,40;4,80;2,00;3,00;5,00;0,00;7,00;2,00;7,00;6,00;0,00;0,00;1,00;0,00;1,00;1,00;1,00;1,00;0,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;15,00;93,75;7,50;0,00;9,38;26,00;8,00;8,00;28,00;37,00;8,00;21,00;6,00;8,33;25,00;8,33;1,67;2,00;4,00;5,00;2,00;3,00;5,00;2,00;3,00;0,00;1,00;2,00;0,00;2,00;6,00;2,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00
2019-02-10;19,00;98,80;9,50;0,00;11,40;23,00;14,00;12,00;22,00;33,00;9,00;10,00;3,00;6,91;22,45;10,36;3,45;2,00;4,00;3,00;2,00;9,00;5,00;9,00;3,00;0,00;2,00;2,00;2,00;3,00;1,00;1,00;0,00;0,00;0,00;2,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00
2019-02-17;25,00;92,31;9,62;0,00;9,62;20,00;16,00;9,00;19,00;27,00;9,00;12,00;5,00;3,33;25,00;11,67;3,33;5,00;5,00;0,00;1,00;7,00;3,00;9,00;8,00;0,00;1,00;0,00;1,00;3,00;2,00;1,00;2,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;20,00;85,45;5,45;0,00;5,45;24,00;14,00;8,00;23,00;33,00;6,00;6,00;8,00;6,15;27,69;9,23;3,08;4,00;3,00;3,00;3,00;5,00;3,00;9,00;3,00;0,00;0,00;1,00;1,00;2,00;4,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00
2019-03-03;22,00;86,17;7,33;0,00;5,50;24,00;14,00;9,00;27,00;27,00;9,00;12,00;7,00;8,46;27,08;13,54;3,38;3,00;3,00;7,00;2,00;4,00;4,00;5,00;6,00;0,00;0,00;1,00;0,00;4,00;1,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00
2019-03-10;25,00;92,86;7,14;0,00;12,50;14,00;13,00;10,00;19,00;36,00;10,00;4,00;12,00;6,67;36,67;5,00;1,67;5,00;4,00;4,00;4,00;7,00;4,00;5,00;7,00;0,00;1,00;3,00;0,00;5,00;3,00;1,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;25,00;89,29;3,57;0,00;8,93;25,00;9,00;6,00;16,00;38,00;11,00;6,00;7,00;10,00;46,67;3,33;1,67;2,00;2,00;6,00;2,00;8,00;7,00;7,00;6,00;0,00;0,00;1,00;1,00;2,00;3,00;0,00;1,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;27,00;102,60;5,40;0,90;3,60;24,00;21,00;5,00;14,00;40,00;8,00;11,00;4,00;9,53;19,06;11,12;0,00;3,00;5,00;5,00;2,00;5,00;8,00;10,00;4,00;0,00;1,00;1,00;1,00;3,00;4,00;2,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;36,00;96,63;7,58;0,00;9,47;36,00;21,00;8,00;11,00;52,00;4,00;8,00;9,00;9,82;26,18;4,91;6,55;1,00;3,00;4,00;2,00;8,00;5,00;11,00;5,00;0,00;0,00;1,00;0,00;5,00;1,00;0,00;1,00;1,00;1,00;1,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;47,00;126,54;5,42;0,00;9,04;25,00;19,00;5,00;16,00;45,00;6,00;14,00;5,00;11,34;35,66;14,59;4,86;8,00;6,00;4,00;3,00;11,00;10,00;7,00;5,00;0,00;1,00;0,00;1,00;9,00;4,00;1,00;1,00;1,00;0,00;0,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00
2019-04-14;50,00;144,44;7,41;0,00;9,26;42,00;21,00;11,00;12,00;39,00;18,00;13,00;9,00;11,67;30,00;15,00;5,00;7,00;10,00;5,00;8,00;10,00;8,00;8,00;8,00;0,00;0,00;2,00;0,00;7,00;4,00;4,00;1,00;3,00;1,00;0,00;0,00;2,00;1,00;0,00;0,00;0,00;0,00
2019-04-21;39,00;130,00;9,29;0,00;7,43;39,00;19,00;7,00;27,00;43,00;10,00;17,00;6,00;11,38;32,50;3,25;1,63;3,00;7,00;6,00;3,00;8,00;11,00;8,00;8,00;0,00;1,00;0,00;2,00;2,00;1,00;1,00;3,00;2,00;1,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00
2019-04-28;40,00;121,82;7,27;0,00;10,91;39,00;19,00;10,00;17,00;38,00;14,00;12,00;6,00;11,20;27,20;11,20;3,20;4,00;6,00;3,00;1,00;14,00;7,00;9,00;5,00;0,00;0,00;1,00;1,00;1,00;6,00;2,00;0,00;3,00;1,00;0,00;1,00;1,00;1,00;1,00;1,00;0,00;0,00
