Semaine;Nice (FR);Paris (FR);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;54,00;469,80;442,80;399,60;313,20;10,80;162,00;129,60;218,57;141,43;87,43;126,00;234,00;256,50;72,00;9,00;90,00;546,00;18,00;48,00;14,00;55,00;40,00;45,00;23,29;75,18;9,53;31,76;20,00;5,00;10,00;5,00;14,00;2,00;3,00
2019-01-13;57,00;419,73;383,45;383,45;256,50;9,50;142,50;104,50;204,68;142,50;80,32;116,59;210,46;219,23;57,00;8,77;85,50;484,50;17,10;34,20;19,00;37,00;37,00;43,00;22,17;74,94;11,61;29,56;16,00;9,00;7,00;5,00;12,00;2,00;1,00
2019-01-20;54,00;399,60;405,00;383,40;280,80;10,80;172,80;118,80;192,86;131,14;84,86;100,29;202,50;220,50;54,00;9,00;84,00;486,00;18,00;42,00;13,00;41,00;38,00;40,00;23,29;72,00;10,59;20,12;17,00;5,00;17,00;3,00;15,00;1,00;1,00
2019-01-27;49,00;343,00;318,50;338,10;215,60;9,80;147,00;107,80;180,53;123,79;87,68;116,05;187,09;196,00;49,00;8,91;98,00;526,75;18,38;42,88;17,00;40,00;35,00;41,00;22,94;76,11;8,34;22,94;14,00;6,00;9,00;5,00;11,00;2,00;0,00
2019-02-03;50,00;370,00;305,00;365,00;270,00;10,00;170,00;100,00;202,50;122,50;80,00;130,00;213,64;227,27;59,09;9,09;83,33;455,56;16,67;38,89;15,00;37,00;45,00;44,00;25,00;69,79;11,46;25,00;15,00;9,00;11,00;5,00;11,00;2,00;2,00
2019-02-10;50,00;380,00;315,00;370,00;240,00;10,00;160,00;110,00;185,00;130,00;80,00;122,50;190,91;218,18;63,64;4,55;87,50;493,75;18,75;37,50;17,00;39,00;37,00;42,00;21,88;57,29;6,25;25,00;16,00;7,00;9,00;4,00;12,00;3,00;1,00
2019-02-17;53,00;392,20;333,90;376,30;243,80;10,60;180,20;106,00;186,76;118,62;95,90;136,29;207,58;212,00;61,83;8,83;88,33;494,67;11,78;41,22;17,00;37,00;39,00;41,00;22,86;65,47;9,35;27,02;19,00;6,00;8,00;7,00;14,00;2,00;2,00
2019-02-24;54,00;383,40;313,20;410,40;259,20;10,80;194,40;118,80;174,86;126,00;87,43;136,29;198,00;207,00;58,50;4,50;84,00;444,00;18,00;36,00;16,00;34,00;37,00;34,00;22,24;57,18;8,47;24,35;14,00;7,00;9,00;5,00;10,00;2,00;3,00
2019-03-03;58,00;390,18;290,00;400,73;232,00;9,67;164,33;106,33;176,52;123,57;85,74;138,70;209,69;205,23;53,54;8,92;81,20;452,40;11,60;40,60;24,00;43,00;37,00;38,00;26,36;68,55;9,49;27,42;18,00;9,00;11,00;5,00;11,00;1,00;2,00
2019-03-10;64,00;394,67;314,67;426,67;219,43;9,14;155,43;100,57;174,08;117,76;89,60;133,12;192,00;228,57;59,43;13,71;87,27;442,18;11,64;40,73;17,00;42,00;34,00;45,00;23,74;61,94;6,19;24,77;15,00;6,00;9,00;2,00;12,00;2,00;2,00
2019-03-17;60,00;398,18;289,09;425,45;260,00;10,00;160,00;110,00;174,78;120,00;96,52;143,48;193,85;221,54;55,38;9,23;90,00;438,00;18,00;36,00;19,00;38,00;33,00;40,00;24,21;57,89;5,26;23,16;12,00;8,00;6,00;4,00;8,00;2,00;1,00
2019-03-24;59,00;348,64;262,82;396,91;236,00;9,83;157,33;108,17;171,87;105,17;97,48;130,83;190,62;222,38;45,38;9,08;88,50;424,80;17,70;41,30;18,00;37,00;42,00;37,00;23,81;51,75;10,35;23,81;16,00;5,00;6,00;5,00;15,00;1,00;1,00
2019-03-31;71,00;324,57;268,79;400,64;243,43;10,14;172,43;121,71;174,96;111,57;96,36;152,14;199,69;213,00;53,25;8,88;100,58;426,00;17,75;41,42;17,00;39,00;42,00;49,00;30,28;53,25;11,49;27,15;15,00;9,00;9,00;6,00;16,00;1,00;1,00
2019-04-07;82,00;410,00;297,25;445,88;276,75;10,25;184,50;123,00;205,00;130,69;107,63;151,19;209,56;255,11;68,33;9,11;99,57;439,29;17,57;46,86;23,00;40,00;34,00;46,00;22,08;53,62;11,56;25,23;16,00;12,00;14,00;3,00;14,00;2,00;1,00
2019-04-14;69,00;429,92;254,77;530,77;226,71;9,86;187,29;128,14;168,67;120,11;92,00;132,89;202,40;216,20;50,60;9,20;103,50;408,25;17,25;46,00;18,00;37,00;29,00;32,00;26,14;36,59;10,45;26,14;18,00;9,00;10,00;3,00;17,00;2,00;2,00
