Semaine;Nice (FR);reta (SI);Agadir (MA);Djerba (TN);Corfu (GR);Santorini Island (GR);Faro (PT);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;40,00;0,00;42,00;2,67;42,67;106,67;36,67;5,00;60,00;80,00;5,00;12,00;9,00;3,00;1,00;13,33;2,96;34,07;5,93;0,00;24,00;0,00;3,00;3,00;2,00;0,00;0,00;3,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;31,00;0,00;33,00;2,70;37,74;144,67;24,11;5,17;72,33;72,33;10,33;7,00;9,00;7,00;3,00;17,71;11,81;33,95;7,38;0,00;3,88;1,94;0,00;3,00;0,00;0,00;1,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;37,00;0,00;25,00;13,21;43,61;114,36;33,64;9,25;74,00;55,50;4,63;12,00;3,00;4,00;1,00;14,80;1,48;41,44;4,44;0,00;4,11;4,11;7,00;0,00;0,00;0,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;31,00;0,00;30,00;13,48;29,65;144,67;31,00;10,33;62,00;72,33;10,33;7,00;8,00;5,00;0,00;23,62;5,90;41,33;1,48;1,94;3,88;3,88;5,00;3,00;1,00;1,00;1,00;7,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;28,00;0,00;36,00;10,67;30,67;122,50;42,00;9,33;65,33;74,67;9,33;4,00;10,00;6,00;3,00;13,26;14,74;29,47;4,42;0,00;4,00;2,00;3,00;0,00;1,00;1,00;0,00;0,00;5,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-02-10;29,00;0,00;32,00;2,76;34,52;163,13;47,13;0,00;106,33;96,67;4,83;7,00;4,00;4,00;4,00;33,58;12,21;48,84;6,11;0,00;2,07;2,07;4,00;3,00;0,00;0,00;5,00;3,00;5,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-02-17;37,00;0,00;31,00;3,96;46,25;148,00;37,00;9,25;83,25;111,00;27,75;10,00;7,00;13,00;7,00;23,68;4,44;38,48;5,92;4,11;2,06;0,00;6,00;0,00;1,00;1,00;2,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;20,00;0,00;34,00;2,67;53,33;146,67;66,67;10,00;90,00;90,00;5,00;13,00;7,00;11,00;3,00;22,86;12,86;38,57;5,71;0,00;2,00;0,00;4,00;4,00;0,00;3,00;5,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;31,00;0,00;34,00;12,13;43,13;179,11;48,22;10,33;113,67;93,00;10,33;10,00;16,00;7,00;6,00;22,14;7,38;47,24;4,43;0,00;3,88;3,88;3,00;3,00;3,00;1,00;2,00;2,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-03-10;32,00;0,00;24,00;4,00;45,33;177,78;49,78;10,67;85,33;117,33;5,33;10,00;9,00;9,00;4,00;32,00;14,55;46,55;7,27;0,00;4,00;0,00;4,00;1,00;0,00;4,00;5,00;3,00;5,00;0,00;1,00;0,00;0,00;0,00;0,00
