Ski;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;72,00;68,21;102,32;28,42;17,05;25,00;40,00;38,00;18,00
2019-01-13;77,00;45,07;105,17;20,66;11,27;20,00;24,00;32,00;19,00
2019-01-20;83,00;58,48;94,32;20,75;15,09;22,00;37,00;22,00;17,00
2019-01-27;82,00;57,77;93,18;24,23;20,50;19,00;31,00;23,00;14,00
2019-02-03;83,00;35,84;115,07;22,64;24,52;18,00;26,00;25,00;14,00
2019-02-10;89,00;37,87;145,81;18,94;20,83;19,00;36,00;22,00;13,00
2019-02-17;82,00;38,14;116,33;15,26;20,98;17,00;31,00;20,00;15,00
2019-02-24;69,00;36,42;74,75;11,50;17,25;12,00;18,00;19,00;10,00
2019-03-03;50,00;28,85;65,38;13,46;11,54;10,00;17,00;16,00;10,00
2019-03-10;39,00;27,86;72,43;11,14;9,29;12,00;18,00;12,00;10,00
2019-03-17;32,00;13,18;54,59;7,53;7,53;12,00;16,00;13,00;6,00
2019-03-24;21,00;13,36;40,09;5,73;7,64;7,00;10,00;9,00;5,00
2019-03-31;18,00;25,20;21,60;3,60;5,40;8,00;6,00;11,00;4,00
2019-04-07;16,00;16,00;28,00;2,00;6,00;5,00;7,00;7,00;3,00
2019-04-14;11,00;5,50;23,83;1,83;7,33;5,00;9,00;6,00;3,00
2019-04-21;7,00;7,00;12,25;1,75;5,25;4,00;5,00;5,00;2,00
2019-04-28;7,00;10,50;8,75;1,75;1,75;3,00;6,00;4,00;2,00
2019-05-05;5,00;20,00;7,50;2,50;5,00;3,00;4,00;4,00;2,00
2019-05-12;5,00;5,00;7,50;1,25;1,25;1,00;6,00;4,00;2,00
2019-05-19;5,00;2,50;7,50;2,50;0,00;2,00;4,00;3,00;2,00
2019-05-26;5,00;10,00;15,00;1,25;2,50;2,00;3,00;4,00;3,00
2019-06-02;6,00;8,00;2,00;2,00;1,00;3,00;7,00;5,00;2,00
2019-06-09;4,00;6,00;8,00;2,00;2,00;2,00;3,00;4,00;2,00
2019-06-16;4,00;6,00;2,00;1,00;1,00;3,00;5,00;5,00;3,00
2019-06-23;3,00;3,00;9,00;1,50;1,50;2,00;3,00;4,00;2,00
2019-06-30;4,00;2,00;6,00;2,00;4,00;3,00;4,00;3,00;3,00
2019-07-07;7,00;5,25;1,75;1,75;1,75;3,00;6,00;4,00;2,00
2019-07-14;8,00;12,00;6,00;2,00;2,00;3,00;4,00;6,00;2,00
2019-07-21;10,00;8,00;8,00;2,00;2,00;3,00;9,00;6,00;3,00
2019-07-28;11,00;22,00;3,67;1,83;3,67;4,00;5,00;6,00;3,00
2019-08-04;10,00;22,00;10,00;2,00;2,00;4,00;4,00;7,00;3,00
2019-08-11;13,00;13,00;7,43;1,86;3,71;5,00;14,00;8,00;3,00
2019-08-18;14,00;24,00;14,00;4,00;2,00;4,00;13,00;6,00;3,00
2019-08-25;13,00;16,71;7,43;1,86;3,71;4,00;9,00;8,00;3,00
2019-09-01;12,00;18,00;12,00;4,00;4,00;3,00;11,00;8,00;4,00
2019-09-08;17,00;18,89;17,00;1,89;3,78;6,00;11,00;10,00;3,00
2019-09-15;18,00;26,00;14,00;2,00;4,00;5,00;15,00;11,00;5,00
2019-09-22;17,00;22,67;13,22;1,89;3,78;4,00;14,00;10,00;4,00
2019-09-29;23,00;30,67;15,33;3,83;3,83;5,00;23,00;12,00;4,00
2019-10-06;22,00;24,00;30,00;4,00;4,00;4,00;16,00;13,00;5,00
2019-10-13;19,00;22,80;13,30;5,70;3,80;6,00;15,00;11,00;5,00
2019-10-20;26,00;20,43;14,86;5,57;7,43;6,00;16,00;13,00;5,00
2019-10-27;24,00;42,46;11,08;5,54;5,54;7,00;13,00;13,00;5,00
2019-11-03;32,00;30,12;39,53;5,65;9,41;11,00;20,00;12,00;8,00
2019-11-10;42,00;28,64;40,09;7,64;13,36;16,00;24,00;14,00;8,00
2019-11-17;47,00;24,44;56,40;9,40;9,40;16,00;22,00;15,00;9,00
2019-11-24;42,00;38,18;45,82;5,73;19,09;13,00;18,00;14,00;10,00
2019-12-01;46,00;34,50;53,67;9,58;19,17;19,00;31,00;14,00;11,00
2019-12-08;45,00;31,88;71,25;11,25;20,63;19,00;24,00;16,00;12,00
2019-12-15;57,00;36,10;60,80;11,40;13,30;23,00;29,00;21,00;14,00
2019-12-22;100,00;47,17;164,15;20,75;24,53;36,00;34,00;24,00;20,00
2019-12-29;100,00;45,28;188,68;26,42;24,53;45,00;36,00;27,00;20,00
2020-01-05;76,00;49,40;108,30;17,10;20,90;27,00;36,00;28,00;15,00
2020-01-12;72,00;54,95;96,63;15,16;17,05;22,00;31,00;25,00;16,00
2020-01-19;80,00;60,95;78,10;13,33;19,05;21,00;29,00;23,00;16,00
2020-01-26;75,00;45,00;90,00;13,13;16,88;21,00;31,00;22,00;12,00
2020-02-02;76,00;43,70;102,60;13,30;15,20;22,00;32,00;22,00;13,00
2020-02-09;83,00;41,50;94,32;13,20;11,32;17,00;31,00;25,00;13,00
2020-02-16;78,00;51,37;97,02;11,41;11,41;16,00;30,00;20,00;13,00
2020-02-23;64,00;54,59;80,94;13,18;11,29;14,00;36,00;21,00;11,00
