Week-end;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;24,00;11,00;6,00;6,00;7,00;10,00;9,00;0,50;0,50
2019-01-13;27,00;13,00;5,00;6,00;9,00;9,00;6,00;1,00;0,50
2019-01-20;27,00;10,00;5,00;6,00;9,00;7,00;10,00;1,00;0,50
2019-01-27;27,00;12,00;4,00;7,00;13,00;8,00;2,00;0,50;0,50
2019-02-03;29,00;8,00;4,00;8,00;12,00;7,00;1,00;0,50;0,50
2019-02-10;28,00;6,00;5,00;5,00;12,00;4,00;1,00;0,50;0,50
2019-02-17;29,00;2,00;8,00;5,00;11,00;10,00;1,00;1,00;0,50
2019-02-24;28,00;6,00;2,00;6,00;11,00;8,00;3,00;0,50;0,50
2019-03-03;27,00;11,00;10,00;5,00;8,00;6,00;1,00;1,00;0,50
2019-03-10;26,00;7,00;9,00;6,00;10,00;6,00;2,00;0,50;0,50
2019-03-17;34,00;5,00;6,00;7,00;10,00;9,00;0,50;0,50;0,50
2019-03-24;28,00;7,00;8,00;6,00;11,00;8,00;3,00;0,50;0,50
2019-03-31;31,00;9,00;8,00;6,00;10,00;11,00;7,00;1,00;0,50
2019-04-07;34,00;11,00;6,00;6,00;10,00;8,00;7,00;1,00;0,50
2019-04-14;36,00;8,00;10,00;5,00;7,00;8,00;5,00;1,00;0,50
2019-04-21;29,00;8,00;9,00;5,00;10,00;8,00;4,00;1,00;0,50
2019-04-28;28,00;9,00;7,00;6,00;8,00;8,00;8,00;1,00;0,50
2019-05-05;24,00;7,00;10,00;6,00;9,00;8,00;8,00;1,00;0,50
2019-05-12;25,00;5,00;11,00;6,00;10,00;11,00;9,00;0,50;0,50
2019-05-19;29,00;11,00;8,00;7,00;9,00;13,00;9,00;1,00;0,50
2019-05-26;32,00;12,00;8,00;4,00;9,00;9,00;5,00;1,00;0,50
2019-06-02;30,00;8,00;9,00;5,00;9,00;10,00;6,00;1,00;0,50
2019-06-09;23,00;7,00;6,00;6,00;10,00;11,00;4,00;1,00;0,50
2019-06-16;20,00;7,00;5,00;5,00;10,00;10,00;5,00;1,00;0,50
2019-06-23;20,00;8,00;7,00;5,00;9,00;12,00;5,00;0,50;0,50
2019-06-30;21,00;13,00;5,00;5,00;13,00;10,00;7,00;0,50;0,50
2019-07-07;24,00;10,00;8,00;6,00;13,00;13,00;8,00;0,50;0,50
2019-07-14;20,00;7,00;7,00;5,00;12,00;11,00;5,00;1,00;0,50
2019-07-21;26,00;8,00;8,00;6,00;11,00;16,00;4,00;1,00;0,50
2019-07-28;22,00;10,00;11,00;6,00;10,00;9,00;7,00;0,50;0,50
2019-08-04;27,00;15,00;6,00;7,00;12,00;9,00;7,00;1,00;1,00
2019-08-11;30,00;12,00;6,00;6,00;12,00;9,00;10,00;1,00;0,50
2019-08-18;29,00;11,00;7,00;6,00;11,00;11,00;8,00;1,00;0,50
