Chambres_hotes;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;27,00;47,00;18,00;12,00;6,00;104,14;34,71;46,29;11,57
2019-01-13;27,00;31,00;28,00;10,00;4,00;91,13;33,75;40,50;10,13
2019-01-20;29,00;51,00;30,00;12,00;4,00;95,29;41,43;53,86;12,43
2019-01-27;33,00;42,00;30,00;10,00;6,00;77,00;29,33;47,67;11,00
2019-02-03;36,00;48,00;17,00;10,00;8,00;103,50;36,00;54,00;13,50
2019-02-10;35,00;44,00;31,00;7,00;6,00;76,36;35,00;38,18;9,55
2019-02-17;35,00;35,00;28,00;9,00;6,00;72,92;32,08;40,83;8,75
2019-02-24;44,00;38,00;29,00;10,00;5,00;110,00;48,40;66,00;13,20
2019-03-03;46,00;41,00;39,00;10,00;7,00;110,40;41,40;59,80;13,80
2019-03-10;38,00;28,00;25,00;11,00;8,00;128,25;47,50;61,75;14,25
2019-03-17;39,00;49,00;43,00;9,00;8,00;125,67;39,00;60,67;13,00
2019-03-24;42,00;47,00;19,00;10,00;8,00;118,36;38,18;53,45;11,45
2019-03-31;33,00;40,00;32,00;13,00;5,00;128,33;40,33;47,67;11,00
2019-04-07;37,00;46,00;31,00;9,00;5,00;129,50;40,70;55,50;11,10
2019-04-14;38,00;50,00;35,00;13,00;7,00;156,22;46,44;71,78;12,67
2019-04-21;40,00;56,00;41,00;14,00;9,00;136,67;30,00;50,00;10,00
2019-04-28;34,00;42,00;21,00;12,00;8,00;136,00;63,75;68,00;12,75
2019-05-05;34,00;49,00;29,00;13,00;8,00;132,22;45,33;60,44;11,33
2019-05-12;32,00;31,00;26,00;12,00;6,00;110,22;35,56;60,44;10,67
2019-05-19;33,00;48,00;51,00;9,00;8,00;144,38;45,38;66,00;12,38
2019-05-26;41,00;50,00;32,00;10,00;9,00;127,10;57,40;69,70;16,40
2019-06-02;39,00;49,00;42,00;15,00;12,00;163,80;39,00;66,30;11,70
2019-06-09;41,00;75,00;46,00;14,00;6,00;192,70;45,10;57,40;12,30
2019-06-16;39,00;80,00;44,00;10,00;8,00;191,45;39,00;56,73;14,18
2019-06-23;40,00;52,00;36,00;11,00;8,00;232,00;40,00;60,00;16,00
2019-06-30;35,00;88,00;41,00;12,00;7,00;194,09;41,36;54,09;12,73
2019-07-07;45,00;100,00;41,00;16,00;6,00;220,91;53,18;73,64;16,36
2019-07-14;47,00;80,00;58,00;16,00;11,00;260,64;59,82;76,91;17,09
2019-07-21;53,00;89,00;48,00;16,00;7,00;248,69;61,15;77,46;12,23
2019-07-28;52,00;64,00;43,00;15,00;10,00;232,27;55,47;65,87;10,40
2019-08-04;65,00;70,00;47,00;14,00;12,00;338,00;86,67;91,00;17,33
2019-08-11;56,00;76,00;36,00;16,00;9,00;328,53;63,47;67,20;14,93
2019-08-18;55,00;43,00;22,00;14,00;12,00;251,43;51,07;74,64;11,79
2019-08-25;39,00;74,00;33,00;13,00;9,00;166,64;46,09;60,27;10,64
2019-09-01;33,00;40,00;22,00;9,00;7,00;139,33;33,00;51,33;14,67
2019-09-08;32,00;33,00;26,00;12,00;6,00;131,56;46,22;64,00;10,67
2019-09-15;32,00;33,00;34,00;11,00;5,00;124,44;42,67;53,33;10,67
2019-09-22;30,00;47,00;26,00;9,00;6,00;165,00;55,00;65,00;20,00
2019-09-29;27,00;28,00;25,00;15,00;8,00;115,71;34,71;50,14;15,43
2019-10-06;27,00;27,00;12,00;10,00;5,00;101,25;43,88;50,63;10,13
2019-10-13;26,00;34,00;16,00;8,00;4,00;130,00;34,67;52,00;13,00
2019-10-20;21,00;52,00;17,00;9,00;3,00;87,00;21,00;36,00;9,00
2019-10-27;22,00;50,00;20,00;13,00;3,00;84,86;22,00;31,43;9,43
2019-11-03;22,00;34,00;28,00;8,00;6,00;88,00;22,00;36,67;11,00
2019-11-10;21,00;32,00;22,00;7,00;4,00;113,40;25,20;37,80;12,60
2019-11-17;21,00;30,00;19,00;5,00;6,00;105,00;29,40;37,80;8,40
2019-11-24;19,00;33,00;17,00;8,00;5,00;104,50;19,00;42,75;14,25
2019-12-01;17,00;37,00;9,00;8,00;5,00;93,50;34,00;34,00;12,75
2019-12-08;18,00;33,00;14,00;8,00;5,00;75,60;14,40;25,20;10,80
2019-12-15;20,00;28,00;23,00;5,00;4,00;84,00;24,00;28,00;12,00
2019-12-22;47,00;40,00;22,00;7,00;4,00;113,58;27,42;43,08;19,58
2019-12-29;20,00;39,00;14,00;10,00;4,00;103,33;26,67;36,67;13,33
2020-01-05;24,00;30,00;17,00;12,00;5,00;82,29;27,43;44,57;13,71
2020-01-12;26,00;40,00;33,00;13,00;10,00;108,33;39,00;60,67;17,33
2020-01-19;21,00;39,00;30,00;13,00;10,00;84,00;28,00;45,50;14,00
2020-01-26;26,00;47,00;18,00;12,00;4,00;74,29;33,43;44,57;11,14
2020-02-02;33,00;58,00;24,00;8,00;5,00;80,67;18,33;47,67;14,67
2020-02-09;31,00;42,00;15,00;7,00;8,00;100,75;31,00;50,38;15,50
2020-02-16;29,00;38,00;24,00;10,00;6,00;90,63;36,25;43,50;14,50
2020-02-23;26,00;45,00;17,00;8,00;5,00;52,00;26,00;44,57;11,14
2020-03-01;19,00;29,00;16,00;5,00;5,00;45,60;22,80;38,00;11,40
2020-03-08;18,00;22,00;14,00;6,00;3,00;18,00;22,50;49,50;13,50
2020-03-15;7,00;7,00;9,00;3,00;3,00;14,00;10,50;24,50;7,00
2020-03-22;10,00;8,00;7,00;2,00;2,00;20,00;15,00;25,00;10,00
2020-03-29;11,00;17,00;13,00;2,00;1,00;11,00;7,33;14,67;3,67
2020-04-05;8,00;5,00;6,00;2,00;1,00;16,00;8,00;20,00;8,00
2020-04-12;10,00;18,00;4,00;2,00;1,00;13,33;13,33;13,33;6,67
2020-04-19;10,00;7,00;14,00;3,00;2,00;25,00;20,00;25,00;5,00
2020-04-26;11,00;9,00;9,00;1,00;2,00;18,33;25,67;14,67;7,33
2020-05-03;15,00;10,00;6,00;3,00;1,00;22,50;26,25;22,50;7,50
2020-05-10;17,00;15,00;10,00;3,00;1,00;23,80;23,80;17,00;10,20
2020-05-17;32,00;18,00;29,00;5,00;2,00;41,14;45,71;22,86;13,71
2020-05-24;30,00;20,00;28,00;6,00;1,00;56,25;52,50;22,50;11,25
2020-05-31;34,00;40,00;30,00;6,00;1,00;83,11;41,56;30,22;11,33
2020-06-07;38,00;45,00;31,00;7,00;5,00;98,80;49,40;22,80;15,20
2020-06-14;44,00;68,00;15,00;8,00;3,00;148,00;68,00;32,00;16,00
2020-06-21;48,00;72,00;26,00;6,00;3,00;161,14;54,86;37,71;13,71
2020-06-28;49,00;75,00;31,00;9,00;3,00;214,85;56,54;41,46;15,08
2020-07-05;58,00;79,00;31,00;10,00;3,00;217,50;65,25;50,75;14,50
2020-07-12;58,00;93,00;52,00;9,00;4,00;232,00;65,73;58,00;15,47
2020-07-19;58,00;75,00;41,00;12,00;5,00;285,86;78,71;74,57;16,57
2020-07-26;57,00;63,00;39,00;9,00;5,00;245,81;78,38;57,00;14,25
2020-08-02;72,00;82,00;41,00;9,00;5,00;351,00;72,00;94,50;18,00
2020-08-09;63,00;67,00;29,00;11,00;6,00;370,59;40,76;63,00;14,82
2020-08-16;51,00;64,00;38,00;7,00;6,00;280,50;61,93;69,21;14,57
2020-08-23;40,00;59,00;18,00;8,00;4,00;170,91;61,82;65,45;14,55
2020-08-30;34,00;54,00;22,00;9,00;4,00;139,40;51,00;51,00;13,60
2020-09-06;39,00;61,00;37,00;7,00;5,00;117,00;70,91;49,64;14,18
2020-09-13;29,00;36,00;24,00;9,00;3,00;108,75;58,00;50,75;14,50
2020-09-20;25,00;50,00;18,00;6,00;2,00;71,43;35,71;35,71;14,29
2020-09-27;23,00;21,00;18,00;6,00;2,00;72,83;30,67;34,50;15,33
2020-10-04;19,00;32,00;23,00;5,00;7,00;72,20;30,40;34,20;15,20
2020-10-11;23,00;20,00;14,00;2,00;2,00;49,83;23,00;38,33;15,33
2020-10-18;18,00;25,00;11,00;3,00;1,00;43,20;21,60;25,20;14,40
2020-10-25;13,00;9,00;6,00;3,00;2,00;39,00;17,33;26,00;13,00
2020-11-01;7,00;14,00;8,00;2,00;2,00;21,00;10,50;17,50;10,50
2020-11-08;8,00;21,00;9,00;2,00;1,00;28,00;20,00;20,00;16,00
2020-11-15;10,00;16,00;9,00;3,00;2,00;30,00;20,00;25,00;15,00
2020-11-22;10,00;20,00;10,00;2,00;2,00;23,33;10,00;16,67;10,00
2020-11-29;13,00;21,00;10,00;2,00;2,00;30,33;8,67;21,67;13,00
2020-12-06;9,00;19,00;3,00;3,00;4,00;24,00;9,00;15,00;9,00
2020-12-13;14,00;27,00;5,00;1,00;1,00;37,33;18,67;23,33;14,00
2020-12-20;9,00;16,00;9,00;2,00;1,00;21,00;9,00;15,00;9,00
2020-12-27;12,00;20,00;17,00;3,00;2,00;27,00;12,00;12,00;9,00
2021-01-03;14,00;25,00;14,00;3,00;2,00;32,67;14,00;18,67;18,67
2021-01-10;14,00;15,00;6,00;3,00;3,00;28,00;14,00;17,50;10,50
2021-01-17;12,00;28,00;14,00;2,00;1,00;32,00;20,00;20,00;16,00
2021-01-24;10,00;24,00;9,00;2,00;1,00;33,33;16,67;16,67;13,33
2021-01-31;19,00;24,00;27,00;1,00;2,00;45,60;22,80;19,00;11,40
2021-02-07;17,00;26,00;12,00;3,00;2,00;44,20;17,00;17,00;10,20
