Voyage;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;85,00;56,00;63,00;49,00;79,00;64,56;43,04;49,49;30,13
2019-01-13;78,00;42,00;49,00;50,00;76,00;68,25;47,67;44,42;29,25
2019-01-20;74,00;47,00;62,00;49,00;73,00;62,20;41,83;43,97;30,03
2019-01-27;60,00;45,00;52,00;46,00;78,00;64,29;39,64;41,79;26,79
2019-02-03;62,00;38,00;59,00;39,00;76,00;66,35;33,72;40,25;28,28
2019-02-10;63,00;44,00;47,00;38,00;72,00;61,93;33,10;37,37;26,69
2019-02-17;63,00;41,00;48,00;34,00;79,00;67,27;27,76;40,58;28,83
2019-02-24;76,00;45,00;40,00;34,00;79,00;66,23;33,66;42,34;29,31
2019-03-03;61,00;34,00;47,00;37,00;79,00;69,71;33,77;42,48;31,59
2019-03-10;60,00;41,00;45,00;36,00;73,00;63,27;34,91;40,36;30,55
2019-03-17;55,00;27,00;40,00;32,00;74,00;69,02;24,80;37,75;28,04
2019-03-24;55,00;35,00;36,00;33,00;77,00;69,02;32,35;40,98;28,04
2019-03-31;73,00;40,00;41,00;30,00;72,00;60,12;32,21;39,72;28,99
2019-04-07;76,00;40,00;45,00;33,00;75,00;57,54;30,40;43,43;27,14
2019-04-14;70,00;35,00;47,00;35,00;69,00;59,06;32,81;40,47;27,34
2019-04-21;72,00;35,00;45,00;33,00;63,00;61,25;27,94;42,99;27,94
2019-04-28;71,00;41,00;52,00;34,00;58,00;62,39;36,58;43,03;27,97
2019-05-05;64,00;45,00;50,00;34,00;80,00;58,58;36,88;42,31;27,12
2019-05-12;63,00;40,00;52,00;33,00;70,00;58,66;33,67;43,45;27,16
2019-05-19;61,00;43,00;37,00;33,00;70,00;61,00;30,50;44,66;29,41
2019-05-26;63,00;36,00;39,00;31,00;68,00;54,31;33,67;45,62;29,33
2019-06-02;61,00;41,00;37,00;31,00;72,00;69,71;33,77;41,39;32,68
2019-06-09;71,00;41,00;47,00;39,00;75,00;73,18;38,23;44,78;34,95
2019-06-16;72,00;43,00;48,00;36,00;76,00;75,22;24,72;44,06;33,31
2019-06-23;66,00;51,00;47,00;34,00;90,00;74,66;33,54;46,52;31,38
2019-06-30;74,00;54,00;56,00;39,00;95,00;82,71;37,00;50,06;30,47
2019-07-07;72,00;48,00;64,00;51,00;96,00;81,67;48,36;49,43;30,09
2019-07-14;78,00;48,00;52,00;44,00;96,00;82,33;39,00;43,33;29,25
2019-07-21;78,00;37,00;55,00;42,00;95,00;86,67;40,08;45,50;30,33
2019-07-28;91,00;58,00;40,00;39,00;100,00;85,65;43,89;47,11;29,98
2019-08-04;89,00;52,00;55,00;41,00;93,00;89,00;40,16;49,93;29,30
2019-08-11;73,00;47,00;53,00;40,00;97,00;76,22;37,57;42,94;26,84
2019-08-18;66,00;42,00;60,00;36,00;83,00;71,41;35,70;45,44;27,05
2019-08-25;60,00;37,00;48,00;37,00;82,00;70,91;38,18;48,00;27,27
2019-09-01;60,00;32,00;44,00;36,00;68,00;63,27;34,91;43,64;25,09
2019-09-08;61,00;39,00;40,00;34,00;66,00;63,14;32,11;44,95;24,61
2019-09-15;63,00;43,00;53,00;39,00;67,00;55,40;30,41;45,62;26,07
2019-09-22;72,00;43,00;60,00;70,00;69,00;57,82;32,73;52,36;26,18
2019-09-29;63,00;44,00;46,00;37,00;73,00;52,14;33,67;43,45;26,07
2019-10-06;59,00;35,00;63,00;39,00;78,00;51,49;32,18;45,05;24,67
2019-10-13;64,00;40,00;48,00;40,00;72,00;55,32;34,71;40,14;26,03
2019-10-20;63,00;40,00;51,00;36,00;63,00;53,22;31,50;39,10;24,98
2019-10-27;63,00;46,00;37,00;36,00;58,00;49,97;33,67;39,10;21,72
2019-11-03;58,00;46,00;55,00;36,00;61,00;51,56;32,22;37,59;25,78
2019-11-10;56,00;48,00;50,00;34,00;57,00;48,46;28,00;36,62;23,69
2019-11-17;52,00;44,00;41,00;30,00;63,00;50,92;31,42;36,83;24,92
2019-11-24;53,00;39,00;43,00;28,00;61,00;54,08;31,37;33,53;25,96
2019-12-01;52,00;35,00;43,00;31,00;57,00;48,75;27,08;35,75;26,00
2019-12-08;46,00;45,00;48,00;28,00;55,00;44,93;27,81;31,02;24,60
2019-12-15;53,00;48,00;47,00;30,00;50,00;46,51;24,88;37,86;28,12
2019-12-22;61,00;51,00;48,00;37,00;54,00;58,82;33,77;40,30;29,41
2019-12-29;72,00;65,00;65,00;46,00;62,00;63,40;46,21;49,43;34,39
2020-01-05;76,00;56,00;54,00;51,00;71,00;66,23;45,60;54,29;34,74
2020-01-12;74,00;53,00;62,00;47,00;74,00;67,57;46,12;49,33;33,25
2020-01-19;72,00;47,00;55,00;46,00;73,00;68,73;43,64;46,91;33,82
2020-01-26;74,00;49,00;52,00;39,00;78,00;63,12;44,62;47,88;31,56
2020-02-02;70,00;44,00;54,00;36,00;73,00;53,85;37,69;50,62;31,23
2020-02-09;72,00;47,00;48,00;32,00;72,00;55,88;32,24;53,73;31,16
2020-02-16;72,00;47,00;52,00;31,00;74,00;51,27;38,18;46,91;32,73
2020-02-23;70,00;36,00;46,00;34,00;60,00;51,41;39,38;70,00;40,47
2020-03-01;64,00;36,00;42,00;33,00;61,00;53,15;29,29;62,92;41,22
2020-03-08;66,00;51,00;53,00;48,00;67,00;25,97;45,44;108,20;62,75
2020-03-15;30,00;30,00;39,00;31,00;31,00;17,78;37,78;73,33;44,44
2020-03-22;21,00;19,00;14,00;15,00;21,00;15,75;21,00;23,10;19,95
2020-03-29;25,00;17,00;17,00;15,00;21,00;16,30;18,48;19,57;18,48
2020-04-05;20,00;15,00;17,00;16,00;24,00;14,74;11,58;20,00;15,79
2020-04-12;22,00;20,00;21,00;20,00;23,00;18,86;12,57;19,90;15,71
2020-04-19;20,00;16,00;22,00;16,00;24,00;18,89;15,56;20,00;17,78
2020-04-26;20,00;14,00;20,00;20,00;28,00;22,22;15,56;22,22;17,78
2020-05-03;19,00;18,00;18,00;23,00;29,00;17,88;22,35;22,35;20,12
2020-05-10;21,00;18,00;25,00;26,00;32,00;22,11;25,42;26,53;22,11
2020-05-17;23,00;23,00;31,00;28,00;37,00;26,29;23,00;26,29;24,10
2020-05-24;27,00;30,00;36,00;26,00;38,00;25,92;25,92;28,08;23,76
2020-05-31;32,00;32,00;35,00;31,00;40,00;36,27;27,73;28,80;23,47
2020-06-07;38,00;34,00;42,00;31,00;44,00;36,91;30,40;28,23;27,14
2020-06-14;45,00;38,00;37,00;29,00;40,00;42,86;28,93;30,00;28,93
2020-06-21;44,00;35,00;41,00;29,00;42,00;45,07;28,98;35,41;33,27
2020-06-28;48,00;42,00;45,00;31,00;41,00;50,18;38,18;48,00;36,00
2020-07-05;47,00;41,00;42,00;30,00;41,00;50,28;25,14;42,63;33,88
2020-07-12;40,00;35,00;37,00;29,00;36,00;49,73;30,27;40,00;32,43
2020-07-19;38,00;34,00;37,00;29,00;39,00;51,03;30,40;46,69;33,66
2020-07-26;44,00;43,00;33,00;29,00;46,00;47,22;28,98;47,22;32,20
2020-08-02;42,00;36,00;26,00;28,00;46,00;50,62;24,77;42,00;33,38
2020-08-09;44,00;36,00;28,00;25,00;38,00;44,00;22,54;44,00;30,05
2020-08-16;36,00;44,00;29,00;25,00;38,00;34,91;22,91;42,55;27,27
2020-08-23;39,00;36,00;38,00;23,00;36,00;33,58;23,83;41,17;27,08
2020-08-30;36,00;38,00;31,00;21,00;35,00;30,55;17,45;40,36;27,27
2020-09-06;36,00;26,00;34,00;20,00;33,00;23,29;18,00;37,06;26,47
2020-09-13;34,00;38,00;41,00;19,00;30,00;29,75;19,13;38,25;25,50
2020-09-20;31,00;26,00;38,00;19,00;28,00;23,52;20,31;37,41;25,66
2020-09-27;31,00;25,00;35,00;18,00;28,00;22,14;19,93;39,86;27,68
2020-10-04;29,00;32,00;41,00;20,00;28,00;20,41;22,56;35,44;26,85
2020-10-11;31,00;20,00;23,00;18,00;27,00;19,24;17,10;39,55;29,93
2020-10-18;29,00;17,00;23,00;16,00;25,00;16,11;19,33;35,44;29,00
2020-10-25;25,00;22,00;20,00;14,00;29,00;17,39;14,13;36,96;27,17
2020-11-01;18,00;19,00;19,00;10,00;23,00;14,82;11,65;27,53;22,24
2020-11-08;17,00;20,00;26,00;12,00;24,00;14,88;13,81;26,56;31,88
2020-11-15;23,00;19,00;27,00;11,00;26,00;15,33;16,43;27,38;39,43
2020-11-22;29,00;22,00;23,00;13,00;24,00;16,11;15,04;35,44;29,00
2020-11-29;25,00;24,00;21,00;15,00;31,00;21,74;14,13;34,78;30,43
2020-12-06;31,00;28,00;27,00;14,00;32,00;18,17;13,90;36,34;28,86
2020-12-13;31,00;37,00;31,00;13,00;32,00;18,17;18,17;43,83;26,72
2020-12-20;31,00;23,00;37,00;13,00;28,00;17,71;15,50;54,25;28,79
2020-12-27;36,00;23,00;26,00;17,00;27,00;19,64;18,55;30,55;30,55
2021-01-03;41,00;25,00;30,00;16,00;26,00;20,50;16,18;34,53;29,13
2021-01-10;38,00;25,00;29,00;13,00;24,00;16,29;10,86;29,31;31,49
2021-01-17;36,00;28,00;36,00;14,00;24,00;18,55;14,18;25,09;30,55
2021-01-24;28,00;22,00;30,00;14,00;23,00;18,31;12,92;24,77;29,08
2021-01-31;27,00;22,00;26,00;14,00;24,00;19,44;14,04;21,60;27,00
2021-02-07;29,00;23,00;22,00;11,00;28,00;20,41;16,11;25,78;31,15
2021-02-14;31,00;27,00;26,00;14,00;29,00;17,10;16,03;22,45;31,00
2021-02-21;30,00;25,00;25,00;14,00;32,00;18,21;17,14;30,00;33,21
2021-02-28;32,00;30,00;34,00;16,00;38,00;16,00;14,93;28,80;36,27
2021-03-07;37,00;24,00;32,00;16,00;35,00;17,41;17,41;29,38;37,00
2021-03-14;31,00;23,00;34,00;16,00;34,00;18,17;18,17;28,86;36,34
2021-03-21;33,00;23,00;34,00;17,00;39,00;19,16;19,16;35,13;35,13
2021-03-28;28,00;24,00;28,00;14,00;29,00;23,69;18,31;30,15;37,69
2021-04-04;27,00;20,00;33,00;15,00;32,00;27,00;16,20;30,24;37,80
2021-04-11;30,00;33,00;36,00;15,00;39,00;30,00;21,11;32,22;36,67
2021-04-18;36,00;25,00;34,00;18,00;35,00;29,65;22,24;30,71;42,35
2021-04-25;40,00;41,00;44,00;21,00;35,00;29,19;18,38;33,51;36,76
2021-05-02;46,00;41,00;52,00;25,00;41,00;32,86;25,19;44,90;37,24
2021-05-09;49,00;57,00;52,00;32,00;46,00;38,35;30,89;39,41;37,28
2021-05-16;50,00;52,00;46,00;35,00;55,00;44,57;32,61;42,39;40,22
2021-05-23;53,00;54,00;57,00;32,00;63,00;42,18;31,37;44,35;41,10
2021-05-30;63,00;70,00;58,00;35,00;65,00;57,57;32,59;49,97;42,36
2021-06-06;64,00;75,00;55,00;37,00;67,00;60,75;39,05;42,31;42,31
