Hotel;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;27,00;36,00;52,00;41,00;49,00;46,44;38,88;55,08;22,68
2019-01-13;27,00;36,00;52,00;42,00;52,00;45,00;33,00;50,00;21,00
2019-01-20;27,00;31,00;56,00;39,00;53,00;42,00;31,00;47,00;21,00
2019-01-27;27,00;33,00;58,00;40,00;59,00;44,65;33,23;44,65;20,77
2019-02-03;30,00;36,00;56,00;37,00;58,00;42,41;33,10;46,55;21,72
2019-02-10;31,00;35,00;55,00;36,00;60,00;44,00;34,00;43,00;22,00
2019-02-17;32,00;32,00;57,00;37,00;63,00;49,07;34,13;46,93;23,47
2019-02-24;30,00;35,00;49,00;34,00;68,00;50,69;31,03;43,45;23,79
2019-03-03;31,00;34,00;54,00;37,00;58,00;47,53;31,00;44,43;25,83
2019-03-10;29,00;33,00;53,00;35,00;62,00;47,64;30,04;40,39;25,89
2019-03-17;30,00;30,00;52,00;33,00;61,00;51,43;28,93;46,07;24,64
2019-03-24;31,00;33,00;54,00;32,00;64,00;51,67;29,97;42,37;23,77
2019-03-31;30,00;32,00;53,00;32,00;56,00;49,29;31,07;43,93;24,64
2019-04-07;33,00;37,00;54,00;34,00;62,00;57,20;34,10;50,60;25,30
2019-04-14;29,00;34,00;55,00;34,00;61,00;49,71;31,07;44,54;22,79
2019-04-21;28,00;28,00;52,00;31,00;56,00;56,00;33,19;44,59;23,85
2019-04-28;28,00;30,00;54,00;34,00;58,00;49,78;34,22;46,67;23,85
2019-05-05;27,00;30,00;51,00;33,00;65,00;52,96;28,04;43,62;22,85
2019-05-12;27,00;33,23;51,92;35,31;67,50;48,00;31,00;44,00;24,00
2019-05-19;27,00;33,00;50,00;35,00;63,00;49,00;31,00;47,00;27,00
2019-05-26;29,00;33,00;56,00;34,00;68,00;51,79;31,07;50,75;29,00
2019-06-02;29,00;33,00;53,00;37,00;74,00;67,32;31,07;47,64;26,93
2019-06-09;28,00;33,00;56,00;40,00;74,00;74,67;33,19;46,67;26,96
2019-06-16;30,00;36,00;57,00;39,00;79,00;80,36;35,36;51,43;31,07
2019-06-23;30,00;35,00;60,00;35,00;81,00;82,76;30,00;51,72;30,00
2019-06-30;32,00;44,00;57,00;38,00;88,00;85,33;35,20;50,13;30,93
2019-07-07;33,00;46,00;68,00;41,00;88,00;85,16;40,45;52,16;30,87
2019-07-14;33,00;40,00;71,00;41,00;93,00;81,47;40,22;51,56;29,91
2019-07-21;36,00;43,00;71,00;42,00;94,00;84,71;43,41;51,88;30,71
2019-07-28;39,00;45,00;65,00;42,00;100,00;83,13;43,11;54,39;28,74
2019-08-04;40,00;45,00;58,00;43,00;100,00;92,63;42,11;51,58;28,42
2019-08-11;39,00;43,00;58,00;41,00;94,00;93,00;37,00;51,00;26,00
2019-08-18;35,00;43,00;58,00;41,00;87,00;82,35;38,09;51,47;24,71
2019-08-25;28,00;36,00;57,00;39,00;76,00;64,00;31,00;46,00;23,00
2019-09-01;29,00;35,00;54,00;38,00;72,00;54,89;32,11;54,89;24,86
2019-09-08;30,00;34,00;55,00;39,00;62,00;51,00;31,00;55,00;24,00
2019-09-15;29,00;32,00;56,00;39,00;60,00;50,48;34,37;60,15;26,85
2019-09-22;27,00;29,00;55,00;38,00;61,00;46,44;31,32;58,32;27,00
2019-09-29;29,00;29,00;56,00;37,00;60,00;44,04;30,07;55,85;25,78
2019-10-06;27,00;31,00;60,00;36,00;57,00;42,12;32,40;57,24;24,84
2019-10-13;27,00;32,00;48,00;34,00;57,00;41,04;31,32;50,76;23,76
2019-10-20;26,00;28,00;51,00;34,00;55,00;39,52;29,12;48,88;21,84
2019-10-27;26,00;35,00;42,00;32,00;51,00;39,00;28,17;46,58;21,67
2019-11-03;25,00;34,00;41,00;32,00;46,00;35,42;27,08;42,71;22,92
