Avion;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;48,00;75,00;17,00;12,00;4,00;17,07;106,67;7,47;24,53
2019-01-13;45,00;61,00;12,00;10,00;5,00;13,60;86,86;7,33;20,93
2019-01-20;44,00;75,00;14,00;12,00;5,00;15,02;99,80;7,51;20,39
2019-01-27;41,00;60,00;10,00;10,00;5,00;15,11;91,71;5,39;22,66
2019-02-03;42,00;49,00;11,00;13,00;5,00;16,15;75,38;5,38;22,62
2019-02-10;48,00;54,00;13,00;11,00;7,00;16,00;81,07;5,33;22,40
2019-02-17;48,00;58,00;12,00;13,00;3,00;16,00;82,13;6,40;26,67
2019-02-24;43,00;63,00;8,00;8,00;4,00;12,90;87,08;6,45;23,65
2019-03-03;44,00;51,00;18,00;10,00;7,00;13,95;80,49;4,29;24,68
2019-03-10;36,00;68,00;12,00;13,00;2,00;12,71;81,53;5,29;24,35
2019-03-17;36,00;52,00;17,00;11,00;3,00;14,82;75,18;5,29;22,24
2019-03-24;44,00;67,00;9,00;13,00;6,00;14,67;60,76;6,29;23,05
2019-03-31;46,00;61,00;14,00;9,00;7,00;8,56;68,47;7,49;21,40
2019-04-07;46,00;60,00;12,00;10,00;5,00;13,91;71,67;8,56;21,40
2019-04-14;44,00;59,00;14,00;12,00;4,00;17,17;78,34;4,29;21,46
2019-04-21;42,00;45,00;16,00;9,00;5,00;12,92;67,85;7,54;21,54
2019-04-28;38,00;59,00;17,00;10,00;8,00;12,67;90,78;6,33;22,17
2019-05-05;44,00;59,00;11,00;7,00;5,00;12,88;83,71;7,51;21,46
2019-05-12;43,00;58,00;9,00;13,00;5,00;15,05;69,88;6,45;22,58
2019-05-19;43,00;56,00;16,00;10,00;5,00;13,98;79,55;5,38;22,58
2019-05-26;42,00;55,00;17,00;10,00;4,00;14,00;74,31;6,46;25,85
2019-06-02;45,00;50,00;14,00;12,00;6,00;15,00;84,64;6,43;23,57
2019-06-09;42,00;60,00;15,00;13,00;5,00;16,15;79,69;7,54;24,77
2019-06-16;46,00;60,00;13,00;13,00;6,00;17,12;78,09;7,49;24,60
2019-06-23;47,00;64,00;16,00;16,00;5,00;19,23;74,77;5,34;23,50
2019-06-30;51,00;68,00;17,00;12,00;7,00;19,53;85,72;8,68;24,96
2019-07-07;52,00;78,00;16,00;14,00;4,00;19,50;99,67;8,67;26,00
2019-07-14;51,00;79,00;17,00;14,00;8,00;19,13;105,19;7,44;24,44
2019-07-21;53,00;75,00;25,00;15,00;7,00;19,08;89,04;9,54;24,38
2019-07-28;51,00;58,00;17,00;13,00;7,00;17,00;88,19;6,38;23,38
2019-08-04;58,00;72,00;10,00;14,00;9,00;20,41;83,78;7,52;20,41
2019-08-11;47,00;58,00;17,00;10,00;6,00;17,09;85,45;7,48;19,23
2019-08-18;39,00;58,00;14,00;9,00;6,00;16,25;88,83;5,42;19,50
2019-08-25;37,00;51,00;16,00;10,00;7,00;16,32;78,35;6,53;20,68
2019-09-01;41,00;59,00;11,00;11,00;7,00;15,11;76,61;10,79;19,42
2019-09-08;40,00;53,00;23,00;11,00;4,00;12,63;70,53;8,42;20,00
2019-09-15;38,00;41,00;13,00;9,00;6,00;10,86;79,26;9,77;21,71
2019-09-22;37,00;53,00;16,00;10,00;6,00;15,24;74,00;9,79;20,68
2019-09-29;35,00;51,00;12,00;11,00;5,00;14,85;64,70;8,48;20,15
2019-10-06;40,00;60,00;10,00;11,00;4,00;12,97;92,97;11,89;20,54
2019-10-13;45,00;56,00;17,00;11,00;6,00;15,00;73,93;16,07;23,57
2019-10-20;37,00;62,00;14,00;10,00;6,00;14,80;76,11;30,66;30,66
2019-10-27;42,00;58,00;13,00;11,00;5,00;16,80;67,20;17,85;25,20
2019-11-03;32,00;61,00;9,00;8,00;5,00;13,87;64,00;9,60;21,33
2019-11-10;36,00;59,00;9,00;9,00;6,00;15,88;54,00;8,47;20,12
2019-11-17;40,00;48,00;13,00;10,00;4,00;14,05;56,22;8,65;22,70
2019-11-24;39,00;46,00;9,00;12,00;5,00;14,76;73,78;11,59;21,08
