Campings;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;17,00;19,00;16,00;9,00;7,00;2,83;87,83;8,50;8,50
2019-01-13;15,00;23,00;16,00;9,00;7,00;6,00;90,00;6,00;6,00
2019-01-20;15,00;26,00;9,00;9,00;9,00;6,00;66,00;6,00;9,00
2019-01-27;25,00;25,00;18,00;9,00;12,00;11,11;66,67;5,56;8,33
2019-02-03;28,00;18,00;23,00;12,00;11,00;8,40;56,00;5,60;5,60
2019-02-10;32,00;24,00;23,00;11,00;14,00;14,55;52,36;8,73;8,73
2019-02-17;30,00;17,00;26,00;14,00;15,00;13,64;65,45;5,45;8,18
2019-02-24;36,00;18,00;15,00;11,00;17,00;11,08;52,62;5,54;8,31
2019-03-03;35,00;23,00;17,00;14,00;14,00;14,58;49,58;5,83;8,75
2019-03-10;31,00;17,00;27,00;11,00;18,00;14,09;56,36;5,64;8,45
2019-03-17;35,00;24,00;21,00;15,00;21,00;17,50;58,33;5,83;11,67
2019-03-24;34,00;20,00;32,00;13,00;23,00;17,00;73,67;8,50;11,33
2019-03-31;23,00;21,00;23,00;10,00;11,00;8,63;86,25;8,63;14,38
2019-04-07;23,00;24,00;20,00;13,00;16,00;8,63;89,13;11,50;11,50
2019-04-14;26,00;39,00;27,00;17,00;22,00;8,67;115,56;8,67;14,44
2019-04-21;26,00;31,00;13,00;11,00;15,00;8,67;130,00;8,67;14,44
2019-04-28;24,00;30,00;26,00;12,00;17,00;9,00;126,00;9,00;15,00
2019-05-05;24,00;32,00;16,00;11,00;15,00;5,33;98,67;10,67;16,00
2019-05-12;24,00;33,00;13,00;12,00;17,00;10,67;104,00;10,67;16,00
2019-05-19;26,00;28,00;18,00;13,00;20,00;8,67;109,78;11,56;23,11
2019-05-26;40,00;38,00;41,00;17,00;24,00;8,57;154,29;14,29;20,00
2019-06-02;33,00;44,00;34,00;17,00;28,00;13,75;112,75;11,00;22,00
2019-06-09;30,00;31,00;29,00;19,00;27,00;16,36;122,73;10,91;24,55
2019-06-16;35,00;47,00;29,00;20,00;31,00;21,54;134,62;10,77;21,54
2019-06-23;39,00;53,00;37,00;19,00;41,00;22,29;147,64;11,14;27,86
2019-06-30;47,00;69,00;47,00;19,00;42,00;19,35;174,18;13,82;27,65
2019-07-07;49,00;60,00;55,00;21,00;48,00;21,78;198,72;16,33;27,22
2019-07-14;53,00;56,00;42,00;21,00;47,00;22,32;212,00;16,74;22,32
2019-07-21;62,00;64,00;62,00;22,00;52,00;25,36;242,36;22,55;25,36
2019-07-28;66,00;69,00;63,00;21,00;59,00;22,00;228,25;19,25;24,75
2019-08-04;73,00;75,00;45,00;24,00;59,00;30,88;202,15;16,85;22,46
2019-08-11;47,00;48,00;24,00;17,00;53,00;27,65;157,59;13,82;19,35
2019-08-18;53,00;61,00;27,00;17,00;51,00;22,32;145,05;19,53;16,74
2019-08-25;30,00;44,00;25,00;14,00;30,00;13,64;103,64;13,64;19,09
2019-09-01;23,00;19,00;18,00;13,00;19,00;8,63;77,63;11,50;14,38
2019-09-08;17,00;20,00;19,00;14,00;13,00;5,67;73,67;8,50;11,33
2019-09-15;16,00;25,00;16,00;11,00;11,00;8,00;61,33;5,33;10,67
2019-09-22;14,00;6,00;17,00;9,00;13,00;5,60;42,00;5,60;11,20
2019-09-29;8,00;15,00;18,00;10,00;10,00;5,33;29,33;5,33;10,67
2019-10-06;9,00;10,00;7,00;8,00;7,00;3,00;39,00;6,00;12,00
2019-10-13;8,00;10,00;14,00;9,00;5,00;2,67;42,67;2,67;8,00
2019-10-20;8,00;21,00;7,00;5,00;4,00;2,67;40,00;5,33;8,00
2019-10-27;7,00;14,00;11,00;6,00;8,00;3,50;49,00;3,50;7,00
2019-11-03;4,00;11,00;7,00;5,00;7,00;2,00;30,00;2,00;4,00
2019-11-10;4,00;15,00;1,00;7,00;5,00;1,00;20,00;2,00;4,00
2019-11-17;7,00;18,00;6,00;5,00;4,00;1,75;45,50;3,50;7,00
2019-11-24;7,00;13,00;8,00;5,00;4,00;1,75;38,50;3,50;3,50
2019-12-01;4,00;8,00;6,00;5,00;6,00;2,00;26,00;2,00;2,00
2019-12-08;7,00;9,00;5,00;4,00;4,00;3,50;56,00;1,75;7,00
2019-12-15;7,00;8,00;9,00;4,00;5,00;3,50;56,00;3,50;7,00
2019-12-22;8,00;17,00;12,00;4,00;7,00;2,67;40,00;2,67;5,33
2019-12-29;11,00;29,00;6,00;10,00;5,00;2,75;57,75;5,50;8,25
2020-01-05;15,00;29,00;15,00;9,00;6,00;3,00;90,00;6,00;9,00
2020-01-12;20,00;19,00;9,00;9,00;9,00;5,71;80,00;8,57;8,57
2020-01-19;19,00;31,00;7,00;8,00;9,00;5,43;86,86;2,71;8,14
2020-01-26;19,00;18,00;12,00;10,00;8,00;5,43;73,29;5,43;8,14
2020-02-02;18,00;17,00;11,00;9,00;11,00;6,00;87,00;6,00;9,00
2020-02-09;18,00;18,00;17,00;9,00;7,00;6,00;72,00;6,00;9,00
2020-02-16;19,00;26,00;17,00;8,00;11,00;2,71;70,57;8,14;10,86
2020-02-23;18,00;20,00;8,00;7,00;10,00;6,00;57,00;6,00;12,00
2020-03-01;16,00;13,00;13,00;8,00;9,00;5,33;48,00;5,33;10,67
2020-03-08;12,00;11,00;10,00;5,00;8,00;1,50;48,00;3,00;9,00
2020-03-15;6,00;9,00;11,00;4,00;2,00;1,50;30,00;3,00;9,00
2020-03-22;4,00;11,00;7,00;3,00;2,00;2,00;88,00;4,00;8,00
