Paris;DE;BE;CH;ES;FR;IT;NL;GB;US
2019-04-21;18,00;46,29;41,14;25,71;231,43;36,00;30,00;21,00;8,00
2019-04-28;17,00;36,83;36,83;28,33;226,67;28,00;35,00;21,00;9,00
2019-05-05;15,00;35,00;42,50;27,50;190,00;36,00;24,00;23,00;8,00
2019-05-12;14,00;33,60;42,00;28,00;215,60;28,00;19,00;21,00;9,00
2019-05-19;16,00;34,67;48,00;26,67;218,67;29,00;27,00;25,00;10,00
2019-05-26;15,00;50,00;45,00;25,00;217,50;28,00;29,00;21,00;10,00
2019-06-02;18,00;38,57;46,29;25,71;213,43;37,00;30,00;24,00;10,00
2019-06-09;18,00;38,57;43,71;30,86;223,71;29,00;23,00;24,00;10,00
2019-06-16;20,00;37,50;27,50;25,00;235,00;34,00;24,00;27,00;10,00
2019-06-23;16,00;48,00;34,67;29,33;253,33;31,00;23,00;27,00;10,00
2019-06-30;16,00;45,33;40,00;29,33;253,33;33,00;22,00;24,00;9,00
2019-07-07;20,00;40,00;27,50;25,00;232,50;31,00;26,00;25,00;9,00
2019-07-14;19,00;54,29;46,14;29,86;252,43;36,00;25,00;21,00;9,00
2019-07-21;18,00;54,00;41,14;38,57;257,14;36,00;41,00;28,00;8,00
2019-07-28;19,00;48,86;46,14;40,71;260,57;36,00;36,00;26,00;9,00
2019-08-04;17,00;41,29;38,86;34,00;230,71;43,00;37,00;26,00;8,00
2019-08-11;18,00;59,14;25,71;33,43;234,00;35,00;27,00;22,00;8,00
2019-08-18;15,00;37,50;25,00;32,50;227,50;39,00;27,00;24,00;8,00
2019-08-25;19,00;46,14;32,57;35,29;230,71;40,00;23,00;24,00;7,00
2019-09-01;18,00;43,71;48,86;33,43;223,71;42,00;28,00;25,00;9,00
2019-09-08;16,00;48,00;48,00;32,00;237,33;41,00;25,00;24,00;9,00
2019-09-15;21,00;42,00;47,25;36,75;231,00;37,00;29,00;27,00;9,00
2019-09-22;21,00;42,00;39,38;34,13;212,63;37,00;25,00;26,00;9,00
2019-09-29;22,00;46,75;60,50;35,75;250,25;47,00;26,00;24,00;10,00
2019-10-06;16,00;50,67;42,67;37,33;221,33;41,00;28,00;24,00;9,00
2019-10-13;18,00;41,14;43,71;30,86;241,71;42,00;29,00;23,00;8,00
2019-10-20;18,00;48,86;41,14;33,43;231,43;43,00;22,00;26,00;8,00
2019-10-27;18,00;43,71;48,86;36,00;244,29;100,00;23,00;24,00;7,00
2019-11-03;17,00;51,00;26,71;29,14;182,14;46,00;19,00;26,00;8,00
2019-11-10;15,00;40,00;45,00;27,50;192,50;37,00;25,00;22,00;9,00
2019-11-17;13,00;36,40;33,80;28,60;192,40;35,00;24,00;19,00;8,00
2019-11-24;14,00;44,80;44,80;36,40;196,00;39,00;20,00;21,00;8,00
2019-12-01;18,00;36,00;38,57;28,29;185,14;38,00;30,00;22,00;8,00
2019-12-08;14,00;36,40;44,80;36,40;212,80;36,00;28,00;18,00;7,00
2019-12-15;15,00;40,00;25,00;25,00;202,50;39,00;25,00;21,00;8,00
2019-12-22;23,00;58,78;43,44;23,00;227,44;41,00;29,00;23,00;10,00
2019-12-29;18,00;43,71;46,29;30,86;234,00;44,00;30,00;25,00;11,00
2020-01-05;17,00;26,71;31,57;29,14;179,71;44,00;31,00;26,00;11,00
2020-01-12;18,00;36,00;33,43;33,43;208,29;41,00;24,00;28,00;11,00
2020-01-19;17,00;42,50;31,17;36,83;226,67;40,00;27,00;26,00;11,00
2020-01-26;16,00;42,67;40,00;29,33;197,33;35,00;20,00;22,00;9,00
2020-02-02;16,00;37,33;45,33;37,33;210,67;29,00;18,00;25,00;10,00
2020-02-09;16,00;40,00;45,33;32,00;213,33;35,00;27,00;26,00;10,00
2020-02-16;16,00;42,67;40,00;37,33;213,33;31,00;23,00;27,00;10,00
2020-02-23;12,00;36,00;31,20;24,00;194,40;28,00;22,00;25,00;10,00
2020-03-01;15,00;37,50;32,50;25,00;172,50;23,00;21,00;25,00;10,00
2020-03-08;13,00;31,20;23,40;23,40;166,40;16,00;16,00;19,00;12,00
2020-03-15;5,00;15,00;12,50;10,00;97,50;13,00;10,00;12,00;8,00
2020-03-22;5,00;15,00;12,50;5,00;60,00;12,00;6,00;7,00;6,00
2020-03-29;6,00;15,00;9,00;9,00;66,00;13,00;7,00;6,00;5,00
2020-04-05;6,00;15,00;12,00;9,00;60,00;9,00;7,00;8,00;5,00
