Disney;BE;CH;DE;ES;FR;IT;NL;UK;US
2019-01-06;70,00;13,00;17,00;28,00;45,00;14,00;39,00;46,00;1,00
2019-01-13;71,00;16,00;17,00;28,00;47,00;19,00;39,00;39,00;1,00
2019-01-20;53,00;13,00;15,00;25,00;39,00;17,00;33,00;34,00;1,00
2019-01-27;45,00;10,00;12,00;24,00;30,00;13,00;28,00;30,00;1,00
2019-02-03;44,00;13,00;11,00;24,00;31,00;10,00;24,00;32,00;1,00
2019-02-10;47,00;12,00;11,00;30,00;35,00;10,00;26,00;32,00;1,00
2019-02-17;48,00;12,00;12,00;31,00;37,00;10,00;26,00;31,00;1,00
2019-02-24;45,00;15,00;11,00;28,00;33,00;11,00;24,00;27,00;1,00
2019-03-03;60,00;12,00;12,00;30,00;36,00;10,00;34,00;32,00;1,00
2019-03-10;48,00;15,00;13,00;29,00;36,00;15,00;34,00;30,00;1,00
2019-03-17;62,00;10,00;14,00;31,00;47,00;18,00;35,00;61,00;1,00
2019-03-24;58,00;15,00;14,00;34,00;47,00;16,00;33,00;40,00;1,00
2019-03-31;66,00;16,00;14,00;27,00;45,00;14,00;39,00;28,00;1,00
2019-04-07;65,00;21,00;16,00;27,00;50,00;15,00;31,00;31,00;1,00
2019-04-14;51,00;25,00;17,00;27,00;51,00;14,00;34,00;26,00;1,00
2019-04-21;51,00;21,00;17,00;27,00;51,00;17,00;37,00;25,00;1,00
2019-04-28;51,00;18,00;18,00;22,00;47,00;14,00;35,00;25,00;1,00
2019-05-05;48,00;16,00;20,00;25,00;38,00;12,00;27,00;25,00;1,00
2019-05-12;47,00;15,00;19,00;26,00;37,00;12,00;27,00;27,00;1,00
2019-05-19;45,00;15,00;19,00;26,00;38,00;12,00;34,00;29,00;1,00
2019-05-26;48,00;18,00;17,00;25,00;46,00;11,00;31,00;32,00;1,00
2019-06-02;53,00;14,00;15,00;27,00;39,00;11,00;29,00;27,00;1,00
2019-06-09;57,00;13,00;18,00;26,00;44,00;14,00;29,00;29,00;1,00
2019-06-16;51,00;14,00;16,00;27,00;42,00;14,00;27,00;30,00;1,00
2019-06-23;46,00;12,00;13,00;24,00;42,00;12,00;23,00;28,00;1,00
2019-06-30;63,00;11,00;14,00;26,00;47,00;13,00;26,00;28,00;1,00
2019-07-07;65,00;16,00;18,00;26,00;47,00;13,00;44,00;29,00;1,00
2019-07-14;73,00;17,00;17,00;29,00;61,00;14,00;40,00;31,00;1,00
2019-07-21;61,00;15,00;16,00;28,00;53,00;14,00;35,00;31,00;1,00
2019-07-28;71,00;18,00;20,00;29,00;55,00;16,00;38,00;34,00;1,00
2019-08-04;70,00;13,00;16,00;29,00;61,00;16,00;43,00;35,00;1,00
2019-08-11;66,00;16,00;16,00;28,00;61,00;17,00;34,00;33,00;1,00
2019-08-18;66,00;16,00;15,00;30,00;57,00;17,00;34,00;33,00;1,00
2019-08-25;57,00;15,00;15,00;32,00;50,00;17,00;27,00;33,00;1,00
2019-09-01;64,00;18,00;16,00;26,00;47,00;15,00;31,00;32,00;1,00
2019-09-08;74,00;21,00;16,00;25,00;50,00;14,00;48,00;37,00;1,00
2019-09-15;75,00;18,00;16,00;24,00;49,00;15,00;40,00;38,00;1,00
2019-09-22;94,00;21,00;21,00;28,00;55,00;14,00;43,00;39,00;1,00
2019-09-29;82,00;20,00;21,00;25,00;53,00;15,00;37,00;36,00;1,00
2019-10-06;65,00;17,00;17,00;25,00;58,00;14,00;44,00;31,00;1,00
2019-10-13;62,00;20,00;15,00;22,00;56,00;18,00;38,00;32,00;1,00
2019-10-20;64,00;19,00;14,00;19,00;65,00;18,00;33,00;34,00;1,00
2019-10-27;69,00;16,00;14,00;21,00;61,00;19,00;29,00;27,00;1,00
2019-11-03;62,00;15,00;12,00;24,00;51,00;15,00;35,00;27,00;1,00
2019-11-10;66,00;14,00;12,00;23,00;57,00;17,00;33,00;23,00;1,00
2019-11-17;64,00;14,00;14,00;32,00;53,00;21,00;32,00;24,00;2,00
2019-11-24;60,00;11,00;12,00;26,00;51,00;16,00;26,00;21,00;2,00
2019-12-01;46,00;12,00;12,00;23,00;51,00;15,00;27,00;20,00;1,00
2019-12-08;52,00;11,00;12,00;21,00;47,00;12,00;29,00;18,00;1,00
2019-12-15;58,00;14,00;13,00;19,00;52,00;11,00;32,00;21,00;2,00
2019-12-22;85,00;22,00;18,00;22,00;76,00;14,00;35,00;36,00;2,00
2019-12-29;76,00;16,00;19,00;25,00;69,00;18,00;38,00;52,00;2,00
2020-01-05;67,00;19,00;23,00;28,00;50,00;16,00;40,00;45,00;2,00
2020-01-12;71,00;19,00;23,00;28,00;45,00;24,00;42,00;43,00;2,00
2020-01-19;61,00;18,00;20,00;25,00;43,00;25,00;39,00;40,00;2,00
2020-01-26;60,00;16,00;16,00;26,00;42,00;21,00;35,00;33,00;2,00
2020-02-02;63,00;15,00;14,00;28,00;45,00;15,00;28,00;31,00;2,00
2020-02-09;49,00;19,00;13,00;28,00;45,00;13,00;30,00;36,00;2,00
2020-02-16;59,00;16,00;14,00;29,00;57,00;14,00;33,00;41,00;2,00
2020-02-23;69,00;13,00;13,00;26,00;61,00;9,00;32,00;32,00;2,00
2020-03-01;59,00;11,00;13,00;29,00;57,00;9,00;34,00;33,00;2,00
2020-03-08;99,00;20,00;20,00;35,00;100,00;7,00;47,00;52,00;2,00
2020-03-15;17,00;6,00;5,00;7,00;12,00;4,00;12,00;10,00;1,00
2020-03-22;17,00;5,00;5,00;7,00;10,00;4,00;11,00;7,00;1,00
2020-03-29;15,00;2,00;7,00;8,00;11,00;6,00;11,00;10,00;1,00
2020-04-05;17,00;4,00;5,00;9,00;12,00;4,00;8,00;11,00;1,00
2020-04-12;22,00;7,00;5,00;9,00;19,00;6,00;10,00;12,00;1,00
2020-04-19;16,00;6,00;5,00;8,00;16,00;4,00;10,00;10,00;1,00
2020-04-26;15,00;4,00;5,00;9,00;15,00;4,00;11,00;11,00;1,00
2020-05-03;15,00;5,00;6,00;6,00;13,00;4,00;11,00;11,00;1,00
2020-05-10;16,00;6,00;5,00;7,00;14,00;4,00;11,00;10,00;1,00
2020-05-17;15,00;5,00;6,00;7,00;16,00;5,00;12,00;10,00;1,00
2020-05-24;16,00;6,00;6,00;8,00;18,00;4,00;14,00;11,00;1,00
2020-05-31;18,00;6,00;7,00;8,00;19,00;5,00;13,00;11,00;1,00
2020-06-07;23,00;5,00;8,00;8,00;22,00;4,00;17,00;12,00;1,00
2020-06-14;28,00;7,00;8,00;9,00;26,00;6,00;17,00;11,00;1,00
2020-06-21;30,00;8,00;9,00;9,00;31,00;5,00;23,00;16,00;1,00
2020-06-28;42,00;6,00;9,00;9,00;29,00;5,00;24,00;16,00;1,00
2020-07-05;41,00;6,00;10,00;8,00;29,00;5,00;25,00;16,00;1,00
2020-07-12;50,00;12,00;13,00;11,00;44,00;6,00;27,00;19,00;1,00
2020-07-19;42,00;9,00;12,00;9,00;34,00;4,00;22,00;18,00;1,00
2020-07-26;35,00;7,00;10,00;9,00;34,00;5,00;18,00;13,00;1,00
2020-08-02;29,00;6,00;10,00;10,00;40,00;6,00;20,00;13,00;1,00
2020-08-09;32,00;4,00;9,00;9,00;37,00;5,00;19,00;13,00;1,00
2020-08-16;39,00;7,00;8,00;9,00;37,00;5,00;17,00;10,00;1,00
2020-08-23;47,00;5,00;8,00;8,00;32,00;5,00;19,00;10,00;1,00
2020-08-30;34,00;6,00;6,00;9,00;33,00;5,00;11,00;10,00;1,00
2020-09-06;38,00;7,00;5,00;10,00;29,00;5,00;16,00;9,00;1,00
2020-09-13;20,00;5,00;6,00;8,00;34,00;4,00;15,00;8,00;1,00
2020-09-20;24,00;4,00;5,00;7,00;36,00;3,00;10,00;8,00;1,00
2020-09-27;28,00;6,00;5,00;9,00;40,00;4,00;11,00;7,00;1,00
2020-10-04;27,00;4,00;5,00;9,00;45,00;2,00;10,00;7,00;1,00
2020-10-11;25,00;5,00;4,00;10,00;46,00;3,00;8,00;7,00;1,00
2020-10-18;21,00;3,00;3,00;7,00;47,00;2,00;9,00;6,00;1,00
2020-10-25;18,00;3,00;2,00;6,00;43,00;2,00;10,00;9,00;1,00
2020-11-01;15,00;4,00;2,00;4,00;48,00;2,00;5,00;4,00;1,00
2020-11-08;13,00;5,00;2,00;6,00;14,00;2,00;6,00;6,00;1,00
2020-11-15;13,00;2,00;3,00;6,00;14,00;3,00;8,00;6,00;1,00
2020-11-22;16,00;4,00;3,00;5,00;17,00;3,00;8,00;7,00;1,00
2020-11-29;14,00;3,00;3,00;6,00;14,00;4,00;9,00;7,00;1,00
2020-12-06;12,00;3,00;3,00;7,00;13,00;3,00;7,00;7,00;1,00
2020-12-13;13,00;2,00;2,00;7,00;14,00;3,00;6,00;6,00;1,00
2020-12-20;16,00;3,00;4,00;7,00;17,00;4,00;7,00;6,00;1,00
2020-12-27;14,00;3,00;4,00;8,00;17,00;6,00;7,00;10,00;1,00
2021-01-03;16,00;4,00;4,00;6,00;13,00;3,00;9,00;8,00;1,00
2021-01-10;11,00;3,00;3,00;5,00;12,00;3,00;6,00;8,00;1,00
2021-01-17;14,00;2,00;3,00;6,00;16,00;3,00;7,00;9,00;1,00
2021-01-24;8,00;2,00;3,00;4,00;9,00;2,00;6,00;7,00;1,00
2021-01-31;11,00;3,00;3,00;6,00;9,00;3,00;6,00;6,00;1,00
2021-02-07;11,00;3,00;3,00;6,00;9,00;3,00;6,00;7,00;1,00
2021-02-14;17,00;3,00;3,00;6,00;12,00;3,00;7,00;7,00;1,00
2021-02-21;15,00;3,00;3,00;6,00;11,00;3,00;8,00;10,00;1,00
2021-02-28;13,00;2,00;3,00;6,00;11,00;2,00;7,00;9,00;1,00
2021-03-07;14,00;4,00;4,00;7,00;14,00;3,00;9,00;10,00;1,00
2021-03-14;15,00;4,00;3,00;6,00;12,00;3,00;7,00;9,00;1,00
2021-03-21;7,00;4,00;3,00;5,00;9,00;3,00;6,00;6,00;1,00
2021-03-28;8,00;3,00;3,00;6,00;9,00;3,00;7,00;6,00;1,00
2021-04-04;15,00;4,00;3,00;5,00;9,00;3,00;9,00;7,00;1,00
2021-04-11;16,00;2,00;3,00;6,00;13,00;4,00;7,00;7,00;1,00
2021-04-18;15,00;5,00;2,00;7,00;14,00;4,00;9,00;6,00;1,00
2021-04-25;15,00;5,00;4,00;7,00;21,00;4,00;9,00;8,00;1,00
2021-05-02;21,00;4,00;7,00;6,00;30,00;4,00;10,00;8,00;1,00
2021-05-09;22,00;5,00;11,00;9,00;28,00;4,00;13,00;8,00;1,00
2021-05-16;56,00;11,00;11,00;12,00;56,00;7,00;21,00;11,00;1,00
2021-05-23;36,00;6,00;10,00;13,00;37,00;6,00;18,00;10,00;1,00
2021-05-30;33,00;8,00;9,00;15,00;40,00;8,00;18,00;10,00;1,00
2021-06-06;28,00;5,00;11,00;18,00;39,00;7,00;16,00;8,00;1,00
2021-06-13;41,00;7,00;10,00;19,00;52,00;8,00;20,00;10,00;1,00
2021-06-20;50,00;9,00;13,00;20,00;63,00;8,00;26,00;11,00;1,00
2021-06-27;51,00;13,00;13,00;17,00;59,00;8,00;24,00;11,00;1,00
2021-07-04;61,00;13,00;14,00;14,00;61,00;7,00;24,00;12,00;1,00
2021-07-11;54,00;11,00;13,00;18,00;66,00;8,00;24,00;11,00;1,00
2021-07-18;48,00;14,00;13,00;17,00;57,00;8,00;24,00;9,00;1,00
2021-07-25;57,00;10,00;12,00;18,00;57,00;7,00;28,00;11,00;1,00
2021-08-01;55,00;11,00;12,00;16,00;59,00;8,00;27,00;12,00;1,00
