Chambres_hotes;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;25,00;50,00;25,00;14,00;6,00;91,67;37,50;54,17;12,50
2019-01-13;29,00;49,00;28,00;14,00;6,00;95,29;41,43;45,57;12,43
2019-01-20;30,00;55,00;25,00;11,00;8,00;98,57;38,57;47,14;12,86
2019-01-27;33,00;43,00;28,00;11,00;7,00;86,63;33,00;45,38;12,38
2019-02-03;34,00;47,00;22,00;10,00;8,00;89,25;34,00;51,00;12,75
2019-02-10;36,00;48,00;39,00;10,00;9,00;103,50;49,50;54,00;13,50
2019-02-17;38,00;57,00;21,00;9,00;8,00;92,89;38,00;50,67;12,67
2019-02-24;44,00;55,00;29,00;8,00;9,00;110,00;44,00;57,20;13,20
2019-03-03;41,00;51,00;34,00;11,00;6,00;106,60;36,90;49,20;12,30
2019-03-10;37,00;49,00;28,00;11,00;7,00;106,89;32,89;49,33;12,33
2019-03-17;37,00;43,00;26,00;9,00;9,00;115,11;32,89;49,33;12,33
2019-03-24;39,00;44,00;25,00;9,00;8,00;121,33;39,00;52,00;13,00
2019-03-31;37,00;50,00;33,00;11,00;8,00;135,67;49,33;53,44;12,33
2019-04-07;37,00;53,00;41,00;12,00;9,00;139,78;45,22;61,67;12,33
2019-04-14;37,00;47,00;40,00;13,00;9,00;139,78;49,33;61,67;8,22
2019-04-21;35,00;47,00;36,00;12,00;8,00;175,00;39,38;61,25;13,13
2019-04-28;35,00;52,00;29,00;12,00;7,00;144,38;52,50;61,25;13,13
2019-05-05;34,00;45,00;37,00;12,00;6,00;140,25;42,50;55,25;12,75
2019-05-12;32,00;47,00;31,00;13,00;8,00;116,00;44,00;52,00;12,00
2019-05-19;37,00;50,00;36,00;12,00;8,00;127,44;49,33;65,78;12,33
2019-05-26;42,00;63,00;40,00;14,00;8,00;134,40;54,60;63,00;12,60
2019-06-02;40,00;59,00;38,00;12,00;10,00;186,67;48,89;66,67;13,33
2019-06-09;39,00;69,00;43,00;14,00;10,00;199,33;43,33;65,00;13,00
2019-06-16;41,00;72,00;39,00;14,00;10,00;200,90;49,20;61,50;16,40
2019-06-23;41,00;71,00;34,00;14,00;10,00;209,10;45,10;65,60;16,40
2019-06-30;40,00;98,00;40,00;13,00;10,00;240,00;48,89;71,11;17,78
2019-07-07;48,00;89,00;35,00;14,00;11,00;226,91;61,09;69,82;17,45
2019-07-14;52,00;99,00;51,00;16,00;10,00;234,00;65,00;69,33;17,33
2019-07-21;54,00;80,00;43,00;16,00;11,00;249,23;62,31;66,46;16,62
2019-07-28;56,00;73,00;47,00;15,00;10,00;262,77;64,62;73,23;12,92
2019-08-04;63,00;81,00;36,00;14,00;13,00;323,40;71,40;71,40;16,80
2019-08-11;63,00;67,00;37,00;15,00;9,00;340,20;67,20;67,20;16,80
2019-08-18;54,00;74,00;35,00;15,00;11,00;232,62;62,31;74,77;12,46
2019-08-25;44,00;58,00;32,00;14,00;8,00;193,60;48,40;70,40;13,20
2019-09-01;35,00;52,00;35,00;13,00;9,00;161,88;48,13;61,25;13,13
2019-09-08;36,00;45,00;37,00;13,00;8,00;162,00;45,00;67,50;13,50
2019-09-15;31,00;48,00;33,00;13,00;8,00;150,57;44,29;66,43;13,29
2019-09-22;28,00;45,00;31,00;11,00;8,00;120,00;36,00;56,00;12,00
2019-09-29;30,00;42,00;33,00;12,00;7,00;128,57;34,29;55,71;12,86
2019-10-06;28,00;35,00;29,00;10,00;7,00;135,33;46,67;60,67;14,00
2019-10-13;27,00;36,00;25,00;9,00;8,00;126,00;36,00;49,50;13,50
2019-10-20;26,00;34,00;26,00;11,00;6,00;117,00;34,67;47,67;13,00
2019-10-27;24,00;39,00;13,00;9,00;6,00;104,00;28,00;40,00;12,00
2019-11-03;23,00;35,00;22,00;9,00;6,00;105,80;32,20;46,00;13,80
2019-11-10;21,00;34,00;20,00;9,00;5,00;100,80;25,20;33,60;8,40
2019-11-17;21,00;35,00;15,00;7,00;7,00;100,80;25,20;33,60;8,40
2019-11-24;18,00;35,00;16,00;10,00;7,00;90,00;27,00;36,00;13,50
2019-12-01;20,00;27,00;17,00;9,00;6,00;88,00;24,00;32,00;8,00
2019-12-08;18,00;26,00;17,00;8,00;6,00;90,00;27,00;31,50;13,50
