Train;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;62,00;5,00;17,00;3,00;3,00;5,47;83,88;83,88;7,29
2019-01-13;61,00;15,00;5,00;3,00;4,00;3,59;86,12;80,74;7,18
2019-01-20;62,00;16,00;6,00;4,00;2,00;3,65;91,18;83,88;7,29
2019-01-27;63,00;4,00;8,00;4,00;2,00;1,85;100,06;79,68;7,41
2019-02-03;68,00;11,00;17,00;4,00;4,00;5,51;183,78;88,22;5,51
2019-02-10;66,00;21,00;5,00;4,00;2,00;3,67;170,50;86,17;7,33
2019-02-17;80,00;19,00;10,00;4,00;5,00;5,45;138,18;100,00;7,27
2019-02-24;74,00;19,00;9,00;5,00;4,00;5,55;129,50;88,80;7,40
2019-03-03;72,00;11,00;8,00;3,00;3,00;5,40;124,20;88,20;7,20
2019-03-10;66,00;10,00;17,00;2,00;3,00;5,50;102,67;82,50;7,33
2019-03-17;74,00;16,00;22,00;4,00;3,00;7,22;108,29;86,63;7,22
2019-03-24;76,00;11,00;14,00;4,00;5,00;7,24;115,81;86,86;7,24
2019-03-31;71,00;19,00;9,00;3,00;2,00;3,64;154,74;87,38;7,28
2019-04-07;72,00;14,00;12,00;5,00;3,00;5,54;169,85;103,38;7,38
2019-04-14;76,00;28,00;16,00;6,00;4,00;9,05;173,71;92,29;7,24
2019-04-21;69,00;16,00;15,00;5,00;5,00;9,08;181,58;85,34;7,26
2019-04-28;62,00;8,00;20,00;4,00;7,00;7,29;171,41;89,35;7,29
2019-05-05;65,00;15,00;8,00;5,00;3,00;7,22;106,53;86,67;7,22
2019-05-12;69,00;14,00;18,00;5,00;5,00;5,45;110,76;92,61;9,08
2019-05-19;70,00;4,00;16,00;5,00;4,00;7,37;121,58;95,79;9,21
2019-05-26;73,00;10,00;10,00;4,00;5,00;7,30;151,48;102,20;9,13
2019-06-02;74,00;11,00;20,00;6,00;5,00;7,22;129,95;86,63;9,02
2019-06-09;77,00;11,00;13,00;6,00;5,00;7,33;126,50;95,33;9,17
2019-06-16;78,00;19,00;15,00;5,00;6,00;5,44;134,23;94,33;10,88
2019-06-23;82,00;19,00;15,00;4,00;4,00;9,11;160,36;107,51;10,93
2019-06-30;92,00;20,00;14,00;5,00;4,00;9,02;147,92;106,43;10,82
2019-07-07;93,00;16,00;25,00;5,00;3,00;7,29;167,76;103,94;9,12
2019-07-14;88,00;23,00;15,00;4,00;5,00;5,50;166,83;102,67;9,17
2019-07-21;83,00;27,00;12,00;4,00;4,00;5,53;153,09;108,82;9,22
2019-07-28;97,00;25,00;14,00;4,00;6,00;7,32;164,72;113,47;9,15
2019-08-04;99,00;11,00;15,00;5,00;4,00;5,50;152,17;106,33;9,17
2019-08-11;92,00;26,00;23,00;4,00;6,00;5,41;160,55;110,04;7,22
2019-08-18;86,00;18,00;19,00;4,00;5,00;7,32;155,53;128,09;7,32
2019-08-25;68,00;11,00;17,00;4,00;3,00;3,58;152,11;98,42;7,16
2019-09-01;64,00;17,00;17,00;5,00;3,00;5,49;117,03;93,26;7,31
2019-09-08;67,00;13,00;12,00;6,00;4,00;5,43;123,14;94,16;7,24
2019-09-15;71,00;16,00;16,00;4,00;4,00;5,46;131,08;91,03;7,28
2019-09-22;64,00;10,00;14,00;5,00;5,00;5,49;128,00;91,43;7,31
2019-09-29;75,00;14,00;25,00;5,00;3,00;5,49;133,54;89,63;7,32
2019-10-06;68,00;14,00;12,00;4,00;3,00;5,51;123,14;91,89;7,35
2019-10-13;75,00;14,00;14,00;3,00;4,00;5,49;164,63;89,63;7,32
