Voyage;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;81,00;62,00;72,00;81,00;73,00;62,44;62,44;81,00;43,88
2019-01-13;81,00;54,00;73,00;78,00;72,00;62,44;59,06;81,00;42,19
2019-01-20;72,00;51,00;65,00;71,00;68,00;56,93;48,56;78,70;40,19
2019-01-27;56,00;50,00;65,00;69,00;76,00;59,29;46,12;72,47;37,88
2019-02-03;55,00;44,00;65,00;60,00;76,00;58,33;43,33;68,33;38,33
2019-02-10;52,00;46,00;62,00;54,00;74,00;58,71;43,61;60,39;40,26
2019-02-17;53,00;41,00;60,00;51,00;76,00;57,97;43,06;62,94;41,41
2019-02-24;66,00;43,00;56,00;47,00;75,00;62,62;44,00;64,31;40,62
2019-03-03;53,00;45,00;60,00;53,00;73,00;61,28;39,75;62,94;43,06
2019-03-10;52,00;44,00;60,00;50,00;75,00;63,74;43,61;60,39;41,94
2019-03-17;52,00;44,00;60,00;47,00;78,00;62,06;35,23;62,06;41,94
2019-03-24;52,00;41,00;55,00;43,00;79,00;62,06;38,58;60,39;40,26
2019-03-31;69,00;50,00;55,00;41,00;71,00;58,90;37,02;62,27;40,39
2019-04-07;70,00;45,00;62,00;42,00;77,00;58,33;38,33;71,67;38,33
2019-04-14;66,00;44,00;59,00;42,00;67,00;57,54;37,23;62,62;37,23
2019-04-21;66,00;43,00;62,00;43,00;66,00;61,05;37,95;64,35;37,95
2019-04-28;66,00;45,00;57,00;45,00;66,00;59,23;44,00;64,31;37,23
2019-05-05;64,00;41,00;59,00;42,00;69,00;57,26;40,42;62,32;37,05
2019-05-12;59,00;44,00;58,00;41,00;73,00;53,94;37,09;64,06;40,46
2019-05-19;58,00;47,00;55,00;41,00;72,00;53,03;38,11;67,94;39,77
2019-05-26;54,00;43,00;55,00;41,00;70,00;54,00;40,50;69,19;42,19
2019-06-02;58,00;49,00;55,00;42,00;78,00;61,41;44,35;71,65;46,06
2019-06-09;65,00;50,00;61,00;46,00;77,00;65,00;43,33;75,00;45,00
