Avion;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;52,00;78,00;18,00;12,00;5,00;16,49;114,15;6,34;22,83
2019-01-13;49,00;82,00;16,00;11,00;4,00;13,82;113,08;6,28;20,10
2019-01-20;46,00;72,00;12,00;11,00;5,00;12,43;95,73;6,22;19,89
2019-01-27;40,00;67,00;14,00;11,00;4,00;12,50;105,00;6,25;20,00
2019-02-03;44,00;72,00;12,00;13,00;5,00;12,57;100,57;7,54;20,11
2019-02-10;40,00;73,00;11,00;11,00;4,00;16,25;101,25;6,25;20,00
2019-02-17;46,00;61,00;16,00;11,00;5,00;12,43;99,46;6,22;21,14
2019-02-24;47,00;67,00;20,00;11,00;5,00;13,61;101,42;6,18;21,03
2019-03-03;41,00;80,00;16,00;13,00;5,00;13,67;91,94;6,21;22,36
2019-03-10;43,00;68,00;13,00;12,00;5,00;13,91;92,32;6,32;21,50
2019-03-17;43,00;67,00;17,00;11,00;3,00;12,65;87,26;7,59;21,50
2019-03-24;45,00;66,00;17,00;13,00;5,00;15,43;86,14;6,43;20,57
2019-03-31;49,00;75,00;18,00;12,00;6,00;15,08;91,72;6,28;21,36
2019-04-07;47,00;69,00;15,00;13,00;5,00;13,61;89,05;8,66;19,79
2019-04-14;42,00;61,00;18,00;13,00;4,00;14,00;78,91;6,36;19,09
2019-04-21;45,00;66,00;15,00;12,00;5,00;15,00;76,25;7,50;20,00
2019-04-28;46,00;58,00;14,00;11,00;6,00;15,33;94,56;6,39;20,44
2019-05-05;44,00;67,00;13,00;12,00;6,00;13,83;88,00;7,54;20,11
2019-05-12;42,00;59,00;12,00;11,00;5,00;12,73;87,82;7,64;21,64
2019-05-19;41,00;61,00;18,00;13,00;5,00;14,09;92,25;7,69;21,78
2019-05-26;41,00;62,00;14,00;14,00;6,00;12,42;89,45;6,21;21,12
2019-06-02;45,00;64,00;17,00;13,00;7,00;16,25;87,50;7,50;21,25
2019-06-09;48,00;79,00;17,00;14,00;6,00;15,16;97,26;6,32;22,74
2019-06-16;49,00;73,00;13,00;14,00;6,00;17,59;92,97;7,54;22,62
2019-06-23;48,00;70,00;17,00;14,00;6,00;17,68;90,95;7,58;22,74
2019-06-30;55,00;90,00;18,00;16,00;6,00;16,25;98,75;7,50;22,50
2019-07-07;56,00;90,00;20,00;16,00;7,00;18,67;124,44;8,71;22,40
2019-07-14;53,00;98,00;22,00;15,00;8,00;17,67;121,14;8,83;22,71
2019-07-21;51,00;77,00;20,00;16,00;8,00;19,13;122,40;8,93;21,68
2019-07-28;59,00;87,00;18,00;15,00;9,00;20,09;109,21;7,53;21,34
2019-08-04;54,00;86,00;18,00;14,00;9,00;20,09;114,28;7,53;20,09
2019-08-11;52,00;71,00;17,00;13,00;7,00;18,57;105,24;7,43;19,81
2019-08-18;45,00;61,00;25,00;14,00;7,00;15,00;100,00;7,50;20,00
2019-08-25;38,00;72,00;13,00;12,00;6,00;15,20;101,33;7,60;19,00
2019-09-01;42,00;59,00;14,00;11,00;5,00;17,29;98,82;8,65;18,53
2019-09-08;43,00;71,00;14,00;11,00;6,00;15,18;92,32;10,12;18,97
2019-09-15;41,00;56,00;16,00;11,00;6,00;14,09;94,81;10,25;19,22
2019-09-22;37,00;71,00;15,00;10,00;5,00;15,31;91,86;10,21;19,14
2019-09-29;43,00;55,00;13,00;12,00;5,00;13,91;82,21;10,12;18,97
2019-10-06;38,00;55,00;14,00;11,00;7,00;12,26;93,16;11,03;18,39
2019-10-13;40,00;60,00;17,00;11,00;5,00;13,75;90,00;15,00;20,00
2019-10-20;41,00;59,00;14,00;11,00;5,00;13,67;82,00;31,06;29,82
2019-10-27;42,00;61,00;15,00;10,00;5,00;14,00;82,73;17,82;22,91
