Tout_inclus;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;78,00;54,00;40,00;40,00;8,00;39,00;89,70;195,00;95,55
2019-01-13;82,00;48,00;29,00;42,00;12,00;36,23;82,00;173,53;87,72
2019-01-20;73,00;42,00;28,00;37,00;10,00;36,50;63,39;149,84;84,53
2019-01-27;78,00;52,00;37,00;37,00;12,00;33,15;64,35;144,30;78,00
2019-02-03;86,00;50,00;34,00;33,00;10,00;33,23;64,50;144,64;76,23
2019-02-10;100,00;44,00;41,00;30,00;13,00;32,69;63,46;125,00;69,23
2019-02-17;95,00;33,00;32,00;27,00;14,00;32,96;56,22;126,02;81,43
2019-02-24;91,00;41,00;28,00;25,00;12,00;38,72;54,21;123,91;77,45
2019-03-03;85,00;44,00;33,00;26,00;11,00;32,84;50,23;119,77;77,27
2019-03-10;66,00;34,00;27,00;26,00;11,00;33,00;54,35;120,35;69,88
2019-03-17;68,00;39,00;30,00;28,00;12,00;33,03;48,57;132,11;64,11
2019-03-24;63,00;42,00;26,00;24,00;14,00;32,45;51,55;118,36;66,82
2019-03-31;65,00;40,00;35,00;24,00;11,00;29,55;55,15;126,06;63,03
2019-04-07;64,00;37,00;43,00;27,00;14,00;29,09;54,30;128,00;60,12
2019-04-14;55,00;41,00;21,00;26,00;14,00;29,46;47,14;125,71;56,96
2019-04-21;60,00;36,00;35,00;26,00;12,00;34,84;54,19;147,10;58,06
2019-04-28;59,00;40,00;40,00;27,00;14,00;33,43;68,83;149,47;55,07
2019-05-05;58,00;34,00;26,00;27,00;13,00;29,00;52,20;141,13;54,13
2019-05-12;53,00;32,00;27,00;27,00;19,00;27,48;49,07;157,04;54,96
2019-05-19;51,00;43,00;44,00;31,00;17,00;35,31;66,69;160,85;56,88
2019-05-26;52,00;47,00;28,00;33,00;15,00;32,74;61,63;163,70;59,70
2019-06-02;54,00;44,00;29,00;36,00;16,00;38,57;63,64;163,93;59,79
2019-06-09;62,00;55,00;37,00;40,00;19,00;44,56;60,06;164,69;62,00
2019-06-16;64,00;55,00;51,00;44,00;23,00;54,30;60,12;170,67;65,94
2019-06-23;63,00;47,00;34,00;43,00;19,00;47,73;63,00;168,00;57,27
2019-06-30;65,00;56,00;41,00;44,00;25,00;53,18;76,82;169,39;53,18
2019-07-07;68,00;74,00;48,00;48,00;24,00;52,46;93,26;170,97;56,34
2019-07-14;88,00;63,00;51,00;45,00;21,00;45,91;91,83;168,35;57,39
2019-07-21;81,00;62,00;43,00;43,00;25,00;50,14;77,14;162,00;57,86
2019-07-28;84,00;55,00;43,00;43,00;25,00;52,74;87,91;158,23;56,65
2019-08-04;86,00;57,00;51,00;44,00;22,00;54,73;86,00;172,00;54,73
2019-08-11;82,00;39,00;30,00;39,00;24,00;50,76;83,95;150,33;50,76
2019-08-18;71,00;44,00;41,00;35,00;21,00;38,38;63,32;143,92;47,97
2019-08-25;62,00;47,00;36,00;39,00;23,00;32,94;62,00;145,31;44,56
2019-09-01;55,00;37,00;29,00;31,00;16,00;27,50;62,86;139,46;47,14
2019-09-08;48,00;30,00;32,00;33,00;14,00;21,12;51,84;142,08;42,24
2019-09-15;48,00;31,00;26,00;30,00;13,00;17,28;53,76;144,00;48,00
2019-09-22;46,00;26,00;31,00;32,00;14,00;13,42;49,83;178,25;46,00
2019-09-29;48,00;28,00;32,00;29,00;11,00;13,44;40,32;122,88;48,00
2019-10-06;42,00;34,00;29,00;25,00;12,00;15,27;47,73;118,36;42,00
