Ski;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;67,00;62,43;85,27;24,36;12,18;23,00;40,00;36,00;17,00
2019-01-13;66,00;52,19;92,09;18,42;10,74;19,00;38,00;30,00;17,00
2019-01-20;72,00;52,09;87,32;16,85;15,32;20,00;31,00;31,00;15,00
2019-01-27;69,00;48,00;82,50;19,50;16,50;16,00;27,00;24,00;14,00
2019-02-03;76,00;34,96;94,24;21,28;18,24;16,00;25,00;24,00;13,00
2019-02-10;80,00;27,17;104,15;18,11;16,60;17,00;31,00;22,00;14,00
2019-02-17;79,00;28,87;97,23;15,19;13,67;17,00;29,00;23,00;14,00
2019-02-24;57,00;40,05;77,03;13,86;12,32;13,00;24,00;18,00;11,00
2019-03-03;43,00;33,79;58,36;10,75;10,75;12,00;20,00;15,00;10,00
2019-03-10;33,00;25,50;57,00;9,00;9,00;11,00;15,00;12,00;8,00
2019-03-17;25,00;19,12;45,59;7,35;5,88;8,00;10,00;13,00;6,00
2019-03-24;19,00;12,67;33,25;4,75;4,75;6,00;7,00;10,00;5,00
2019-03-31;16,00;18,91;26,18;2,91;2,91;6,00;6,00;9,00;4,00
2019-04-07;14,00;12,44;21,78;3,11;4,67;5,00;7,00;10,00;3,00
2019-04-14;12,00;7,50;22,50;3,00;4,50;5,00;4,00;6,00;3,00
2019-04-21;7,00;7,00;9,80;1,40;2,80;4,00;4,00;6,00;2,00
2019-04-28;6,00;6,00;7,50;1,50;1,50;3,00;6,00;5,00;2,00
2019-05-05;5,00;5,00;8,33;1,67;1,67;2,00;4,00;5,00;2,00
2019-05-12;4,00;6,00;6,00;2,00;2,00;3,00;4,00;4,00;2,00
2019-05-19;4,00;6,00;6,00;2,00;2,00;1,00;3,00;5,00;2,00
2019-05-26;3,00;3,00;6,00;1,50;1,50;2,00;4,00;4,00;2,00
2019-06-02;4,00;8,00;6,00;2,00;2,00;2,00;4,00;5,00;2,00
2019-06-09;5,00;5,00;5,00;1,67;1,67;2,00;5,00;5,00;2,00
2019-06-16;4,00;5,33;4,00;1,33;1,33;3,00;4,00;5,00;2,00
2019-06-23;4,00;4,00;5,33;1,33;1,33;3,00;3,00;5,00;2,00
2019-06-30;5,00;5,00;8,33;1,67;1,67;2,00;4,00;6,00;3,00
2019-07-07;5,00;8,33;5,00;1,67;1,67;2,00;7,00;5,00;2,00
2019-07-14;6,00;6,00;7,50;1,50;1,50;2,00;5,00;6,00;3,00
2019-07-21;9,00;9,00;6,00;1,50;3,00;3,00;8,00;6,00;3,00
2019-07-28;9,00;12,00;9,00;1,50;3,00;4,00;8,00;7,00;3,00
2019-08-04;9,00;12,00;7,50;3,00;3,00;3,00;8,00;6,00;3,00
2019-08-11;12,00;19,50;12,00;3,00;1,50;5,00;12,00;8,00;3,00
2019-08-18;13,00;14,44;10,11;1,44;2,89;5,00;11,00;8,00;3,00
2019-08-25;13,00;14,63;9,75;3,25;3,25;5,00;10,00;8,00;3,00
2019-09-01;13,00;17,88;13,00;3,25;4,88;4,00;13,00;9,00;3,00
2019-09-08;15,00;25,50;10,50;4,50;3,00;5,00;16,00;10,00;3,00
2019-09-15;14,00;23,33;15,56;3,11;3,11;5,00;14,00;10,00;4,00
2019-09-22;16,00;21,82;14,55;2,91;2,91;5,00;15,00;11,00;4,00
2019-09-29;18,00;21,00;12,00;4,50;3,00;5,00;16,00;11,00;4,00
2019-10-06;18,00;22,50;19,50;4,50;3,00;7,00;17,00;12,00;5,00
2019-10-13;19,00;28,50;17,42;4,75;3,17;6,00;15,00;12,00;5,00
2019-10-20;22,00;22,00;15,71;6,29;4,71;7,00;16,00;13,00;5,00
2019-10-27;22,00;29,33;16,13;5,87;4,40;7,00;19,00;13,00;5,00
2019-11-03;30,00;22,50;22,50;6,00;6,00;10,00;20,00;14,00;7,00
2019-11-10;41,00;28,85;36,44;9,11;10,63;15,00;21,00;15,00;7,00
2019-11-17;43,00;31,14;47,45;8,90;10,38;16,00;20,00;15,00;8,00
2019-11-24;38,00;30,40;39,52;7,60;12,16;15,00;19,00;14,00;9,00
2019-12-01;40,00;24,62;52,31;10,77;13,85;17,00;20,00;15,00;11,00
2019-12-08;43,00;26,11;61,43;10,75;12,29;17,00;23,00;16,00;11,00
2019-12-15;50,00;39,39;66,67;12,12;12,12;21,00;25,00;18,00;13,00
2019-12-22;87,00;41,21;129,74;21,37;15,26;37,00;35,00;26,00;18,00
2019-12-29;90,00;48,81;152,54;24,41;21,36;45,00;37,00;31,00;19,00
2020-01-05;64,00;47,24;96,00;16,76;13,71;27,00;37,00;31,00;15,00
2020-01-12;65,00;46,86;80,12;15,12;10,58;23,00;35,00;28,00;14,00
2020-01-19;71,00;49,39;75,63;13,89;16,98;20,00;32,00;25,00;14,00
2020-01-26;64,00;42,67;74,67;13,71;15,24;18,00;28,00;23,00;11,00
2020-02-02;67,00;38,07;88,32;13,70;12,18;20,00;33,00;23,00;11,00
2020-02-09;71,00;32,41;100,33;12,35;10,80;18,00;37,00;22,00;12,00
2020-02-16;69,00;42,00;97,50;12,00;9,00;18,00;34,00;21,00;13,00
2020-02-23;59,00;49,92;78,67;13,62;7,56;16,00;33,00;24,00;10,00
2020-03-01;45,00;42,00;48,00;9,00;6,00;17,00;32,00;19,00;8,00
2020-03-08;66,00;84,00;96,00;13,50;6,00;9,00;49,00;30,00;8,00
2020-03-15;21,00;16,50;13,50;1,50;1,50;2,00;8,00;10,00;6,00
2020-03-22;4,00;4,00;4,00;1,33;1,33;2,00;4,00;3,00;2,00
2020-03-29;4,00;4,00;2,67;0,67;1,33;1,00;2,00;4,00;2,00
2020-04-05;4,00;4,00;8,00;2,00;2,00;2,00;2,00;4,00;2,00
2020-04-12;3,00;4,50;4,50;0,75;1,50;1,00;2,00;4,00;2,00
2020-04-19;3,00;1,50;3,00;0,75;1,50;1,00;3,00;3,00;2,00
2020-04-26;4,00;4,00;4,00;1,00;2,00;2,00;1,00;3,00;2,00
2020-05-03;3,00;3,00;6,00;0,75;1,50;1,00;2,00;4,00;2,00
2020-05-10;3,00;3,00;4,50;1,50;1,50;2,00;2,00;3,00;2,00
2020-05-17;4,00;2,67;4,00;0,67;1,33;2,00;2,00;3,00;2,00
2020-05-24;3,00;3,00;6,00;0,75;0,75;2,00;2,00;3,00;2,00
2020-05-31;4,00;2,67;5,33;1,33;0,67;2,00;3,00;4,00;2,00
2020-06-07;5,00;3,33;6,67;1,67;1,67;3,00;4,00;4,00;2,00
2020-06-14;5,00;5,00;3,33;1,67;0,83;2,00;3,00;4,00;2,00
2020-06-21;4,00;4,00;2,67;1,33;1,33;2,00;2,00;4,00;2,00
2020-06-28;5,00;6,67;5,00;1,67;1,67;3,00;4,00;4,00;2,00
2020-07-05;7,00;4,20;5,60;1,40;0,70;2,00;5,00;4,00;3,00
2020-07-12;6,00;4,50;7,50;1,50;1,50;3,00;3,00;4,00;2,00
2020-07-19;6,00;6,00;7,50;1,50;1,50;3,00;3,00;5,00;3,00
2020-07-26;7,00;4,20;7,00;1,40;1,40;3,00;4,00;4,00;3,00
2020-08-02;8,00;4,80;11,20;1,60;1,60;4,00;4,00;4,00;3,00
2020-08-09;10,00;7,14;7,14;1,43;1,43;5,00;4,00;4,00;3,00
2020-08-16;11,00;9,63;8,25;1,38;1,38;4,00;5,00;5,00;3,00
2020-08-23;11,00;9,43;9,43;1,57;1,57;5,00;7,00;5,00;3,00
2020-08-30;12,00;12,00;12,00;1,50;1,50;4,00;8,00;5,00;3,00
2020-09-06;11,00;7,86;7,86;1,57;3,14;4,00;7,00;5,00;4,00
2020-09-13;11,00;9,43;11,00;1,57;1,57;4,00;7,00;5,00;4,00
2020-09-20;14,00;12,44;12,44;3,11;1,56;5,00;8,00;5,00;4,00
2020-09-27;16,00;10,18;13,09;2,91;2,91;4,00;8,00;5,00;4,00
2020-10-04;16,00;14,40;17,60;3,20;1,60;5,00;9,00;5,00;4,00
2020-10-11;17,00;10,82;20,09;3,09;3,09;4,00;6,00;5,00;5,00
2020-10-18;17,00;6,18;17,00;3,09;3,09;4,00;6,00;5,00;5,00
2020-10-25;11,00;6,29;18,86;3,14;3,14;5,00;5,00;5,00;5,00
2020-11-01;9,00;7,50;18,00;1,50;3,00;3,00;5,00;4,00;5,00
2020-11-08;12,00;10,50;19,50;3,00;3,00;3,00;6,00;5,00;7,00
2020-11-15;14,00;10,89;23,33;3,11;3,11;4,00;5,00;7,00;7,00
2020-11-22;45,00;24,00;43,50;4,50;4,50;6,00;11,00;9,00;8,00
2020-11-29;30,00;24,00;63,00;4,50;6,00;9,00;11,00;9,00;9,00
2020-12-06;30,00;19,50;61,50;3,00;9,00;9,00;12,00;9,00;10,00
2020-12-13;29,00;16,79;76,32;3,05;7,63;6,00;9,00;7,00;13,00
2020-12-20;35,00;13,70;105,00;6,09;9,13;8,00;12,00;7,00;16,00
2020-12-27;63,00;24,59;142,90;7,68;10,76;13,00;16,00;10,00;19,00
2021-01-03;80,00;30,77;106,15;6,15;12,31;12,00;15,00;9,00;15,00
2021-01-10;44,00;28,83;94,07;4,55;9,10;12,00;10,00;8,00;14,00
2021-01-17;63,00;21,51;87,59;4,61;4,61;7,00;10,00;9,00;14,00
2021-01-24;25,00;7,81;84,38;4,69;3,13;8,00;6,00;7,00;13,00
2021-01-31;33,00;7,50;70,50;3,00;4,50;14,00;9,00;7,00;14,00
2021-02-07;45,00;13,50;96,00;4,50;4,50;22,00;13,00;6,00;13,00
2021-02-14;48,00;13,50;106,50;4,50;3,00;18,00;11,00;7,00;14,00
2021-02-21;31,00;9,30;82,15;3,10;3,10;6,00;5,00;6,00;11,00
2021-02-28;20,00;9,23;41,54;3,08;4,62;4,00;7,00;5,00;9,00
2021-03-07;14,00;7,78;35,78;3,11;4,67;2,00;6,00;5,00;8,00
2021-03-14;12,00;4,50;48,00;3,00;3,00;2,00;4,00;5,00;6,00
2021-03-21;9,00;6,00;43,50;1,50;4,50;3,00;4,00;4,00;6,00
2021-03-28;5,00;1,25;27,50;1,25;2,50;2,00;3,00;3,00;4,00
2021-04-04;3,00;4,50;36,00;1,50;1,50;2,00;4,00;4,00;4,00
2021-04-11;3,00;4,50;21,00;1,50;1,50;2,00;3,00;3,00;3,00
2021-04-18;3,00;3,00;9,00;1,50;1,50;2,00;2,00;3,00;3,00
2021-04-25;3,00;1,50;6,00;0,75;1,50;2,00;3,00;3,00;3,00
2021-05-02;4,00;2,00;10,00;1,00;2,00;2,00;4,00;2,00;3,00
2021-05-09;4,00;2,67;4,00;0,67;1,33;1,00;3,00;2,00;3,00
2021-05-16;4,00;4,00;2,67;1,33;1,33;3,00;3,00;2,00;3,00
2021-05-23;4,00;5,33;4,00;1,33;1,33;3,00;3,00;4,00;3,00
2021-05-30;2,00;2,00;6,00;1,00;1,00;2,00;3,00;2,00;3,00
2021-06-06;3,00;3,00;7,50;0,75;1,50;2,00;3,00;2,00;3,00
2021-06-13;2,00;2,00;4,00;0,50;1,00;2,00;2,00;2,00;3,00
2021-06-20;3,00;3,00;3,00;0,75;1,50;2,00;3,00;2,00;3,00
2021-06-27;4,00;2,67;4,00;0,67;1,33;2,00;4,00;2,00;3,00
2021-07-04;4,00;4,00;5,33;1,33;1,33;3,00;3,00;3,00;3,00
2021-07-11;5,00;3,33;3,33;1,67;1,67;3,00;4,00;3,00;3,00
2021-07-18;5,00;5,00;6,67;0,83;1,67;3,00;4,00;3,00;3,00
2021-07-25;5,00;5,00;5,00;1,67;1,67;3,00;5,00;3,00;3,00
2021-08-01;7,00;5,60;4,20;1,40;1,40;3,00;5,00;4,00;3,00
2021-08-08;9,00;9,00;12,00;1,50;1,50;4,00;5,00;4,00;3,00
2021-08-15;9,00;10,50;4,50;1,50;1,50;5,00;6,00;4,00;3,00
2021-08-22;8,00;11,20;6,40;1,60;1,60;4,00;10,00;5,00;4,00
2021-08-29;10,00;10,00;7,14;1,43;1,43;4,00;8,00;5,00;4,00
2021-09-05;10,00;11,43;5,71;1,43;1,43;4,00;7,00;5,00;4,00
2021-09-12;11,00;15,71;11,00;1,57;3,14;4,00;11,00;6,00;4,00
2021-09-19;13,00;16,25;11,38;3,25;1,63;4,00;12,00;6,00;4,00
2021-09-26;14,00;12,60;12,60;2,80;2,80;4,00;15,00;8,00;5,00
