Disney;BE;CH;DE;ES;FR;IT;NL;UK;US
2019-01-06;68,00;12,00;17,00;28,00;45,00;14,00;39,00;45,00;1,00
2019-01-13;71,00;17,00;17,00;28,00;47,00;19,00;37,00;39,00;1,00
2019-01-20;52,00;12,00;15,00;26,00;39,00;17,00;32,00;34,00;1,00
2019-01-27;47,00;10,00;12,00;24,00;29,00;12,00;27,00;29,00;1,00
2019-02-03;45,00;12,00;11,00;24,00;30,00;10,00;24,00;31,00;1,00
2019-02-10;48,00;12,00;11,00;29,00;35,00;10,00;25,00;32,00;1,00
2019-02-17;48,00;12,00;12,00;30,00;37,00;10,00;25,00;30,00;1,00
2019-02-24;44,00;15,00;11,00;28,00;34,00;11,00;23,00;27,00;1,00
2019-03-03;60,00;13,00;12,00;30,00;35,00;11,00;35,00;32,00;1,00
2019-03-10;48,00;15,00;12,00;29,00;35,00;15,00;34,00;30,00;1,00
2019-03-17;62,00;10,00;13,00;32,00;46,00;17,00;35,00;61,00;1,00
2019-03-24;58,00;14,00;14,00;32,00;46,00;15,00;32,00;40,00;1,00
2019-03-31;66,00;16,00;14,00;26,00;45,00;14,00;39,00;27,00;1,00
2019-04-07;61,00;19,00;16,00;26,00;50,00;15,00;30,00;31,00;1,00
2019-04-14;51,00;25,00;16,00;28,00;52,00;14,00;34,00;26,00;1,00
2019-04-21;49,00;22,00;17,00;26,00;51,00;16,00;35,00;25,00;1,00
2019-04-28;50,00;18,00;17,00;21,00;47,00;13,00;35,00;25,00;1,00
2019-05-05;48,00;16,00;19,00;25,00;38,00;12,00;26,00;25,00;1,00
2019-05-12;48,00;15,00;18,00;25,00;37,00;11,00;26,00;26,00;1,00
2019-05-19;43,00;14,00;19,00;26,00;38,00;12,00;33,00;29,00;1,00
2019-05-26;50,00;17,00;17,00;24,00;46,00;11,00;31,00;31,00;1,00
2019-06-02;51,00;13,00;15,00;28,00;39,00;11,00;28,00;27,00;1,00
2019-06-09;57,00;13,00;18,00;26,00;43,00;13,00;29,00;29,00;1,00
2019-06-16;51,00;12,00;16,00;26,00;42,00;14,00;26,00;30,00;1,00
2019-06-23;45,00;11,00;13,00;23,00;42,00;12,00;23,00;28,00;1,00
2019-06-30;63,00;12,00;14,00;26,00;46,00;13,00;25,00;28,00;1,00
2019-07-07;64,00;14,00;18,00;25,00;47,00;13,00;44,00;28,00;1,00
2019-07-14;72,00;18,00;17,00;29,00;61,00;14,00;39,00;30,00;1,00
2019-07-21;59,00;15,00;16,00;27,00;52,00;14,00;35,00;30,00;1,00
2019-07-28;72,00;16,00;19,00;28,00;54,00;16,00;36,00;33,00;1,00
2019-08-04;69,00;11,00;16,00;29,00;60,00;16,00;43,00;35,00;1,00
2019-08-11;67,00;16,00;16,00;28,00;60,00;17,00;34,00;32,00;1,00
2019-08-18;67,00;15,00;15,00;29,00;57,00;17,00;33,00;34,00;1,00
2019-08-25;55,00;15,00;15,00;32,00;50,00;17,00;26,00;32,00;1,00
2019-09-01;65,00;20,00;16,00;26,00;46,00;15,00;32,00;31,00;1,00
2019-09-08;73,00;21,00;16,00;24,00;51,00;14,00;48,00;37,00;1,00
2019-09-15;75,00;17,00;16,00;24,00;49,00;15,00;41,00;38,00;1,00
2019-09-22;93,00;20,00;20,00;27,00;55,00;13,00;42,00;38,00;1,00
2019-09-29;78,00;18,00;21,00;24,00;52,00;15,00;37,00;36,00;1,00
2019-10-06;64,00;15,00;17,00;25,00;58,00;13,00;42,00;31,00;1,00
