Avion;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;55,00;77,00;16,00;12,00;5,00;17,37;137,50;8,68;28,95
2019-01-13;45,00;77,00;14,00;12,00;5,00;15,43;120,86;9,00;23,14
2019-01-20;44,00;71,00;12,00;11,00;4,00;9,78;99,00;6,11;22,00
2019-01-27;45,00;68,00;6,00;12,00;4,00;10,66;100,66;7,11;20,13
2019-02-03;45,00;79,00;14,00;12,00;4,00;13,03;101,84;7,11;22,50
2019-02-10;40,00;65,00;14,00;10,00;3,00;11,58;90,53;5,26;17,89
2019-02-17;48,00;70,00;13,00;11,00;5,00;11,71;96,00;4,68;21,07
2019-02-24;46,00;80,00;15,00;12,00;4,00;14,15;101,44;5,90;22,41
2019-03-03;43,00;83,00;13,00;14,00;8,00;17,47;111,53;6,72;26,88
2019-03-10;45,00;60,00;15,00;10,00;2,00;13,24;88,68;5,29;25,15
2019-03-17;49,00;88,00;12,00;14,00;6,00;17,22;107,27;7,95;23,84
2019-03-24;44,00;72,00;10,00;15,00;4,00;14,67;84,33;7,33;23,22
2019-03-31;48,00;69,00;20,00;12,00;5,00;17,33;86,67;8,00;22,67
2019-04-07;52,00;88,00;13,00;14,00;6,00;17,83;115,89;7,43;25,26
2019-04-14;46,00;68,00;19,00;12,00;7,00;14,46;85,43;7,89;21,03
2019-04-21;43,00;74,00;18,00;12,00;3,00;17,71;94,85;8,85;21,50
2019-04-28;47,00;70,00;16,00;13,00;4,00;18,52;118,21;8,55;24,21
2019-05-05;42,00;75,00;19,00;11,00;3,00;14,90;90,77;8,13;24,39
2019-05-12;43,00;58,00;27,00;13,00;5,00;11,06;87,23;8,60;20,89
2019-05-19;44,00;64,00;20,00;11,00;5,00;10,35;107,41;7,76;23,29
2019-05-26;42,00;60,00;20,00;12,00;5,00;9,88;100,06;6,18;22,24
2019-06-02;48,00;71,00;17,00;16,00;5,00;17,33;102,67;9,33;24,00
2019-06-09;49,00;79,00;11,00;16,00;7,00;17,15;94,33;8,58;23,28
2019-06-16;50,00;85,00;13,00;14,00;5,00;14,77;81,82;5,68;22,73
2019-06-23;50,00;70,00;15,00;16,00;4,00;20,83;111,11;6,94;27,78
2019-06-30;59,00;86,00;18,00;14,00;7,00;20,15;130,95;7,20;27,34
2019-07-07;54,00;85,00;26,00;15,00;7,00;19,64;111,68;7,36;24,55
2019-07-14;56,00;92,00;7,00;15,00;6,00;19,53;126,33;9,12;26,05
2019-07-21;53,00;83,00;30,00;16,00;7,00;19,27;101,18;8,43;21,68
2019-07-28;64,00;84,00;21,00;15,00;8,00;17,57;115,45;7,53;23,84
