Disney;BE;CH;DE;ES;FR;IT;NL;UK;US
2019-01-06;57,00;16,00;17,00;26,00;43,00;14,00;38,00;45,00;1,00
2019-01-13;66,00;15,00;15,00;21,00;39,00;15,00;37,00;33,00;1,00
2019-01-20;58,00;14,00;12,00;25,00;36,00;18,00;31,00;31,00;1,00
2019-01-27;35,00;10,00;10,00;27,00;25,00;12,00;27,00;26,00;1,00
2019-02-03;40,00;4,00;10,00;20,00;31,00;8,00;19,00;27,00;1,00
2019-02-10;42,00;10,00;10,00;28,00;33,00;8,00;23,00;28,00;1,00
2019-02-17;38,00;11,00;10,00;27,00;36,00;9,00;25,00;29,00;1,00
2019-02-24;45,00;12,00;11,00;25,00;32,00;10,00;26,00;24,00;1,00
2019-03-03;51,00;16,00;9,00;29,00;31,00;11,00;31,00;30,00;1,00
2019-03-10;38,00;12,00;13,00;24,00;30,00;15,00;28,00;27,00;1,00
2019-03-17;54,00;8,00;10,00;33,00;44,00;16,00;31,00;55,00;2,00
2019-03-24;51,00;10,00;14,00;30,00;37,00;16,00;25,00;39,00;1,00
2019-03-31;60,00;11,00;13,00;25,00;37,00;13,00;38,00;27,00;1,00
2019-04-07;70,00;15,00;14,00;22,00;44,00;11,00;30,00;28,00;1,00
2019-04-14;47,00;17,00;15,00;21,00;50,00;13,00;32,00;23,00;1,00
2019-04-21;46,00;19,00;17,00;25,00;45,00;17,00;31,00;24,00;1,00
2019-04-28;43,00;14,00;15,00;22,00;40,00;11,00;34,00;23,00;1,00
2019-05-05;41,00;9,00;14,00;21,00;32,00;10,00;34,00;26,00;2,00
2019-05-12;45,00;15,00;17,00;22,00;33,00;8,00;24,00;25,00;1,00
2019-05-19;38,00;20,00;18,00;24,00;33,00;10,00;25,00;26,00;1,00
2019-05-26;45,00;19,00;16,00;21,00;40,00;7,00;28,00;29,00;1,00
2019-06-02;44,00;15,00;15,00;27,00;36,00;9,00;25,00;25,00;1,00
2019-06-09;53,00;10,00;16,00;23,00;37,00;10,00;25,00;25,00;1,00
2019-06-16;37,00;14,00;15,00;22,00;38,00;13,00;24,00;28,00;1,00
2019-06-23;39,00;10,00;11,00;20,00;39,00;13,00;26,00;24,00;1,00
2019-06-30;55,00;10,00;14,00;24,00;39,00;10,00;21,00;26,00;1,00
2019-07-07;53,00;14,00;15,00;24,00;41,00;12,00;39,00;27,00;1,00
2019-07-14;62,00;8,00;17,00;29,00;54,00;11,00;38,00;28,00;1,00
2019-07-21;60,00;15,00;15,00;28,00;46,00;12,00;30,00;26,00;1,00
2019-07-28;70,00;11,00;18,00;31,00;48,00;14,00;30,00;29,00;1,00
2019-08-04;62,00;12,00;17,00;28,00;51,00;14,00;29,00;31,00;1,00
