Residence_tourisme;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;39,00;12,65;29,51;22,14;36,89;13,00;23,00;26,00;0,50
2019-01-13;48,00;33,07;68,27;16,00;41,60;14,00;29,00;20,00;1,00
2019-01-20;47,00;51,27;14,95;20,30;47,00;19,00;19,00;16,00;1,00
2019-01-27;40,00;18,95;29,47;21,05;37,89;12,00;25,00;14,00;1,00
2019-02-03;39,00;46,58;23,83;14,08;42,25;11,00;29,00;20,00;1,00
2019-02-10;55,00;20,10;23,27;19,04;52,88;13,00;19,00;27,00;1,00
2019-02-17;38,00;0,00;31,67;14,78;52,78;17,00;23,00;19,00;1,00
2019-02-24;43,00;33,33;23,65;21,50;60,20;14,00;30,00;17,00;2,00
2019-03-03;35,00;6,36;7,42;10,61;56,21;12,00;23,00;20,00;1,00
2019-03-10;56,00;20,46;31,23;14,00;44,15;17,00;6,00;26,00;1,00
2019-03-17;40,00;55,14;23,78;12,97;41,08;6,00;19,00;15,00;1,00
2019-03-24;53,00;14,06;7,57;12,98;46,51;10,00;23,00;18,00;1,00
2019-03-31;49,00;33,02;30,89;19,17;50,07;15,00;30,00;20,00;2,00
2019-04-07;51,00;27,63;43,56;10,63;74,38;7,00;16,00;23,00;1,00
2019-04-14;40,00;35,79;16,84;20,00;49,47;15,00;10,00;14,00;2,00
2019-04-21;53,00;61,48;8,48;13,78;51,94;17,00;27,00;20,00;1,00
2019-04-28;42,00;44,10;0,00;18,90;53,55;13,00;29,00;17,00;1,00
2019-05-05;49,00;37,28;14,91;14,91;46,87;12,00;13,00;21,00;1,00
2019-05-12;33,00;33,00;38,32;13,84;50,03;17,00;13,00;21,00;1,00
2019-05-19;43,00;38,70;15,05;19,35;72,03;11,00;19,00;21,00;2,00
2019-05-26;34,00;31,88;15,94;14,88;58,44;11,00;29,00;17,00;3,00
2019-06-02;39,00;17,92;37,95;25,30;62,19;9,00;30,00;22,00;1,00
2019-06-09;53,00;25,44;7,42;21,20;69,96;16,00;31,00;16,00;1,00
2019-06-16;36,00;39,18;15,88;18,00;76,24;10,00;25,00;24,00;1,00
2019-06-23;47,00;34,18;33,11;14,95;72,64;22,00;29,00;18,00;2,00
2019-06-30;44,00;27,90;48,29;22,54;107,32;18,00;22,00;21,00;1,00
2019-07-07;44,00;27,24;15,71;12,57;85,90;16,00;25,00;25,00;1,00
2019-07-14;60,00;21,05;34,74;23,16;101,05;21,00;27,00;22,00;1,00
2019-07-21;62,00;68,41;19,24;18,17;76,97;18,00;42,00;18,00;1,00
2019-07-28;67,00;14,89;9,57;19,14;96,78;20,00;18,00;17,00;2,00
2019-08-04;69,00;21,23;25,48;18,05;81,74;16,00;35,00;22,00;2,00
2019-08-11;64,00;35,20;8,53;21,33;87,47;13,00;30,00;26,00;1,00
2019-08-18;47,00;13,89;38,45;21,36;51,27;11,00;24,00;30,00;1,00
2019-08-25;35,00;33,94;30,76;13,79;57,27;8,00;30,00;26,00;2,00
2019-09-01;43,00;19,35;15,05;23,65;50,53;4,00;22,00;21,00;2,00
2019-09-08;48,00;13,87;38,40;17,07;27,73;17,00;19,00;17,00;2,00
2019-09-15;52,00;12,73;14,86;20,16;38,20;7,00;13,00;21,00;2,00
2019-09-22;38,00;6,33;14,78;20,06;31,67;11,00;24,00;17,00;2,00
2019-09-29;47,00;24,57;23,50;17,09;23,50;4,00;33,00;19,00;2,00
2019-10-06;40,00;6,49;23,78;10,81;38,92;8,00;21,00;18,00;3,00
2019-10-13;42,00;25,85;31,23;14,00;22,62;9,00;6,00;22,00;3,00
2019-10-20;47,00;25,64;22,43;10,68;21,36;3,00;16,00;16,00;2,00
2019-10-27;34,00;6,38;14,88;12,75;34,00;9,00;3,00;16,00;2,00
2019-11-03;40,00;35,79;34,74;14,74;26,32;10,00;12,00;16,00;0,50
2019-11-10;44,00;24,68;28,98;11,80;21,46;5,00;21,00;17,00;2,00
2019-11-17;37,00;17,97;7,40;16,91;28,54;3,00;12,00;17,00;2,00
2019-11-24;35,00;6,36;13,79;13,79;20,15;6,00;12,00;15,00;2,00
2019-12-01;39,00;0,00;52,00;13,00;21,67;3,00;15,00;16,00;2,00
2019-12-08;26,00;23,92;20,80;10,40;18,72;3,00;24,00;19,00;3,00
2019-12-15;32,00;6,40;14,93;13,87;35,20;7,00;3,00;15,00;4,00
2019-12-22;42,00;33,38;17,23;15,08;25,85;13,00;13,00;41,00;8,00
2019-12-29;50,00;25,53;8,51;20,21;30,85;15,00;19,00;27,00;5,00
2020-01-05;46,00;44,95;0,00;26,14;26,14;8,00;35,00;30,00;6,00
2020-01-12;39,00;34,67;41,17;17,33;40,08;11,00;34,00;25,00;7,00
2020-01-19;50,00;35,11;41,49;17,02;40,43;14,00;46,00;32,00;6,00
2020-01-26;46,00;53,49;13,91;21,40;50,28;7,00;18,00;32,00;4,00
2020-02-02;51,00;29,75;13,81;13,81;51,00;11,00;21,00;25,00;6,00
2020-02-09;42,00;28,35;7,35;13,65;58,80;17,00;20,00;19,00;4,00
2020-02-16;52,00;40,33;42,45;15,92;36,08;10,00;18,00;22,00;4,00
2020-02-23;45,00;28,93;6,43;11,79;46,07;10,00;15,00;24,00;4,00
2020-03-01;39,00;17,33;14,08;11,92;36,83;5,00;14,00;17,00;4,00
2020-03-08;18,00;16,94;6,35;8,47;21,18;0,00;3,00;13,00;6,00
2020-03-15;11,00;11,00;0,00;1,10;11,00;1,00;3,00;8,00;3,00
2020-03-22;5,00;0,00;6,00;6,00;14,00;1,00;5,00;7,00;5,00
2020-03-29;8,00;11,43;6,86;1,14;12,57;2,00;5,00;7,00;3,00
2020-04-05;6,00;5,00;0,00;1,00;4,00;0,00;0,00;10,00;3,00
2020-04-12;11,00;0,00;14,30;1,10;6,60;1,00;3,00;8,00;3,00
2020-04-19;9,00;5,63;0,00;3,38;7,88;0,00;5,00;5,00;4,00
2020-04-26;4,00;0,00;17,00;2,00;8,00;2,00;3,00;7,00;2,00
2020-05-03;7,00;0,00;12,00;5,00;8,00;1,00;5,00;7,00;3,00
2020-05-10;13,00;5,42;13,00;8,67;17,33;8,00;5,00;9,00;3,00
2020-05-17;16,00;22,40;7,47;8,53;21,33;4,00;5,00;10,00;4,00
2020-05-24;22,00;10,48;19,90;9,43;28,29;2,00;5,00;6,00;4,00
2020-05-31;31,00;5,34;6,41;9,62;25,66;2,00;5,00;9,00;8,00
2020-06-07;25,00;15,22;39,13;20,65;23,91;6,00;18,00;30,00;28,00
2020-06-14;35,00;5,47;19,69;15,31;38,28;6,00;8,00;18,00;15,00
2020-06-21;34,00;5,31;7,44;7,44;46,75;13,00;16,00;25,00;19,00
2020-06-28;62,00;36,78;47,29;19,97;53,59;8,00;29,00;21,00;6,00
2020-07-05;53,00;11,90;14,06;16,22;47,59;4,00;16,00;16,00;6,00
2020-07-12;46,00;11,77;72,74;26,74;43,86;14,00;12,00;11,00;5,00
2020-07-19;72,00;31,76;0,00;20,12;54,00;17,00;18,00;19,00;5,00
2020-07-26;80,00;24,53;7,47;16,00;57,60;22,00;18,00;16,00;7,00
2020-08-02;98,00;41,54;0,00;17,04;88,41;11,00;34,00;19,00;7,00
2020-08-09;100,00;32,98;27,66;13,83;64,89;13,00;14,00;20,00;5,00
2020-08-16;81,00;0,00;61,82;10,66;56,49;13,00;20,00;14,00;4,00
2020-08-23;39,00;17,33;6,50;9,75;34,67;9,00;17,00;14,00;3,00
2020-08-30;40,00;5,26;20,00;12,63;37,89;10,00;6,00;13,00;3,00
2020-09-06;41,00;16,82;6,31;14,72;19,97;5,00;14,00;10,00;4,00
2020-09-13;68,00;5,31;13,81;10,63;15,94;5,00;6,00;14,00;4,00
2020-09-20;61,00;5,35;6,42;9,63;23,54;4,00;8,00;14,00;3,00
2020-09-27;60,00;17,14;27,86;26,79;22,50;4,00;11,00;10,00;4,00
2020-10-04;78,00;16,86;28,46;26,35;11,59;4,00;14,00;9,00;4,00
2020-10-11;47,00;0,00;14,62;11,49;12,53;1,00;6,00;10,00;5,00
2020-10-18;59,00;0,00;28,45;15,80;12,64;3,00;6,00;16,00;5,00
2020-10-25;33,00;5,32;0,00;17,03;14,90;3,00;3,00;25,00;4,00
2020-11-01;40,00;16,22;6,49;19,46;11,89;1,00;6,00;16,00;4,00
2020-11-08;39,00;11,92;0,00;16,25;4,33;1,00;9,00;13,00;4,00
2020-11-15;29,00;5,18;0,00;16,57;9,32;4,00;6,00;13,00;4,00
2020-11-22;17,00;17,00;20,19;12,75;11,69;0,00;6,00;13,00;4,00
2020-11-29;51,00;5,31;0,00;11,69;14,88;4,00;3,00;14,00;3,00
2020-12-06;61,00;11,77;6,42;8,56;10,70;1,00;0,00;18,00;3,00
2020-12-13;74,00;5,36;7,51;13,94;7,51;3,00;0,00;18,00;4,00
2020-12-20;40,00;6,49;16,22;22,70;8,65;0,00;3,00;19,00;3,00
2020-12-27;24,00;0,00;15,65;7,30;9,39;6,00;19,00;10,00;4,00
2021-01-03;53,00;5,30;21,20;9,54;10,60;1,00;9,00;6,00;3,00
2021-01-10;34,00;5,31;13,81;14,88;9,56;3,00;11,00;9,00;3,00
2021-01-17;69,00;0,00;6,37;16,98;14,86;0,00;0,00;8,00;4,00
2021-01-24;39,00;16,86;20,03;11,59;17,92;1,00;3,00;5,00;5,00
2021-01-31;62,00;5,34;0,00;18,17;3,21;4,00;6,00;12,00;4,00
2021-02-07;53,00;5,30;27,56;11,66;13,78;0,00;3,00;19,00;3,00
2021-02-14;43,00;18,28;36,55;21,50;22,58;3,00;6,00;11,00;3,00
2021-02-21;46,00;17,12;13,91;19,26;20,33;4,00;6,00;17,00;4,00
2021-02-28;31,00;11,76;21,38;6,41;23,52;1,00;9,00;4,00;3,00
2021-03-07;41,00;11,87;6,47;8,63;20,50;4,00;3,00;14,00;4,00
2021-03-14;63,00;31,50;38,85;27,30;18,90;1,00;8,00;28,00;6,00
2021-03-21;58,00;11,81;13,96;27,93;20,41;5,00;9,00;21,00;6,00
2021-03-28;17,00;18,06;7,44;18,06;23,38;1,00;15,00;19,00;6,00
2021-04-04;27,00;17,28;15,12;8,64;32,40;11,00;9,00;14,00;7,00
2021-04-11;66,00;11,71;21,29;23,42;13,84;12,00;0,00;22,00;6,00
2021-04-18;81,00;6,39;21,32;15,99;27,71;7,00;6,00;25,00;11,00
