Hotel;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;30,00;40,00;59,00;43,00;51,00;47,78;37,78;60,00;24,44
2019-01-13;30,00;40,00;61,00;45,00;55,00;46,67;36,67;60,00;24,44
2019-01-20;30,00;39,00;59,00;40,00;56,00;46,67;35,56;54,44;24,44
2019-01-27;30,00;39,00;60,00;42,00;61,00;50,00;34,44;50,00;23,33
2019-02-03;33,00;37,00;63,00;41,00;60,00;47,30;38,50;51,70;24,20
2019-02-10;35,00;41,00;60,00;38,00;63,00;49,22;37,19;50,31;26,25
2019-02-17;35,00;36,00;62,00;38,00;64,00;52,50;35,00;49,22;26,25
2019-02-24;34,00;38,00;60,00;37,00;65,00;54,40;35,13;51,00;27,20
2019-03-03;34,00;37,00;59,00;39,00;60,00;51,00;34,00;51,00;28,33
2019-03-10;32,00;39,00;60,00;39,00;62,00;54,07;34,21;47,45;29,79
2019-03-17;33,00;36,00;59,00;37,00;65,00;55,00;29,70;49,50;25,30
2019-03-24;33,00;36,00;55,00;37,00;65,00;55,00;31,90;48,40;27,50
2019-03-31;35,00;36,00;56,00;36,00;61,00;52,50;32,81;47,03;28,44
2019-04-07;34,00;39,00;60,00;39,00;64,00;54,84;35,10;52,65;26,32
2019-04-14;34,00;36,00;63,00;37,00;66,00;54,84;32,90;48,26;25,23
2019-04-21;31,00;32,00;57,00;35,00;61,00;60,89;31,00;48,71;25,46
2019-04-28;33,00;34,00;59,00;36,00;61,00;53,90;34,10;51,70;26,40
2019-05-05;30,00;32,00;56,00;37,00;67,00;54,44;33,33;51,11;25,56
2019-05-12;31,00;34,00;57,00;37,00;62,00;50,93;32,11;50,93;27,68
2019-05-19;31,00;33,00;53,00;38,00;64,00;54,25;33,21;55,36;31,00
2019-05-26;32,00;37,00;63,00;39,00;69,00;52,97;35,31;56,28;33,10
2019-06-02;32,00;37,00;57,00;41,00;75,00;70,62;34,21;54,07;29,79
2019-06-09;31,00;36,00;60,00;43,00;77,00;79,71;33,21;54,25;32,11
2019-06-16;33,00;37,00;68,00;43,00;81,00;86,48;36,41;59,17;34,14
2019-06-23;33,00;38,00;60,00;41,00;82,00;88,00;31,90;58,30;33,00
2019-06-30;34,00;42,00;65,00;43,00;89,00;92,93;37,40;58,93;35,13
2019-07-07;36,00;48,00;73,00;45,00;94,00;86,18;42,55;56,73;32,73
2019-07-14;38,00;48,00;75,00;45,00;93,00;87,18;43,59;59,24;34,65
2019-07-21;40,00;48,00;76,00;48,00;94,00;92,22;42,22;58,89;34,44
2019-07-28;41,00;46,00;77,00;45,00;99,00;95,30;45,43;58,73;33,24
2019-08-04;44,00;47,00;66,00;47,00;100,00;104,92;45,13;60,92;32,72
2019-08-11;47,00;43,00;62,00;46,00;99,00;107,43;43,64;58,19;30,21
2019-08-18;38,00;39,00;59,00;44,00;92,00;90,53;41,35;59,24;27,94
2019-08-25;35,00;39,00;64,00;44,00;77,00;67,81;32,81;54,69;27,34
2019-09-01;33,00;35,00;62,00;41,00;74,00;61,45;36,41;67,14;28,45
2019-09-08;32,00;38,00;60,00;41,00;61,00;57,38;34,21;66,21;27,59
2019-09-15;32,00;35,00;59,00;41,00;61,00;49,66;35,31;65,10;28,69
2019-09-22;30,00;35,00;57,00;42,00;63,00;45,56;33,33;61,11;28,89
2019-09-29;30,00;32,00;65,00;40,00;63,00;45,56;30,00;60,00;28,89
2019-10-06;29,00;37,00;55,00;39,00;59,00;43,50;33,46;63,58;26,77
2019-10-13;29,00;31,00;56,00;38,00;60,00;42,38;34,58;56,88;25,65
2019-10-20;29,00;35,00;51,00;36,00;55,00;40,15;33,46;53,54;25,65
2019-10-27;28,00;36,00;46,00;34,00;53,00;41,44;30,24;49,28;22,40
2019-11-03;28,00;33,00;44,00;35,00;50,00;39,20;31,36;50,40;25,76
2019-11-10;26,00;34,00;46,00;33,00;48,00;40,08;28,17;46,58;22,75
2019-11-17;28,00;32,00;48,00;32,00;49,00;40,32;29,12;47,04;24,64
2019-11-24;25,00;33,00;42,00;28,00;50,00;38,64;27,27;46,59;26,14
2019-12-01;26,00;30,00;44,00;30,00;50,00;40,08;28,17;43,33;24,92
2019-12-08;24,00;31,00;46,00;28,00;44,00;38,18;27,27;42,55;25,09
2019-12-15;25,00;28,00;45,00;29,00;41,00;38,04;25,00;46,74;27,17
2019-12-22;31,00;33,00;63,00;39,00;47,00;49,82;34,32;58,68;34,32
2019-12-29;33,00;37,00;62,00;43,00;54,00;60,31;36,41;63,72;34,14
2020-01-05;29,00;38,00;57,00;43,00;52,00;45,73;36,81;66,92;34,58
2020-01-12;31,00;42,00;62,00;44,00;55,00;46,50;39,86;67,54;34,32
2020-01-19;30,00;41,00;63,00;42,00;52,00;47,78;35,56;64,44;35,56
2020-01-26;30,00;39,00;59,00;39,00;57,00;43,33;35,56;58,89;31,11
2020-02-02;31,00;39,00;61,00;38,00;60,00;43,18;35,43;59,79;32,11
