Croisiere;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;52,00;10,00;85,00;75,00;1,00;104,00;1,41;5,62;4,22
2019-01-13;53,00;10,00;57,00;79,00;2,00;94,54;7,16;5,73;4,30
2019-01-20;41,00;17,00;58,00;65,00;2,00;89,07;4,24;5,66;4,24
2019-01-27;33,00;13,00;74,00;64,00;2,00;67,38;4,13;4,13;2,75
2019-02-03;28,00;5,00;47,00;51,00;1,00;65,80;1,40;4,20;2,80
2019-02-10;32,00;13,00;39,00;63,00;3,00;65,39;1,39;5,57;4,17
2019-02-17;32,00;7,00;40,00;51,00;2,00;59,83;1,39;8,35;4,17
2019-02-24;43,00;11,00;66,00;54,00;3,00;73,52;2,77;9,71;4,16
2019-03-03;29,00;14,00;44,00;63,00;1,00;64,90;1,38;6,90;11,05
2019-03-10;32,00;17,00;17,00;49,00;1,00;61,22;1,39;5,57;4,17
2019-03-17;38,00;12,00;43,00;53,00;1,00;74,59;4,22;7,04;4,22
2019-03-24;32,00;21,00;43,00;52,00;2,00;107,13;1,39;8,35;8,35
2019-03-31;39,00;11,00;27,00;41,00;0,50;57,11;0,00;5,57;4,18
2019-04-07;37,00;18,00;42,00;49,00;2,00;58,35;4,27;5,69;4,27
2019-04-14;51,00;13,00;51,00;47,00;4,00;55,25;1,42;5,67;2,83
2019-04-21;41,00;12,00;56,00;48,00;4,00;76,34;1,41;4,24;2,83
2019-04-28;42,00;14,00;73,00;48,00;3,00;78,40;2,80;7,00;4,20
2019-05-05;35,00;8,00;65,00;51,00;5,00;77,00;4,20;5,60;2,80
2019-05-12;36,00;10,00;40,00;52,00;3,00;70,62;4,15;6,92;2,77
2019-05-19;36,00;16,00;49,00;51,00;2,00;74,77;2,77;4,15;2,77
2019-05-26;38,00;10,00;41,00;46,00;3,00;64,74;1,41;5,63;4,22
2019-06-02;47,00;15,00;37,00;51,00;5,00;142,42;4,27;19,94;11,39
2019-06-09;42,00;11,00;50,00;56,00;4,00;85,40;1,40;8,40;4,20
2019-06-16;36,00;11,00;67,00;66,00;3,00;96,92;2,77;6,92;4,15
2019-06-23;37,00;10,00;25,00;52,00;5,00;112,42;2,85;5,69;2,85
2019-06-30;42,00;17,00;34,00;54,00;4,00;116,20;2,80;7,00;2,80
2019-07-07;53,00;9,00;77,00;67,00;3,00;128,32;2,79;6,97;5,58
2019-07-14;53,00;14,00;63,00;56,00;4,00;90,66;1,39;5,58;2,79
2019-07-21;49,00;21,00;50,00;62,00;4,00;116,20;5,60;8,40;5,60
2019-07-28;50,00;20,00;52,00;57,00;2,00;115,71;7,14;7,14;4,29
2019-08-04;59,00;22,00;71,00;68,00;5,00;133,45;5,62;7,02;4,21
2019-08-11;53,00;7,00;72,00;72,00;3,00;128,92;1,43;7,16;4,30
2019-08-18;51,00;14,00;60,00;60,00;2,00;126,08;4,25;8,50;4,25
2019-08-25;48,00;7,00;54,00;61,00;1,00;105,88;5,65;8,47;2,82
2019-09-01;41,00;10,00;48,00;57,00;6,00;93,31;5,66;7,07;4,24
2019-09-08;41,00;17,00;57,00;62,00;4,00;84,83;4,24;5,66;2,83
2019-09-15;37,00;13,00;48,00;58,00;3,00;81,12;4,27;7,12;2,85
2019-09-22;39,00;17,00;55,00;57,00;2,00;79,39;5,57;5,57;4,18
2019-09-29;37,00;14,00;54,00;53,00;4,00;68,31;2,85;7,12;4,27
2019-10-06;32,00;13,00;40,00;54,00;4,00;68,36;2,91;5,82;2,91
2019-10-13;30,00;11,00;42,00;54,00;4,00;72,86;4,29;4,29;2,86
2019-10-20;31,00;13,00;48,00;53,00;4,00;60,59;2,82;4,23;4,23
2019-10-27;34,00;16,00;26,00;49,00;3,00;63,75;4,25;4,25;2,83
2019-11-03;33,00;6,00;57,00;52,00;3,00;60,50;1,38;5,50;2,75
2019-11-10;35,00;11,00;29,00;44,00;1,00;50,40;1,40;4,20;2,80
2019-11-17;30,00;14,00;29,00;55,00;2,00;49,09;2,73;5,45;2,73
2019-11-24;30,00;5,00;39,00;40,00;1,00;46,36;2,73;4,09;2,73
2019-12-01;26,00;8,00;26,00;49,00;3,00;46,22;1,44;2,89;2,89
2019-12-08;27,00;11,00;31,00;37,00;2,00;44,05;2,84;4,26;4,26
2019-12-15;25,00;13,00;35,00;44,00;2,00;41,67;2,78;9,72;11,11
2019-12-22;31,00;12,00;46,00;79,00;4,00;69,05;2,82;7,05;8,45
2019-12-29;48,00;14,00;74,00;93,00;4,00;80,47;1,41;7,06;5,65
2020-01-05;63,00;7,00;71,00;89,00;3,00;75,60;2,80;7,00;5,60
2020-01-12;47,00;17,00;65,00;75,00;2,00;78,79;2,76;5,53;5,53
2020-01-19;53,00;22,00;54,00;77,00;1,00;80,89;4,18;5,58;5,58
2020-01-26;49,00;16,00;43,00;70,00;3,00;92,40;0,00;11,20;8,40
2020-02-02;43,00;10,00;44,00;61,00;3,00;61,03;5,55;9,71;9,71
2020-02-09;38,00;14,00;38,00;60,00;3,00;59,11;5,63;8,44;9,85
2020-02-16;40,00;14,00;39,00;59,00;1,00;49,66;2,76;12,41;9,66
2020-02-23;36,00;12,00;32,00;51,00;3,00;47,08;1,38;8,31;8,31
2020-03-01;31,00;9,00;33,00;55,00;2,00;42,27;2,82;8,45;11,27
2020-03-08;34,00;14,00;51,00;100,00;3,00;21,25;7,08;11,33;15,58
2020-03-15;13,00;5,00;20,00;42,00;1,00;20,22;0,00;8,67;7,22
2020-03-22;14,00;5,00;13,00;27,00;1,00;14,00;0,70;4,20;7,00
2020-03-29;14,00;7,00;21,00;26,00;0,00;14,00;4,20;5,60;12,60
2020-04-05;12,00;7,00;17,00;29,00;0,00;12,00;0,00;3,00;6,00
2020-04-12;14,00;3,00;10,00;28,00;0,50;21,00;1,40;4,20;2,80
2020-04-19;16,00;4,00;26,00;23,00;1,00;14,55;1,45;4,36;2,91
2020-04-26;9,00;4,00;17,00;29,00;1,00;18,00;0,75;3,00;4,50
2020-05-03;12,00;4,00;21,00;27,00;0,50;13,50;1,50;3,00;3,00
2020-05-10;8,00;3,00;11,00;30,00;2,00;18,67;0,67;4,00;2,67
2020-05-17;13,00;3,00;12,00;33,00;1,00;18,20;0,65;3,90;2,60
2020-05-24;15,00;3,00;8,00;35,00;0,00;19,09;1,36;2,73;2,73
2020-05-31;18,00;4,00;18,00;37,00;2,00;22,15;1,38;4,15;2,77
2020-06-07;17,00;9,00;26,00;38,00;1,00;24,08;1,42;5,67;2,83
2020-06-14;35,00;5,00;29,00;32,00;0,50;23,80;1,40;4,20;2,80
2020-06-21;40,00;10,00;17,00;31,00;0,50;31,72;2,76;4,14;2,76
2020-06-28;25,00;11,00;36,00;35,00;0,50;34,72;0,00;4,17;2,78
2020-07-05;26,00;6,00;32,00;36,00;1,00;28,74;1,37;5,47;4,11
2020-07-12;30,00;5,00;13,00;26,00;1,00;34,29;4,29;2,86;2,86
2020-07-19;32,00;10,00;24,00;28,00;0,50;27,64;4,36;5,82;2,91
2020-07-26;31,00;8,00;21,00;29,00;0,00;32,41;7,05;2,82;4,23
2020-08-02;40,00;9,00;28,00;35,00;2,00;45,71;2,86;5,71;2,86
2020-08-09;33,00;6,00;34,00;27,00;1,00;41,61;2,87;4,30;2,87
2020-08-16;28,00;7,00;17,00;23,00;1,00;42,00;2,80;5,60;2,80
2020-08-23;27,00;8,00;7,00;22,00;1,00;31,26;1,42;4,26;2,84
2020-08-30;18,00;7,00;9,00;16,00;0,00;24,92;2,77;4,15;2,77
2020-09-06;17,00;6,00;12,00;18,00;1,00;24,08;1,42;4,25;2,83
2020-09-13;16,00;3,00;15,00;17,00;1,00;17,33;1,33;5,33;2,67
2020-09-20;17,00;7,00;12,00;20,00;1,00;21,25;1,42;4,25;2,83
2020-09-27;15,00;3,00;16,00;18,00;1,00;19,09;2,73;4,09;2,73
2020-10-04;15,00;4,00;16,00;19,00;0,50;21,82;2,73;2,73;2,73
2020-10-11;14,00;6,00;7,00;16,00;1,00;18,20;1,40;4,20;2,80
2020-10-18;13,00;6,00;9,00;19,00;1,00;15,89;2,89;5,78;2,89
2020-10-25;13,00;3,00;7,00;15,00;0,50;7,80;1,30;3,90;2,60
2020-11-01;10,00;8,00;7,00;19,00;0,50;12,86;0,00;2,86;2,86
2020-11-08;10,00;3,00;9,00;16,00;1,00;14,29;1,43;2,86;4,29
2020-11-15;8,00;6,00;9,00;13,00;0,00;16,00;1,33;2,67;4,00
2020-11-22;11,00;6,00;5,00;14,00;2,00;16,50;1,38;4,13;4,13
2020-11-29;11,00;3,00;12,00;15,00;1,00;12,38;1,38;4,13;1,38
2020-12-06;9,00;3,00;5,00;15,00;2,00;13,50;0,00;3,00;3,00
2020-12-13;11,00;3,00;9,00;11,00;1,00;13,75;0,00;2,75;2,75
2020-12-20;12,00;2,00;2,00;22,00;0,50;15,00;4,50;4,50;3,00
2020-12-27;15,00;5,00;16,00;30,00;0,50;19,09;2,73;5,45;2,73
2021-01-03;12,00;6,00;19,00;20,00;1,00;16,50;3,00;7,50;3,00
2021-01-10;11,00;4,00;7,00;17,00;2,00;17,88;1,38;4,13;2,75
2021-01-17;13,00;6,00;15,00;18,00;1,00;20,80;0,00;3,90;2,60
2021-01-24;12,00;10,00;15,00;19,00;0,50;20,00;0,00;4,00;2,67
2021-01-31;13,00;4,00;15,00;17,00;0,00;23,11;2,89;4,33;2,89
2021-02-07;12,00;4,00;9,00;17,00;0,00;21,00;0,00;4,50;4,50
2021-02-14;15,00;4,00;14,00;18,00;1,00;22,50;1,50;4,50;3,00
2021-02-21;15,00;6,00;11,00;19,00;0,00;24,00;1,50;3,00;3,00
2021-02-28;11,00;7,00;12,00;20,00;0,50;17,88;0,00;2,75;4,13
2021-03-07;12,00;7,00;10,00;20,00;0,50;24,00;1,50;4,50;3,00
2021-03-14;10,00;1,00;15,00;18,00;0,50;18,57;0,00;2,86;2,86
2021-03-21;9,00;1,00;5,00;15,00;1,00;25,50;3,00;4,50;4,50
2021-03-28;9,00;0,00;11,00;17,00;1,00;33,00;0,00;3,00;4,50
2021-04-04;11,00;14,00;17,00;20,00;0,50;28,88;2,75;1,38;4,13
