Paris;DE;BE;CH;ES;FR;IT;NL;GB;US
2019-04-21;29,00;66,29;62,14;45,57;368,71;62,00;80,00;35,00;14,00
2019-04-28;26,00;69,33;47,67;39,00;355,33;52,00;72,00;34,00;15,00
2019-05-05;24,00;68,00;60,00;48,00;312,00;49,00;58,00;36,00;14,00
2019-05-12;26,00;69,33;60,67;47,67;346,67;51,00;60,00;32,00;15,00
2019-05-19;28,00;68,00;56,00;40,00;304,00;47,00;67,00;41,00;15,00
2019-05-26;29,00;87,00;53,17;48,33;396,33;45,00;61,00;36,00;16,00
2019-06-02;28,00;102,67;56,00;51,33;410,67;55,00;73,00;42,00;17,00
2019-06-09;26,00;59,43;44,57;40,86;315,71;45,00;54,00;36,00;16,00
2019-06-16;34,00;85,00;79,33;62,33;532,67;53,00;51,00;37,00;16,00
2019-06-23;23,00;69,00;42,17;46,00;368,00;50,00;65,00;41,00;17,00
2019-06-30;28,00;98,00;51,33;51,33;434,00;47,00;74,00;45,00;17,00
2019-07-07;26,00;91,00;73,67;52,00;381,33;49,00;70,00;46,00;14,00
2019-07-14;25,00;79,17;58,33;58,33;370,83;57,00;85,00;41,00;15,00
2019-07-21;25,00;85,71;57,14;42,86;328,57;61,00;76,00;45,00;14,00
2019-07-28;29,00;120,83;67,67;62,83;459,17;71,00;100,00;44,00;14,00
2019-08-04;28,00;84,00;44,00;60,00;384,00;68,00;69,00;46,00;12,00
2019-08-11;28,00;92,00;48,00;56,00;400,00;66,00;76,00;44,00;14,00
2019-08-18;25,00;100,00;50,00;54,17;379,17;69,00;69,00;40,00;14,00
2019-08-25;26,00;65,00;65,00;65,00;377,00;63,00;48,00;43,00;13,00
2019-09-01;27,00;72,00;72,00;49,50;378,00;64,00;59,00;43,00;14,00
2019-09-08;31,00;93,00;82,67;62,00;449,50;68,00;69,00;40,00;14,00
2019-09-15;27,00;85,50;72,00;58,50;373,50;62,00;80,00;45,00;15,00
2019-09-22;29,00;65,25;61,63;47,13;304,50;57,00;58,00;41,00;16,00
2019-09-29;34,00;85,00;72,25;51,00;365,50;77,00;71,00;37,00;16,00
2019-10-06;22,00;62,33;62,33;51,33;289,67;60,00;66,00;45,00;15,00
2019-10-13;28,00;88,00;52,00;44,00;344,00;64,00;73,00;43,00;13,00
2019-10-20;25,00;82,14;64,29;39,29;325,00;66,00;70,00;42,00;13,00
2019-10-27;24,00;110,40;62,40;52,80;441,60;99,00;52,00;38,00;12,00
2019-11-03;25,00;105,00;90,00;60,00;410,00;66,00;54,00;40,00;14,00
2019-11-10;21,00;88,20;54,60;50,40;310,80;65,00;59,00;36,00;14,00
2019-11-17;20,00;63,33;43,33;36,67;246,67;70,00;54,00;34,00;13,00
2019-11-24;21,00;79,80;46,20;46,20;310,80;69,00;55,00;34,00;13,00
2019-12-01;23,00;82,80;46,00;50,60;345,00;69,00;53,00;37,00;13,00
2019-12-08;20,00;80,00;36,00;36,00;300,00;56,00;57,00;35,00;14,00
2019-12-15;27,00;76,50;76,50;40,50;355,50;58,00;60,00;37,00;15,00
2019-12-22;29,00;76,13;65,25;39,88;308,13;78,00;79,00;42,00;16,00
2019-12-29;29,00;61,63;61,63;47,13;311,75;94,00;72,00;40,00;18,00
2020-01-05;27,00;81,00;58,50;54,00;328,50;67,00;61,00;48,00;17,00
2020-01-12;29,00;87,00;82,17;58,00;386,67;69,00;72,00;47,00;18,00
2020-01-19;28,00;107,33;56,00;51,33;354,67;65,00;68,00;44,00;17,00
2020-01-26;21,00;79,80;58,80;42,00;306,60;56,00;56,00;43,00;15,00
2020-02-02;26,00;93,60;62,40;67,60;410,80;46,00;57,00;35,00;16,00
2020-02-09;26,00;73,67;73,67;47,67;355,33;57,00;63,00;42,00;16,00
2020-02-16;28,00;93,33;51,33;51,33;396,67;54,00;69,00;43,00;17,00
2020-02-23;23,00;87,40;46,00;50,60;358,80;38,00;63,00;40,00;18,00
2020-03-01;20,00;80,00;52,00;32,00;264,00;43,00;50,00;38,00;17,00
2020-03-08;21,00;94,50;47,25;36,75;351,75;26,00;43,00;34,00;18,00
2020-03-15;10,00;45,00;35,00;20,00;205,00;26,00;18,00;19,00;12,00
2020-03-22;9,00;36,00;18,00;13,50;103,50;20,00;19,00;12,00;9,00
2020-03-29;8,00;20,00;16,00;12,00;84,00;18,00;18,00;11,00;7,00
2020-04-05;8,00;20,00;8,00;12,00;76,00;15,00;16,00;16,00;8,00
2020-04-12;6,00;24,00;12,00;24,00;102,00;17,00;10,00;11,00;8,00
2020-04-19;7,00;28,00;14,00;14,00;126,00;16,00;15,00;10,00;7,00
2020-04-26;6,00;30,00;18,00;18,00;126,00;14,00;10,00;13,00;6,00
2020-05-03;7,00;17,50;10,50;7,00;77,00;12,00;14,00;11,00;6,00
2020-05-10;5,00;20,00;25,00;15,00;130,00;17,00;16,00;10,00;6,00
2020-05-17;7,00;17,50;14,00;10,50;112,00;17,00;14,00;14,00;7,00
2020-05-24;8,00;32,00;24,00;16,00;280,00;16,00;18,00;11,00;6,00
2020-05-31;9,00;27,00;18,00;13,50;198,00;19,00;22,00;13,00;7,00
2020-06-07;8,00;24,00;16,00;12,00;184,00;16,00;22,00;13,00;7,00
2020-06-14;12,00;36,00;16,00;16,00;212,00;18,00;28,00;14,00;7,00
2020-06-21;11,00;40,33;25,67;11,00;205,33;20,00;26,00;17,00;7,00
2020-06-28;14,00;60,67;23,33;14,00;266,00;22,00;38,00;22,00;7,00
2020-07-05;15,00;63,75;18,75;15,00;221,25;20,00;46,00;22,00;7,00
2020-07-12;17,00;72,25;29,75;17,00;284,75;23,00;61,00;22,00;8,00
2020-07-19;16,00;72,00;36,00;16,00;248,00;21,00;48,00;27,00;9,00
2020-07-26;14,00;45,50;31,50;17,50;206,50;20,00;49,00;22,00;7,00
2020-08-02;17,00;73,67;39,67;22,67;362,67;22,00;42,00;19,00;8,00
2020-08-09;13,00;47,67;26,00;21,67;273,00;27,00;49,00;21,00;8,00
2020-08-16;13,00;39,00;30,33;21,67;268,67;24,00;31,00;11,00;7,00
2020-08-23;15,00;40,00;40,00;25,00;285,00;21,00;28,00;14,00;7,00
2020-08-30;7,00;24,50;14,00;17,50;178,50;22,00;27,00;15,00;7,00
2020-09-06;8,00;32,00;28,00;16,00;200,00;22,00;26,00;12,00;7,00
2020-09-13;11,00;38,50;27,50;27,50;297,00;18,00;22,00;14,00;6,00
2020-09-20;8,00;32,00;20,00;20,00;200,00;35,00;29,00;14,00;8,00
2020-09-27;8,00;28,00;20,00;16,00;180,00;25,00;17,00;13,00;8,00
2020-10-04;7,00;24,50;14,00;14,00;161,00;28,00;21,00;14,00;9,00
2020-10-11;8,00;20,00;20,00;16,00;176,00;21,00;24,00;15,00;8,00
2020-10-18;7,00;42,00;28,00;28,00;336,00;17,00;20,00;14,00;8,00
