Week-end;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;29,00;10,00;9,00;8,00;13,00;9,00;11,00;1,00;0,50
2019-01-13;27,00;15,00;9,00;9,00;16,00;12,00;10,00;0,50;0,50
2019-01-20;29,00;13,00;7,00;9,00;14,00;8,00;6,00;0,50;0,50
2019-01-27;24,00;7,00;8,00;9,00;17,00;5,00;4,00;0,50;0,50
2019-02-03;26,00;7,00;8,00;9,00;15,00;6,00;3,00;0,00;0,50
2019-02-10;27,00;5,00;7,00;7,00;12,00;5,00;2,00;0,50;0,50
2019-02-17;26,00;4,00;6,00;8,00;14,00;6,00;4,00;1,00;0,50
2019-02-24;24,00;10,00;5,00;7,00;16,00;7,00;2,00;0,50;0,50
2019-03-03;26,00;4,00;7,00;7,00;15,00;7,00;1,00;0,50;0,50
2019-03-10;23,00;8,00;6,00;8,00;15,00;7,00;2,00;0,50;0,50
2019-03-17;28,00;5,00;8,00;8,00;14,00;8,00;2,00;0,50;0,50
2019-03-24;23,00;4,00;10,00;8,00;16,00;7,00;3,00;0,50;0,50
2019-03-31;31,00;5,00;9,00;8,00;14,00;15,00;6,00;0,50;0,50
2019-04-07;38,00;8,00;10,00;8,00;15,00;11,00;10,00;0,50;0,50
2019-04-14;43,00;15,00;15,00;4,00;15,00;11,00;8,00;0,50;0,50
2019-04-21;31,00;10,00;9,00;6,00;12,00;10,00;6,00;0,50;0,50
2019-04-28;33,00;9,00;12,00;7,00;15,00;10,00;7,00;0,50;0,50
2019-05-05;25,00;8,00;9,00;8,00;16,00;12,00;7,00;0,50;0,50
2019-05-12;25,00;15,00;8,00;5,00;17,00;13,00;10,00;0,50;0,50
2019-05-19;31,00;9,00;8,00;8,00;12,00;12,00;9,00;0,50;0,50
2019-05-26;33,00;8,00;7,00;6,00;15,00;11,00;11,00;0,50;0,50
2019-06-02;29,00;13,00;10,00;6,00;17,00;11,00;5,00;0,50;0,50
2019-06-09;24,00;9,00;9,00;6,00;19,00;14,00;8,00;0,50;0,50
2019-06-16;20,00;14,00;10,00;7,00;16,00;14,00;7,00;0,50;0,50
2019-06-23;22,00;13,00;5,00;6,00;17,00;13,00;8,00;0,50;0,50
2019-06-30;25,00;10,00;5,00;6,00;19,00;12,00;8,00;0,50;0,50
2019-07-07;22,00;7,00;4,00;8,00;20,00;15,00;6,00;0,50;0,50
2019-07-14;22,00;10,00;5,00;7,00;13,00;14,00;7,00;0,50;0,50
2019-07-21;26,00;10,00;4,00;7,00;19,00;20,00;7,00;0,50;0,50
2019-07-28;27,00;11,00;13,00;8,00;18,00;13,00;12,00;0,50;0,50
2019-08-04;28,00;8,00;11,00;7,00;19,00;13,00;13,00;1,00;0,50
2019-08-11;26,00;15,00;7,00;7,00;16,00;14,00;9,00;0,50;0,50
2019-08-18;25,00;8,00;7,00;6,00;16,00;16,00;11,00;1,00;0,50
2019-08-25;27,00;11,00;5,00;8,00;20,00;15,00;8,00;0,50;0,50
2019-09-01;27,00;13,00;12,00;9,00;16,00;15,00;9,00;1,00;0,50
