Hotel;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;29,00;33,00;50,00;41,00;50,00;46,85;32,35;58,00;23,42
2019-01-13;31,00;34,00;50,00;43,00;52,00;49,37;33,30;57,41;25,26
2019-01-20;29,00;33,00;52,00;40,00;52,00;46,85;27,88;52,42;23,42
2019-01-27;30,00;32,00;50,00;40,00;56,00;48,46;28,85;50,77;23,08
2019-02-03;31,00;33,00;48,00;37,00;59,00;45,39;27,68;49,82;23,25
2019-02-10;32,00;33,00;52,00;37,00;61,00;47,45;28,69;48,55;24,28
2019-02-17;32,00;30,00;49,00;36,00;60,00;48,00;27,43;50,29;26,29
2019-02-24;32,00;32,00;50,00;35,00;64,00;50,76;26,48;47,45;24,28
2019-03-03;33,00;32,00;48,00;38,00;58,00;48,93;26,17;48,93;28,45
2019-03-10;32,00;32,00;46,00;36,00;62,00;50,29;27,43;48,00;29,71
2019-03-17;30,00;31,00;49,00;35,00;61,00;52,22;24,44;48,89;25,56
2019-03-24;32,00;31,00;47,00;34,00;64,00;52,57;26,29;48,00;27,43
2019-03-31;32,00;32,00;47,00;34,00;58,00;53,71;26,29;49,14;27,43
2019-04-07;31,00;33,00;50,00;37,00;63,00;52,04;25,46;50,93;26,57
2019-04-14;33,00;31,00;52,00;35,00;61,00;54,62;26,17;50,07;25,03
2019-04-21;30,00;29,00;48,00;35,00;57,00;61,15;26,54;49,62;25,38
2019-04-28;30,00;30,00;48,00;36,00;56,00;54,44;30,00;51,11;25,56
2019-05-05;30,00;28,00;46,00;36,00;65,00;55,38;26,54;50,77;25,38
2019-05-12;29,00;30,00;45,00;37,00;62,00;52,20;26,68;52,20;29,00
2019-05-19;30,00;29,00;48,00;36,00;64,00;51,11;25,56;53,33;31,11
2019-05-26;32,00;30,00;51,00;38,00;66,00;54,86;30,86;54,86;32,00
2019-06-02;31,00;31,00;51,00;39,00;73,00;66,43;27,68;52,04;31,00
2019-06-09;31,00;32,00;51,00;42,00;76,00;77,50;27,68;50,93;29,89
2019-06-16;32,00;33,00;52,00;42,00;77,00;83,43;28,57;54,86;34,29
2019-06-23;31,00;33,00;52,00;39,00;82,00;85,25;26,57;54,25;32,11
