Chambres_hotes;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;25,00;47,00;25,00;13,00;6,00;91,67;37,50;50,00;12,50
2019-01-13;29,00;49,00;28,00;14,00;6,00;95,29;41,43;45,57;12,43
2019-01-20;29,00;53,00;25,00;11,00;8,00;95,29;33,14;49,71;12,43
2019-01-27;32,00;44,00;26,00;10,00;7,00;84,00;32,00;44,00;12,00
2019-02-03;33,00;47,00;24,00;10,00;7,00;90,75;33,00;49,50;12,38
2019-02-10;35,00;48,00;37,00;10,00;8,00;100,63;48,13;52,50;13,13
2019-02-17;37,00;55,00;23,00;9,00;8,00;90,44;37,00;49,33;12,33
2019-02-24;44,00;52,00;32,00;8,00;9,00;110,00;39,60;52,80;13,20
2019-03-03;40,00;49,00;33,00;11,00;7,00;104,00;36,00;48,00;12,00
2019-03-10;37,00;47,00;29,00;11,00;8,00;106,89;32,89;49,33;12,33
2019-03-17;37,00;43,00;25,00;10,00;8,00;115,11;32,89;49,33;12,33
2019-03-24;41,00;45,00;26,00;9,00;8,00;114,80;36,90;49,20;12,30
2019-03-31;37,00;50,00;35,00;10,00;7,00;135,67;49,33;53,44;12,33
2019-04-07;36,00;53,00;42,00;12,00;9,00;136,00;44,00;60,00;12,00
2019-04-14;37,00;44,00;39,00;13,00;8,00;139,78;49,33;57,56;12,33
2019-04-21;35,00;47,00;34,00;12,00;7,00;175,00;39,38;56,88;13,13
2019-04-28;34,00;50,00;30,00;12,00;7,00;140,25;55,25;59,50;12,75
2019-05-05;33,00;44,00;36,00;12,00;7,00;136,13;41,25;53,63;12,38
2019-05-12;31,00;46,00;32,00;12,00;8,00;128,43;48,71;57,57;13,29
2019-05-19;35,00;50,00;34,00;12,00;8,00;135,63;52,50;70,00;13,13
2019-05-26;41,00;58,00;40,00;14,00;9,00;135,30;53,30;61,50;12,30
2019-06-02;38,00;61,00;38,00;12,00;10,00;177,33;46,44;59,11;12,67
2019-06-09;38,00;68,00;43,00;14,00;9,00;194,22;42,22;63,33;12,67
2019-06-16;39,00;73,00;39,00;14,00;10,00;212,33;52,00;65,00;17,33
2019-06-23;41,00;68,00;33,00;14,00;10,00;209,10;45,10;65,60;16,40
2019-06-30;40,00;96,00;40,00;12,00;10,00;235,56;48,89;71,11;17,78
2019-07-07;47,00;90,00;35,00;14,00;11,00;222,18;59,82;68,36;17,09
2019-07-14;50,00;98,00;48,00;16,00;10,00;225,00;62,50;66,67;16,67
2019-07-21;52,00;77,00;43,00;15,00;11,00;255,67;65,00;69,33;17,33
2019-07-28;55,00;72,00;43,00;15,00;10,00;258,08;63,46;71,92;16,92
2019-08-04;62,00;80,00;35,00;14,00;12,00;318,27;74,40;74,40;16,53
2019-08-11;63,00;67,00;35,00;15,00;10,00;336,00;71,40;67,20;12,60
2019-08-18;53,00;70,00;37,00;14,00;11,00;228,31;61,15;73,38;12,23
2019-08-25;43,00;58,00;31,00;14,00;9,00;189,20;47,30;64,50;12,90
2019-09-01;34,00;50,00;36,00;13,00;9,00;157,25;46,75;59,50;12,75
2019-09-08;35,00;45,00;36,00;12,00;8,00;157,50;48,13;65,63;13,13
2019-09-15;30,00;48,00;32,00;13,00;8,00;145,71;42,86;64,29;12,86
2019-09-22;28,00;45,00;31,00;11,00;8,00;120,00;36,00;56,00;12,00
2019-09-29;29,00;43,00;32,00;12,00;6,00;124,29;33,14;53,86;12,43
2019-10-06;27,00;35,00;30,00;10,00;7,00;130,50;45,00;58,50;13,50
2019-10-13;26,00;35,00;23,00;10,00;8,00;121,33;39,00;47,67;13,00
2019-10-20;26,00;33,00;27,00;11,00;6,00;121,33;34,67;47,67;13,00
2019-10-27;24,00;36,00;13,00;8,00;6,00;104,00;28,00;40,00;12,00
2019-11-03;22,00;33,00;20,00;8,00;6,00;101,20;30,80;44,00;13,20
2019-11-10;20,00;34,00;18,00;9,00;5,00;96,00;24,00;32,00;8,00
2019-11-17;21,00;34,00;17,00;8,00;7,00;100,80;25,20;33,60;8,40
2019-11-24;18,00;33,00;15,00;9,00;8,00;94,50;27,00;36,00;9,00
2019-12-01;20,00;25,00;18,00;9,00;6,00;88,00;24,00;32,00;8,00
2019-12-08;18,00;26,00;17,00;8,00;6,00;90,00;27,00;31,50;13,50
2019-12-15;16,00;29,00;17,00;8,00;5,00;80,00;24,00;28,00;12,00
2019-12-22;45,00;36,00;28,00;10,00;6,00;110,45;28,64;40,91;20,45
2019-12-29;26,00;38,00;26,00;11,00;6,00;125,67;34,67;47,67;17,33
2020-01-05;24,00;42,00;27,00;12,00;7,00;84,00;32,00;48,00;16,00
2020-01-12;24,00;45,00;28,00;12,00;7,00;92,00;40,00;44,00;16,00
2020-01-19;25,00;42,00;25,00;11,00;7,00;95,83;37,50;45,83;16,67
2020-01-26;27,00;39,00;24,00;10,00;7,00;88,71;30,86;42,43;11,57
2020-02-02;34,00;44,00;28,00;10,00;6,00;93,50;29,75;51,00;17,00
2020-02-09;29,00;42,00;23,00;10,00;7,00;107,71;29,00;49,71;16,57
2020-02-16;32,00;44,00;24,00;12,00;6,00;96,00;36,00;44,00;16,00
2020-02-23;25,00;44,00;20,00;8,00;7,00;54,17;29,17;45,83;12,50
2020-03-01;24,00;31,00;15,00;8,00;6,00;56,00;24,00;44,00;12,00
2020-03-08;19,00;28,00;13,00;6,00;4,00;19,00;19,00;34,20;11,40
2020-03-15;8,00;15,00;6,00;3,00;2,00;16,00;8,00;20,00;8,00
2020-03-22;8,00;11,00;4,00;2,00;2,00;12,00;8,00;16,00;8,00
2020-03-29;10,00;13,00;6,00;2,00;1,00;20,00;5,00;20,00;5,00
2020-04-05;9,00;10,00;6,00;2,00;2,00;13,50;9,00;22,50;9,00
2020-04-12;10,00;18,00;6,00;2,00;2,00;20,00;20,00;20,00;10,00
2020-04-19;11,00;13,00;10,00;2,00;2,00;14,67;14,67;14,67;7,33
2020-04-26;11,00;16,00;10,00;2,00;2,00;18,33;22,00;14,67;7,33
2020-05-03;13,00;12,00;15,00;3,00;2,00;21,67;26,00;21,67;8,67
2020-05-10;17,00;14,00;16,00;3,00;1,00;29,75;38,25;21,25;12,75
2020-05-17;24,00;22,00;26,00;5,00;2,00;44,00;40,00;20,00;12,00
2020-05-24;27,00;27,00;28,00;5,00;3,00;67,50;45,00;22,50;13,50
2020-05-31;35,00;44,00;28,00;7,00;3,00;100,63;52,50;26,25;13,13
2020-06-07;40,00;57,00;31,00;8,00;4,00;124,44;57,78;26,67;17,78
2020-06-14;41,00;76,00;25,00;8,00;4,00;143,50;57,40;28,70;16,40
2020-06-21;45,00;74,00;35,00;8,00;4,00;180,00;65,45;40,91;16,36
2020-06-28;52,00;84,00;33,00;10,00;5,00;212,33;69,33;47,67;17,33
2020-07-05;56,00;93,00;37,00;10,00;5,00;241,23;73,23;51,69;17,23
2020-07-12;54,00;100,00;45,00;11,00;6,00;236,77;78,92;58,15;16,62
2020-07-19;54,00;81,00;46,00;11,00;5,00;274,15;74,77;70,62;16,62
2020-07-26;60,00;68,00;42,00;11,00;7,00;300,00;77,14;77,14;17,14
