Residence_tourisme;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;41,00;34,00;23,00;18,00;36,00;8,00;29,00;32,00;9,00
2019-01-13;42,00;33,00;23,00;17,00;44,00;10,00;34,00;25,00;3,00
2019-01-20;45,00;49,00;29,00;17,00;46,00;9,00;25,00;26,00;3,00
2019-01-27;38,00;24,00;23,00;24,00;42,00;12,00;33,00;23,00;2,00
2019-02-03;41,00;34,00;24,00;18,00;39,00;7,00;24,00;25,00;2,00
2019-02-10;46,00;36,00;19,00;23,00;40,00;12,00;27,00;21,00;2,00
2019-02-17;42,00;19,00;21,00;19,00;48,00;14,00;13,00;21,00;2,00
2019-02-24;43,00;27,00;22,00;20,00;58,00;13,00;20,00;21,00;4,00
2019-03-03;46,00;19,00;23,00;16,00;57,00;8,00;17,00;17,00;3,00
2019-03-10;41,00;14,00;16,00;21,00;54,00;11,00;18,00;22,00;2,00
2019-03-17;43,00;24,00;28,00;17,00;56,00;11,00;19,00;19,00;2,00
2019-03-24;47,00;31,00;20,00;15,00;52,00;11,00;19,00;21,00;3,00
2019-03-31;49,00;33,00;26,00;14,00;52,00;11,00;17,00;23,00;2,00
2019-04-07;49,00;28,00;23,00;18,00;58,00;12,00;18,00;26,00;3,00
2019-04-14;49,00;28,00;24,00;9,00;50,00;9,00;19,00;23,00;3,00
2019-04-21;39,00;23,00;12,00;14,00;45,00;15,00;20,00;19,00;3,00
2019-04-28;42,00;35,00;12,00;14,00;49,00;11,00;26,00;23,00;3,00
2019-05-05;40,00;23,00;20,00;14,00;57,00;10,00;18,00;21,00;4,00
2019-05-12;39,00;17,00;27,00;13,00;58,00;6,00;7,00;18,00;3,00
2019-05-19;38,00;31,00;18,00;16,00;56,00;11,00;21,00;28,00;5,00
2019-05-26;45,00;31,00;20,00;18,00;67,00;11,00;25,00;21,00;6,00
2019-06-02;45,00;32,00;13,00;23,00;62,00;12,00;16,00;22,00;3,00
2019-06-09;48,00;21,00;16,00;20,00;66,00;15,00;18,00;25,00;3,00
2019-06-16;39,00;28,00;19,00;20,00;70,00;15,00;30,00;27,00;3,00
2019-06-23;47,00;31,00;26,00;21,00;74,00;13,00;15,00;27,00;3,00
2019-06-30;48,00;37,00;8,00;20,00;85,00;17,00;21,00;27,00;3,00
2019-07-07;39,00;29,00;29,00;21,00;72,00;10,00;28,00;29,00;3,00
2019-07-14;43,00;36,00;34,00;22,00;83,00;16,00;20,00;23,00;3,00
2019-07-21;51,00;23,00;40,00;20,00;82,00;12,00;23,00;25,00;3,00
2019-07-28;55,00;26,00;29,00;23,00;87,00;13,00;24,00;24,00;3,00
2019-08-04;60,00;21,00;25,00;20,00;86,00;15,00;23,00;24,00;3,00
2019-08-11;55,00;18,00;19,00;21,00;77,00;12,00;32,00;24,00;3,00
2019-08-18;50,00;25,00;20,00;17,00;64,00;14,00;17,00;21,00;3,00
2019-08-25;39,00;13,00;35,00;19,00;52,00;12,00;18,00;21,00;4,00
2019-09-01;34,00;28,00;14,00;18,00;48,00;11,00;27,00;23,00;4,00
2019-09-08;31,00;17,00;16,00;22,00;33,00;7,00;16,00;25,00;4,00
2019-09-15;36,00;22,00;29,00;19,00;38,00;7,00;23,00;26,00;4,00
2019-09-22;40,00;24,00;14,00;15,00;33,00;9,00;19,00;28,00;4,00
2019-09-29;39,00;25,00;16,00;18,00;37,00;9,00;19,00;20,00;5,00
2019-10-06;43,00;18,00;13,00;15,00;39,00;8,00;13,00;25,00;3,00
2019-10-13;45,00;16,00;7,00;9,00;26,00;5,00;19,00;18,00;3,00
2019-10-20;38,00;19,00;19,00;13,00;30,00;5,00;21,00;18,00;4,00
