Campings;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;12,00;21,00;11,00;8,00;5,00;4,80;74,40;7,20;7,20
2019-01-13;13,00;19,00;12,00;8,00;6,00;6,50;67,17;6,50;6,50
2019-01-20;13,00;20,00;12,00;8,00;6,00;4,33;56,33;6,50;6,50
2019-01-27;19,00;20,00;16,00;10,00;8,00;11,88;57,00;7,13;7,13
2019-02-03;21,00;18,00;14,00;10,00;11,00;9,33;49,00;7,00;7,00
2019-02-10;22,00;22,00;17,00;10,00;11,00;11,00;46,20;6,60;6,60
2019-02-17;25,00;20,00;20,00;10,00;11,00;13,64;50,00;6,82;6,82
2019-02-24;25,00;21,00;19,00;10,00;13,00;13,64;50,00;6,82;6,82
2019-03-03;25,00;20,00;19,00;11,00;12,00;13,64;45,45;6,82;9,09
2019-03-10;24,00;16,00;18,00;10,00;16,00;13,09;45,82;6,55;8,73
2019-03-17;25,00;21,00;22,00;11,00;17,00;13,64;40,91;6,82;9,09
2019-03-24;28,00;25,00;27,00;10,00;16,00;15,08;47,38;6,46;10,77
2019-03-31;21,00;30,00;16,00;9,00;14,00;9,33;65,33;9,33;9,33
2019-04-07;20,00;28,00;21,00;10,00;14,00;6,67;66,67;11,11;8,89
2019-04-14;22,00;34,00;28,00;12,00;19,00;8,80;85,80;13,20;11,00
2019-04-21;21,00;26,00;23,00;11,00;14,00;11,67;95,67;11,67;11,67
2019-04-28;21,00;30,00;17,00;10,00;15,00;9,33;86,33;11,67;11,67
2019-05-05;21,00;23,00;19,00;10,00;13,00;9,33;79,33;11,67;11,67
2019-05-12;19,00;28,00;17,00;10,00;17,00;6,33;80,22;10,56;12,67
2019-05-19;20,00;24,00;20,00;11,00;16,00;11,11;86,67;13,33;17,78
2019-05-26;29,00;42,00;36,00;14,00;18,00;11,15;129,38;13,38;17,85
2019-06-02;29,00;41,00;33,00;16,00;24,00;15,62;111,54;13,38;17,85
2019-06-09;25,00;35,00;28,00;17,00;26,00;20,45;102,27;11,36;18,18
2019-06-16;28,00;40,00;28,00;16,00;29,00;21,00;119,00;14,00;21,00
2019-06-23;34,00;59,00;28,00;17,00;32,00;20,40;120,13;15,87;20,40
