Semaine;Nice (FR);reta (SI);Agadir (MA);Djerba (TN);Corfu (GR);Santorini Island (GR);Faro (PT);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;42,00;0,00;42,00;3,36;43,68;112,00;35,00;0,00;63,00;84,00;5,25;12,00;8,00;3,00;2,00;10,50;3,00;31,50;6,00;0,00;25,20;0,00;3,00;3,00;2,00;0,00;0,00;3,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;25,00;0,00;35,00;1,67;28,33;150,00;25,00;4,17;50,00;58,33;4,17;7,00;6,00;8,00;3,00;17,65;8,82;30,88;5,88;0,00;2,08;2,08;0,00;3,00;0,00;0,00;1,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;38,00;0,00;23,00;11,57;44,61;120,91;34,55;9,50;66,50;57,00;4,75;12,00;1,00;4,00;1,00;13,15;1,46;42,38;4,38;0,00;2,11;2,11;6,00;0,00;0,00;0,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;32,00;0,00;32,00;11,20;27,20;145,78;35,56;10,67;64,00;74,67;10,67;7,00;8,00;6,00;0,00;23,27;5,82;46,55;1,45;2,00;2,00;4,00;4,00;3,00;1,00;1,00;1,00;7,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;29,00;0,00;36,00;11,94;32,41;134,13;43,50;9,67;58,00;77,33;9,67;4,00;10,00;6,00;2,00;12,21;15,26;33,58;4,58;0,00;4,14;2,07;3,00;0,00;0,00;1,00;0,00;0,00;4,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-02-10;30,00;0,00;29,00;3,33;30,00;168,75;52,50;0,00;110,00;100,00;5,00;7,00;3,00;5,00;4,00;34,50;12,00;48,00;6,00;0,00;2,14;2,14;5,00;3,00;0,00;0,00;4,00;3,00;4,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-02-17;37,00;0,00;31,00;5,05;50,45;151,36;37,00;9,25;74,00;111,00;27,75;10,00;8,00;12,00;7,00;23,68;4,44;38,48;4,44;2,06;2,06;0,00;6,00;0,00;1,00;1,00;1,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;21,00;0,00;26,00;3,23;48,46;154,00;70,00;10,50;94,50;94,50;5,25;13,00;8,00;12,00;1,00;24,00;12,00;40,50;6,00;0,00;2,10;0,00;5,00;4,00;0,00;3,00;4,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;29,00;0,00;33,00;11,28;32,22;195,75;50,75;9,67;106,33;96,67;9,67;11,00;18,00;6,00;6,00;24,42;7,63;45,79;3,05;0,00;4,14;4,14;3,00;3,00;2,00;2,00;2,00;2,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00
2019-03-10;32,00;0,00;22,00;1,68;38,74;181,33;53,33;10,67;85,33;106,67;5,33;11,00;5,00;9,00;5,00;32,00;15,24;48,76;7,62;0,00;4,00;0,00;3,00;0,00;0,00;5,00;5,00;3,00;5,00;0,00;2,00;0,00;0,00;0,00;0,00
