Semaine;London (GB);Paris (FR);Amsterdam (NL);Roma (IT);Lille (FR);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;96,00;54,36;23,13;65,45;1,09;15,27;34,00;21,00;16,00;20,00;25,00;24,00;26,00;2,00;4,00;18,00;2,00;8,00;3,00;8,00;7,00;4,00;3,00;3,00;1,00;4,00;3,00;0,50;1,00;0,50;1,00;0,50;0,50
2019-01-13;90,00;60,00;21,92;63,66;1,10;13,17;31,00;21,00;18,00;19,00;24,00;26,00;26,00;2,00;5,00;19,00;3,00;7,00;3,00;6,00;8,00;5,00;3,00;3,00;1,00;6,00;2,00;1,00;1,00;0,50;1,00;0,50;0,50
2019-01-20;78,00;50,06;19,79;60,67;1,08;13,00;29,00;20,00;17,00;17,00;21,00;24,00;20,00;2,00;5,00;16,00;3,00;6,00;2,00;6,00;8,00;4,00;4,00;3,00;1,00;3,00;3,00;1,00;2,00;0,50;1,00;0,00;0,50
2019-01-27;88,00;55,58;20,84;46,20;1,10;15,40;26,00;21,00;12,00;18,00;21,00;20,00;24,00;1,00;4,00;18,00;2,00;7,00;2,00;8,00;7,00;4,00;3,00;2,00;1,00;3,00;2,00;1,00;2,00;1,00;1,00;0,50;0,00
2019-02-03;91,00;54,14;19,58;41,17;1,08;15,17;31,00;25,00;10,00;21,00;23,00;18,00;22,00;2,00;5,00;18,00;2,00;6,00;3,00;7,00;9,00;3,00;2,00;2,00;0,50;6,00;3,00;1,00;2,00;0,50;1,00;0,00;0,50
2019-02-10;80,00;60,29;18,55;38,92;1,08;15,14;26,00;21,00;13,00;20,00;23,00;21,00;25,00;2,00;5,00;19,00;3,00;6,00;3,00;7,00;7,00;4,00;3,00;2,00;1,00;3,00;2,00;1,00;2,00;0,50;1,00;0,00;0,50
2019-02-17;75,00;60,00;17,31;39,71;1,10;17,65;24,00;21,00;13,00;19,00;19,00;19,00;23,00;1,00;5,00;18,00;13,00;6,00;3,00;6,00;7,00;3,00;3,00;2,00;1,00;4,00;3,00;1,00;2,00;1,00;1,00;0,00;0,50
2019-02-24;78,00;53,55;17,46;39,00;1,08;17,33;27,00;20,00;13,00;18,00;21,00;18,00;23,00;1,00;5,00;19,00;2,00;7,00;2,00;6,00;10,00;3,00;3,00;1,00;1,00;4,00;3,00;1,00;2,00;1,00;1,00;0,00;0,50
2019-03-03;76,00;55,27;19,58;41,26;1,09;13,03;24,00;20,00;12,00;21,00;20,00;19,00;22,00;2,00;5,00;19,00;3,00;7,00;3,00;6,00;8,00;4,00;3,00;1,00;1,00;4,00;3,00;1,00;2,00;1,00;1,00;0,50;0,50
2019-03-10;77,00;57,46;19,54;37,40;1,10;17,60;26,00;19,00;12,00;23,00;19,00;19,00;24,00;1,00;4,00;22,00;4,00;8,00;3,00;7,00;10,00;4,00;3,00;2,00;1,00;5,00;3,00;1,00;2,00;1,00;1,00;0,50;0,50
2019-03-17;73,00;63,73;17,38;37,61;1,11;15,48;21,00;23,00;13,00;21,00;20,00;20,00;25,00;2,00;5,00;19,00;3,00;7,00;3,00;8,00;8,00;4,00;3,00;1,00;0,50;3,00;2,00;1,00;2,00;1,00;1,00;0,50;0,50
2019-03-24;78,00;53,91;18,35;36,83;1,08;17,33;25,00;22,00;12,00;21,00;19,00;17,00;24,00;2,00;6,00;16,00;3,00;8,00;3,00;7,00;7,00;4,00;3,00;1,00;1,00;5,00;2,00;1,00;2,00;1,00;2,00;0,50;0,50
2019-03-31;70,00;50,49;14,92;59,06;1,09;21,88;31,00;20,00;16,00;23,00;21,00;23,00;20,00;2,00;7,00;18,00;2,00;6,00;3,00;7,00;9,00;5,00;6,00;3,00;1,00;3,00;3,00;1,00;2,00;0,50;2,00;0,50;0,50
2019-04-07;75,00;54,23;17,31;55,71;1,07;19,29;31,00;18,00;16,00;22,00;25,00;21,00;19,00;2,00;5,00;17,00;2,00;6,00;4,00;7,00;8,00;4,00;5,00;3,00;1,00;3,00;4,00;2,00;2,00;1,00;2,00;0,50;0,50
2019-04-14;73,00;114,06;12,55;60,12;1,07;25,76;29,00;17,00;15,00;23,00;21,00;21,00;21,00;2,00;5,00;19,00;3,00;8,00;4,00;7,00;10,00;4,00;7,00;4,00;2,00;5,00;5,00;2,00;3,00;1,00;2,00;0,00;0,50
2019-04-21;65,00;51,07;15,09;52,00;1,08;15,17;27,00;17,00;14,00;20,00;18,00;21,00;17,00;2,00;6,00;16,00;3,00;7,00;4,00;7,00;8,00;3,00;6,00;3,00;2,00;4,00;3,00;2,00;2,00;1,00;1,00;0,00;1,00
2019-04-28;64,00;45,38;12,80;44,14;1,10;17,66;25,00;18,00;14,00;19,00;24,00;20,00;17,00;1,00;5,00;15,00;2,00;6,00;3,00;6,00;7,00;3,00;4,00;2,00;1,00;4,00;3,00;1,00;2,00;0,50;1,00;0,50;0,50
