Semaine;Nice (FR);Paris (FR);London (GB);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;40,00;600,00;613,33;293,33;216,00;12,00;168,00;252,00;256,00;272,00;104,00;168,00;180,00;125,71;117,14;17,14;83,20;113,60;12,80;54,40;18,57;101,43;45,71;71,43;16,25;40,00;28,75;56,25;9,00;9,00;5,00;5,00;14,00;3,00;3,00
2019-01-13;43,00;573,33;587,67;301,00;219,30;21,50;189,20;270,90;189,20;296,70;111,80;159,10;140,47;108,93;114,67;14,33;84,35;147,19;16,54;69,46;20,07;111,80;63,07;74,53;22,76;35,41;36,68;65,76;8,00;10,00;4,00;3,00;13,00;1,00;4,00
2019-01-20;42,00;518,00;574,00;266,00;235,20;25,20;176,40;231,00;201,60;226,80;109,20;168,00;140,00;92,40;84,00;11,20;85,62;135,69;22,62;38,77;18,83;79,66;63,72;49,24;12,35;32,12;34,59;35,82;5,00;7,00;15,00;2,00;9,00;1,00;1,00
2019-01-27;15,00;555,00;630,00;300,00;183,75;7,50;142,50;240,00;138,75;270,00;127,50;172,50;135,00;93,00;120,00;18,00;55,00;120,00;18,33;71,67;13,50;109,50;52,50;67,50;20,00;32,50;6,25;22,50;9,00;10,00;6,00;6,00;8,00;1,00;1,00
2019-02-03;22,00;880,00;924,00;440,00;224,40;8,80;180,40;246,40;184,80;308,00;127,60;215,60;148,50;74,25;96,25;16,50;57,54;115,08;13,54;55,85;19,07;79,20;51,33;73,33;11,65;44,00;3,88;46,59;5,00;14,00;4,00;4,00;9,00;3,00;4,00
2019-02-10;23,00;897,00;897,00;368,00;191,67;15,33;176,33;233,83;138,00;276,00;141,83;172,50;169,63;106,38;106,38;23,00;46,00;129,79;19,71;67,36;21,56;97,75;41,69;53,19;13,32;21,79;2,42;46,00;5,00;6,00;6,00;10,00;8,00;0,00;0,00
2019-02-17;27,00;486,00;553,50;283,50;204,43;11,57;165,86;266,14;150,43;235,29;127,29;192,86;145,80;97,20;94,50;16,20;54,00;111,18;49,24;57,18;21,32;86,68;48,32;46,89;14,73;29,45;3,68;47,86;14,00;11,00;5,00;4,00;16,00;3,00;1,00
2019-02-24;36,00;774,00;774,00;360,00;208,00;16,00;236,00;224,00;160,00;232,00;120,00;180,00;124,62;124,62;99,69;5,54;57,27;137,45;9,82;54,00;28,80;76,32;61,92;47,52;22,34;23,59;7,45;43,45;12,00;6,00;4,00;4,00;4,00;0,00;1,00
2019-03-03;32,00;672,00;688,00;320,00;180,00;12,00;296,00;240,00;148,00;228,00;144,00;200,00;122,18;119,27;78,55;11,64;54,40;124,80;11,20;52,80;17,45;82,91;61,09;48,00;16,00;45,54;6,15;32,00;13,00;4,00;13,00;3,00;9,00;0,00;4,00
2019-03-10;30,00;615,00;630,00;330,00;240,00;21,43;188,57;282,86;158,57;235,71;141,43;197,14;117,27;92,73;84,55;19,09;55,26;138,95;34,74;77,37;28,57;82,86;80,00;44,29;10,00;55,00;8,75;50,00;15,00;11,00;5,00;6,00;9,00;1,00;0,00
2019-03-17;21,00;735,00;756,00;357,00;193,20;8,40;142,80;235,20;155,40;226,80;142,80;176,40;107,63;91,88;63,00;7,88;50,08;101,77;6,46;61,38;19,60;82,60;43,40;53,20;17,29;28,41;3,71;37,06;9,00;11,00;4,00;5,00;12,00;7,00;0,00
2019-03-24;28,00;560,00;532,00;266,00;176,00;8,00;156,00;248,00;136,00;264,00;148,00;180,00;126,00;117,60;86,80;16,80;54,35;156,47;9,88;62,59;28,00;72,80;54,60;43,40;18,26;25,57;2,43;53,57;10,00;5,00;1,00;4,00;16,00;3,00;0,00
2019-03-31;46,00;628,67;536,67;291,33;213,27;16,73;179,82;263,45;192,36;255,09;129,64;196,55;140,88;126,50;97,75;14,38;73,93;116,64;21,36;65,71;15,81;74,75;47,44;58,94;19,89;17,41;16,16;48,49;5,00;8,00;12,00;6,00;8,00;6,00;4,00
2019-04-07;63,00;677,25;645,75;330,75;252,00;21,00;193,20;226,80;205,80;298,20;176,40;180,60;139,70;131,48;95,87;10,96;87,23;140,54;22,62;59,77;37,23;83,05;58,70;52,98;15,12;28,98;20,16;51,66;6,00;5,00;8,00;10,00;13,00;3,00;1,00
