Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;16,00;144,00;134,40;64,00;89,60;75,64;2,91;64,00;88,73;45,33;109,33;138,67;61,33;45,71;57,14;57,14;13,71;35,00;45,00;28,00;58,00;9,00;51,00;19,00;12,00;10,00;5,00;57,00;5,00;6,00;8,00;1,00;5,00;2,00;0,00
2019-01-13;26,00;130,00;136,50;61,75;100,75;66,44;2,89;67,89;76,56;46,80;91,00;158,60;59,80;49,64;61,45;63,82;23,64;30,00;34,00;23,00;40,00;6,00;38,00;26,00;20,00;7,00;8,00;65,00;6,00;5,00;4,00;2,00;9,00;3,00;1,00
2019-01-20;27,00;151,88;148,50;77,63;118,13;86,68;2,84;71,05;76,74;51,30;72,90;167,40;54,00;54,00;46,64;46,64;22,09;26,00;40,00;27,00;44,00;7,00;56,00;28,00;17,00;11,00;10,00;58,00;3,00;8,00;6,00;2,00;7,00;4,00;1,00
2019-01-27;16,00;140,80;153,60;89,60;80,00;52,00;1,33;72,00;72,00;45,33;101,33;154,67;69,33;34,29;52,57;48,00;20,57;37,00;33,00;17,00;44,00;9,00;48,00;24,00;12,00;8,00;3,00;67,00;4,00;4,00;3,00;1,00;10,00;2,00;0,00
2019-02-03;14,00;168,00;126,00;66,50;91,00;53,20;1,40;70,00;67,20;44,33;86,33;140,00;60,67;56,00;65,33;60,67;23,33;40,00;55,00;22,00;51,00;9,00;69,00;25,00;18,00;13,00;1,00;61,00;2,00;5,00;2,00;6,00;4,00;2,00;1,00
2019-02-10;19,00;145,67;133,00;60,17;69,67;65,14;4,07;73,29;76,00;46,14;92,29;160,14;65,14;54,63;66,50;52,25;30,88;51,00;43,00;21,00;35,00;13,00;49,00;22,00;17,00;12,00;3,00;55,00;4,00;2,00;2,00;5,00;10,00;0,00;3,00
2019-02-17;25,00;153,13;137,50;65,63;90,63;52,78;0,00;63,89;68,06;42,50;105,00;132,50;70,00;50,00;62,50;57,50;20,00;43,00;37,00;25,00;45,00;11,00;51,00;24,00;16,00;8,00;4,00;36,00;6,00;5,00;2,00;2,00;6,00;3,00;0,00
2019-02-24;20,00;170,00;156,67;76,67;100,00;52,86;2,86;82,86;87,14;45,00;110,00;140,00;70,00;55,00;72,50;52,50;35,00;32,00;33,00;29,00;40,00;12,00;51,00;25,00;19,00;9,00;7,00;46,00;4,00;7,00;8,00;5,00;6,00;4,00;2,00
2019-03-03;22,00;147,71;147,71;72,29;69,14;55,00;1,38;75,63;82,50;41,56;102,67;136,89;63,56;56,22;66,00;61,11;26,89;20,00;41,00;24,00;54,00;10,00;45,00;27,00;8,00;16,00;0,00;75,00;2,00;8,00;5,00;4,00;8,00;5,00;2,00
2019-03-10;26,00;156,00;139,75;81,25;104,00;57,78;1,44;83,78;66,44;49,40;93,60;148,20;75,40;56,73;68,55;47,27;26,00;34,00;43,00;31,00;51,00;13,00;57,00;17,00;26,00;12,00;3,00;61,00;5,00;5,00;4,00;3,00;5,00;3,00;3,00
