Semaine;Nice (FR);Paris (FR);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;54,00;459,00;432,00;383,40;313,20;10,80;162,00;129,60;218,57;141,43;87,43;126,00;229,50;256,50;72,00;9,00;90,00;534,00;18,00;48,00;13,00;53,00;41,00;46,00;22,24;73,06;9,53;31,76;20,00;5,00;10,00;5,00;14,00;2,00;4,00
2019-01-13;57,00;404,18;373,09;373,09;256,50;9,50;142,50;104,50;207,27;142,50;80,32;116,59;214,85;219,23;57,00;8,77;88,67;519,33;19,00;38,00;20,00;37,00;37,00;43,00;21,11;72,83;10,56;27,44;16,00;9,00;7,00;5,00;13,00;2,00;1,00
2019-01-20;54,00;394,20;399,60;372,60;280,80;10,80;172,80;118,80;195,43;131,14;84,86;100,29;202,50;216,00;54,00;9,00;78,00;474,00;18,00;42,00;13,00;42,00;38,00;41,00;23,76;73,44;10,80;20,52;17,00;6,00;17,00;3,00;15,00;1,00;1,00
2019-01-27;50,00;383,33;366,67;372,22;220,00;10,00;160,00;110,00;184,21;123,68;86,84;118,42;190,91;204,55;50,00;9,09;100,00;525,00;18,75;43,75;17,00;42,00;34,00;42,00;23,40;77,66;7,45;23,40;14,00;6,00;9,00;5,00;11,00;2,00;0,00
2019-02-03;51,00;408,00;340,00;402,33;275,40;10,20;173,40;102,00;209,10;127,50;81,60;132,60;217,91;231,82;60,27;9,27;89,25;503,63;19,13;38,25;15,00;38,00;44,00;45,00;23,38;69,06;11,69;25,50;15,00;9,00;11,00;5,00;11,00;2,00;2,00
2019-02-10;52,00;384,80;322,40;374,40;249,60;10,40;166,40;114,40;197,60;132,60;83,20;127,40;198,55;222,18;66,18;4,73;84,50;500,50;19,50;39,00;17,00;40,00;37,00;43,00;22,29;57,31;6,37;24,41;16,00;7,00;10,00;4,00;12,00;3,00;1,00
2019-02-17;55,00;401,50;341,00;379,50;220,00;9,17;155,83;91,67;187,50;117,50;92,50;135,00;215,42;220,00;64,17;9,17;91,67;507,22;12,22;42,78;17,00;37,00;39,00;42,00;22,21;67,69;9,52;28,56;19,00;6,00;8,00;7,00;14,00;2,00;2,00
2019-02-24;53,00;365,70;302,10;392,20;254,40;10,60;190,80;116,60;169,10;123,67;85,81;133,76;189,92;198,75;57,42;4,42;82,44;424,00;11,78;35,33;16,00;34,00;38,00;35,00;22,26;56,18;8,48;23,32;14,00;7,00;9,00;5,00;9,00;2,00;3,00
2019-03-03;57,00;373,09;279,82;383,45;228,00;9,50;161,50;104,50;181,36;126,95;88,09;142,50;206,08;201,69;52,62;8,77;82,33;481,33;12,67;44,33;24,00;43,00;37,00;39,00;26,39;67,56;9,50;26,39;18,00;8,00;11,00;5,00;11,00;0,50;2,00
2019-03-10;64,00;384,00;304,00;410,67;256,00;10,67;181,33;117,33;176,64;120,32;92,16;133,12;192,00;224,00;59,43;13,71;96,00;473,60;12,80;44,80;17,00;41,00;35,00;45,00;24,53;62,93;6,40;23,47;14,00;6,00;9,00;3,00;12,00;2,00;2,00
2019-03-17;61,00;399,27;288,36;427,00;264,33;10,17;162,67;111,83;170,29;116,92;94,04;139,79;197,08;220,54;56,31;9,38;85,40;439,20;18,30;36,60;18,00;39,00;33,00;41,00;24,61;57,79;5,35;23,54;12,00;7,00;6,00;4,00;8,00;2,00;1,00
2019-03-24;59,00;337,91;257,45;386,18;236,00;9,83;157,33;108,17;174,43;105,17;97,48;128,26;190,62;222,38;45,38;9,08;82,60;413,00;17,70;41,30;17,00;37,00;42,00;37,00;24,23;50,57;9,48;23,18;16,00;5,00;6,00;5,00;16,00;1,00;1,00
2019-03-31;72,00;343,38;288,00;426,46;246,86;10,29;174,86;123,43;177,43;115,71;97,71;154,29;198,00;216,00;54,00;9,00;96,00;426,00;18,00;42,00;16,00;41,00;42,00;50,00;30,09;53,73;10,75;27,94;15,00;9,00;10,00;6,00;16,00;1,00;1,00
2019-04-07;81,00;421,20;307,80;464,40;273,38;10,13;182,25;111,38;202,50;129,09;106,31;149,34;202,50;256,50;67,50;9,00;99,69;461,08;18,69;49,85;23,00;40,00;34,00;47,00;22,09;51,55;11,57;25,25;16,00;12,00;14,00;3,00;14,00;2,00;1,00
2019-04-14;70,00;425,38;253,08;522,31;230,00;10,00;190,00;130,00;173,70;121,85;93,33;132,22;200,67;219,33;51,33;9,33;114,55;445,45;19,09;44,55;17,00;37,00;29,00;33,00;25,45;36,06;10,61;26,52;18,00;9,00;10,00;3,00;17,00;2,00;2,00
2019-04-21;70,00;339,23;242,31;446,92;210,00;10,00;170,00;110,00;150,37;111,48;77,78;145,19;200,67;224,00;60,67;9,33;95,45;451,82;19,09;38,18;21,00;32,00;37,00;44,00;23,33;45,61;9,55;28,64;16,00;9,00;7,00;6,00;14,00;2,00;1,00
2019-04-28;66,00;330,00;264,00;456,50;207,43;9,43;179,14;113,14;157,38;111,69;86,31;132,00;188,57;240,43;56,57;9,43;96,00;402,00;18,00;48,00;23,00;40,00;51,00;49,00;24,48;36,19;12,77;24,48;15,00;7,00;8,00;7,00;11,00;1,00;1,00
2019-05-05;84,00;341,25;278,25;504,00;241,50;10,50;1050,00;126,00;155,27;109,45;104,36;140,00;200,67;256,67;51,33;9,33;96,00;390,00;18,00;54,00;23,00;39,00;43,00;37,00;31,90;42,53;18,08;28,71;27,00;10,00;8,00;12,00;20,00;1,00;1,00
2019-05-12;84,00;336,00;225,75;435,75;231,00;10,50;367,50;126,00;147,64;112,00;99,27;129,82;182,00;238,00;56,00;9,33;102,00;384,00;18,00;36,00;21,00;45,00;38,00;44,00;23,39;42,53;11,70;27,65;17,00;8,00;10,00;5,00;19,00;1,00;2,00
2019-05-19;87,00;396,94;288,19;451,31;251,33;9,67;222,33;106,33;179,12;122,82;94,68;125,38;183,16;233,53;59,53;9,16;118,07;435,00;24,86;49,71;26,00;33,00;42,00;46,00;26,52;49,87;9,55;30,77;16,00;10,00;8,00;9,00;34,00;1,00;2,00
2019-05-26;79,00;379,20;268,60;426,60;217,25;9,88;543,13;108,63;155,45;119,77;89,19;145,26;269,53;223,06;60,41;9,29;109,38;431,46;18,23;42,54;27,00;43,00;37,00;37,00;26,69;39,50;11,74;26,69;15,00;8,00;13,00;7,00;33,00;3,00;3,00
2019-06-02;94,00;403,65;259,88;458,94;229,78;10,44;271,56;125,33;165,14;109,24;101,62;132,11;206,80;432,40;51,70;14,10;106,53;419,87;18,80;50,13;27,00;37,00;41,00;45,00;36,32;44,86;14,95;28,84;23,00;7,00;15,00;9,00;18,00;3,00;2,00
2019-06-09;88,00;390,50;269,50;478,50;215,11;9,78;176,00;117,33;183,54;125,71;100,57;140,80;213,05;254,74;55,58;9,26;113,14;496,57;18,86;44,00;30,00;36,00;38,00;50,00;29,69;39,23;13,78;31,81;21,00;8,00;12,00;10,00;20,00;2,00;4,00
2019-06-16;96,00;432,00;272,00;432,00;211,20;9,60;163,20;96,00;171,24;121,95;103,78;153,08;210,29;214,86;54,86;13,71;108,00;444,00;18,00;42,00;27,00;43,00;38,00;49,00;36,27;35,20;10,67;28,80;18,00;11,00;12,00;10,00;17,00;2,00;3,00
2019-06-23;93,00;454,06;289,94;459,53;268,67;10,33;165,33;113,67;191,17;121,42;103,33;155,00;223,20;213,90;60,45;13,95;111,60;514,60;31,00;43,40;27,00;43,00;37,00;48,00;33,14;45,97;12,83;26,72;27,00;12,00;10,00;9,00;17,00;1,00;3,00
2019-06-30;82,00;426,40;289,73;431,87;225,50;10,25;174,25;112,75;197,31;128,13;97,38;140,94;209,56;209,56;59,22;13,67;119,85;548,77;31,54;37,85;30,00;43,00;41,00;43,00;29,82;40,47;11,71;23,43;16,00;12,00;18,00;6,00;17,00;2,00;3,00
2019-07-07;91,00;428,24;278,35;487,12;232,56;10,11;182,00;111,22;189,80;122,20;98,80;150,80;195,65;213,85;59,15;9,10;121,33;497,47;18,20;36,40;22,00;44,00;32,00;48,00;32,12;42,82;14,99;28,91;21,00;11,00;12,00;9,00;17,00;1,00;2,00
2019-07-14;100,00;410,53;273,68;442,11;220,00;10,00;150,00;110,00;192,31;130,77;87,18;141,03;190,91;240,91;63,64;9,09;137,50;493,75;25,00;56,25;30,00;42,00;33,00;44,00;34,04;43,62;14,89;28,72;20,00;13,00;13,00;9,00;14,00;4,00;3,00
2019-07-21;88,00;462,00;275,00;467,50;224,89;9,78;176,00;107,56;181,03;138,29;103,09;148,34;213,05;226,95;60,21;9,26;113,14;528,00;25,14;50,29;27,00;40,00;43,00;53,00;32,87;51,95;14,84;32,87;22,00;10,00;13,00;10,00;17,00;3,00;4,00
2019-07-28;71,00;464,23;311,31;436,92;233,29;10,14;152,14;111,57;187,64;131,86;76,07;139,46;226,31;261,81;53,25;8,88;94,67;479,25;17,75;41,42;29,00;42,00;39,00;49,00;28,61;41,33;14,84;31,79;20,00;9,00;15,00;7,00;17,00;4,00;3,00
2019-08-04;92,00;432,94;286,82;400,47;235,11;10,22;163,56;112,44;186,56;130,33;102,22;143,11;207,00;262,20;64,40;13,80;104,27;613,33;18,40;42,93;27,00;39,00;35,00;52,00;31,02;48,14;16,05;26,74;25,00;7,00;16,00;6,00;15,00;4,00;1,00
2019-08-11;75,00;423,21;289,29;423,21;215,63;9,38;131,25;103,13;186,21;126,72;85,34;191,38;215,63;234,38;60,94;9,38;106,25;543,75;18,75;50,00;27,00;38,00;40,00;48,00;31,69;33,80;11,62;24,30;20,00;13,00;13,00;7,00;12,00;2,00;3,00
2019-08-18;82,00;399,07;295,20;393,60;225,50;10,25;164,00;112,75;207,56;130,69;94,81;143,50;200,44;209,56;63,78;13,67;107,23;542,46;25,23;50,46;23,00;42,00;49,00;46,00;33,01;42,60;9,58;36,21;19,00;12,00;11,00;7,00;16,00;2,00;2,00
2019-08-25;70,00;387,69;280,00;387,69;230,00;20,00;180,00;100,00;181,48;127,04;98,52;129,63;191,33;210,00;56,00;9,33;101,82;477,27;19,09;38,18;22,00;45,00;39,00;53,00;29,08;43,08;7,54;26,92;16,00;8,00;13,00;6,00;13,00;2,00;1,00
2019-09-01;82,00;410,00;333,47;420,93;276,75;20,50;184,50;112,75;187,06;151,19;117,88;202,44;223,22;218,67;68,33;13,67;107,23;498,31;25,23;56,77;27,00;58,00;43,00;48,00;26,62;50,05;10,65;35,14;18,00;10,00;10,00;8,00;17,00;4,00;3,00
2019-09-08;78,00;451,29;334,29;423,43;263,25;9,75;185,25;107,25;213,20;153,40;122,20;156,00;215,65;229,41;73,41;18,35;108,00;468,00;24,00;60,00;25,00;53,00;51,00;54,00;26,71;54,49;12,82;44,88;15,00;9,00;10,00;8,00;17,00;2,00;3,00
2019-09-15;75,00;466,07;321,43;423,21;281,25;18,75;187,50;112,50;199,14;150,00;113,79;160,34;201,56;257,81;75,00;14,06;112,50;518,75;25,00;62,50;21,00;69,00;48,00;51,00;26,79;51,43;9,64;41,79;24,00;12,00;13,00;7,00;23,00;3,00;2,00
2019-09-22;80,00;421,33;336,00;394,67;270,00;20,00;200,00;100,00;206,45;139,35;121,29;165,16;202,35;249,41;75,29;18,82;110,77;510,77;24,62;61,54;24,00;70,00;49,00;48,00;28,80;49,07;10,67;38,40;21,00;12,00;9,00;5,00;15,00;2,00;2,00
2019-09-29;63,00;425,25;304,50;378,00;252,00;21,00;189,00;105,00;204,12;153,72;105,84;148,68;202,50;202,50;67,50;13,50;94,50;491,40;18,90;50,40;23,00;64,00;49,00;56,00;22,05;47,25;15,75;40,95;20,00;10,00;10,00;4,00;16,00;4,00;4,00
2019-10-06;59,00;423,73;359,36;380,82;265,50;19,67;177,00;108,17;256,52;148,78;115,43;166,74;213,31;222,38;90,77;18,15;94,40;495,60;23,60;53,10;14,00;58,00;48,00;51,00;20,38;54,71;18,24;34,33;16,00;9,00;6,00;4,00;11,00;3,00;1,00
2019-10-13;57,00;409,36;290,18;461,18;218,50;9,50;152,00;95,00;240,95;142,50;103,64;155,45;228,00;199,50;76,00;19,00;82,33;468,67;19,00;63,33;19,00;48,00;45,00;44,00;18,28;49,47;13,98;34,42;16,00;8,00;9,00;4,00;14,00;2,00;3,00
