Paris;DE;BE;CH;ES;FR;IT;NL;GB;US
2019-04-21;28,00;56,00;56,00;44,00;360,00;64,00;80,00;29,00;14,00
2019-04-28;25,00;58,33;45,83;45,83;350,00;45,00;75,00;33,00;14,00
2019-05-05;27,00;57,86;54,00;50,14;300,86;49,00;50,00;38,00;14,00
2019-05-12;27,00;63,00;58,50;40,50;360,00;46,00;62,00;36,00;16,00
2019-05-19;28,00;68,00;56,00;44,00;308,00;51,00;50,00;41,00;16,00
2019-05-26;27,00;73,29;57,86;42,43;335,57;41,00;76,00;32,00;15,00
2019-06-02;27,00;88,71;57,86;42,43;335,57;55,00;72,00;41,00;15,00
2019-06-09;30,00;60,00;55,71;47,14;381,43;47,00;51,00;37,00;15,00
2019-06-16;30,00;77,14;68,57;55,71;407,14;53,00;60,00;43,00;16,00
2019-06-23;25,00;66,67;58,33;50,00;404,17;51,00;59,00;45,00;18,00
2019-06-30;21,00;88,20;58,80;46,20;390,60;48,00;65,00;40,00;16,00
2019-07-07;29,00;74,57;66,29;53,86;381,14;52,00;82,00;43,00;16,00
2019-07-14;30,00;98,57;55,71;51,43;394,29;55,00;81,00;39,00;14,00
2019-07-21;31,00;85,25;58,13;46,50;383,63;63,00;74,00;45,00;15,00
2019-07-28;32,00;100,00;68,00;52,00;388,00;62,00;97,00;45,00;14,00
2019-08-04;29,00;87,00;45,57;62,14;414,29;64,00;90,00;45,00;13,00
2019-08-11;28,00;92,00;56,00;56,00;392,00;58,00;81,00;40,00;13,00
2019-08-18;25,00;87,50;50,00;58,33;391,67;64,00;70,00;37,00;14,00
2019-08-25;23,00;82,80;64,40;55,20;391,00;53,00;54,00;37,00;13,00
2019-09-01;28,00;56,00;72,00;52,00;340,00;62,00;58,00;39,00;14,00
2019-09-08;29,00;78,71;53,86;49,71;352,14;57,00;69,00;46,00;15,00
2019-09-15;26,00;73,67;73,67;56,33;351,00;60,00;72,00;45,00;15,00
2019-09-22;27,00;69,43;69,43;46,29;320,14;66,00;65,00;40,00;15,00
2019-09-29;33,00;103,13;74,25;49,50;354,75;69,00;60,00;45,00;14,00
2019-10-06;29,00;70,43;78,71;58,00;339,71;62,00;66,00;41,00;13,00
2019-10-13;28,00;68,00;52,00;44,00;344,00;67,00;85,00;40,00;14,00
2019-10-20;27,00;85,50;85,50;49,50;423,00;62,00;66,00;37,00;12,00
2019-10-27;25,00;104,17;54,17;45,83;375,00;99,00;56,00;36,00;13,00
2019-11-03;22,00;110,00;61,60;52,80;369,60;61,00;45,00;38,00;14,00
