Disney;BE;CH;DE;ES;FR;IT;NL;UK;US
06/01/2019;56;20;17;24;45;13;39;42;1
13/01/2019;62;14;14;22;42;19;29;38;1
20/01/2019;63;12;14;25;36;16;32;33;1
27/01/2019;49;7;10;22;25;12;26;28;1
03/02/2019;46;12;11;23;31;7;15;28;1
10/02/2019;42;13;10;25;35;6;20;28;1
17/02/2019;42;11;11;24;34;8;18;30;1
24/02/2019;43;14;11;25;34;7;27;24;1
03/03/2019;52;16;10;30;30;9;32;30;1
10/03/2019;43;12;13;24;30;17;36;26;1
17/03/2019;48;17;11;35;44;16;29;57;1
24/03/2019;56;14;12;33;42;15;25;39;1
31/03/2019;62;18;12;25;37;10;39;27;1
07/04/2019;63;15;15;24;43;11;30;24;1
14/04/2019;49;24;18;23;48;14;29;24;1
21/04/2019;29;24;14;23;45;17;31;24;1
28/04/2019;43;13;16;22;41;12;35;23;1
05/05/2019;45;13;15;18;28;12;28;25;1
12/05/2019;48;13;17;24;34;9;22;25;1
19/05/2019;44;13;19;27;33;12;26;27;1
26/05/2019;47;19;16;22;42;9;26;27;1
02/06/2019;41;12;14;24;39;10;28;27;1
09/06/2019;49;8;17;24;41;13;29;26;1
16/06/2019;39;11;15;25;43;11;23;26;1
23/06/2019;48;8;10;21;38;13;22;25;1
30/06/2019;51;8;16;22;41;11;23;25;1
07/07/2019;62;12;14;26;45;12;39;28;1
14/07/2019;70;13;17;27;53;13;39;28;1
21/07/2019;52;11;16;26;46;12;27;27;1
28/07/2019;58;19;16;29;50;15;32;32;1
04/08/2019;60;16;18;29;53;16;34;29;1
11/08/2019;74;17;12;31;59;16;30;34;1
18/08/2019;47;14;13;25;51;16;24;30;1
25/08/2019;52;15;14;28;47;14;20;30;1
01/09/2019;51;18;15;28;39;15;32;29;1
08/09/2019;74;16;14;21;44;12;45;32;1
15/09/2019;62;16;16;22;43;13;43;33;1
22/09/2019;87;25;17;25;50;10;42;35;1
29/09/2019;66;18;16;21;52;12;37;33;1
06/10/2019;68;19;15;19;49;13;42;28;1
13/10/2019;56;17;14;22;52;18;34;32;1
20/10/2019;62;15;12;18;61;19;36;29;1
27/10/2019;61;14;12;17;51;16;28;27;1
03/11/2019;60;8;11;22;47;13;28;26;1
10/11/2019;62;11;11;25;48;17;28;24;1
17/11/2019;56;11;13;28;51;22;28;22;1
24/11/2019;59;12;12;24;48;15;30;21;1
01/12/2019;43;13;9;19;46;13;29;20;1
08/12/2019;52;13;11;18;42;12;18;17;2
15/12/2019;52;12;11;16;46;12;24;20;2
22/12/2019;88;21;19;22;75;14;42;30;2
29/12/2019;80;13;20;20;62;17;38;49;2
05/01/2020;62;17;19;24;46;14;44;44;1
12/01/2020;61;15;19;22;47;21;44;39;2
19/01/2020;71;13;19;26;41;24;42;37;2
26/01/2020;57;20;14;23;39;17;33;28;1
02/02/2020;47;14;12;28;42;14;25;30;2
09/02/2020;45;12;10;26;40;13;24;33;2
16/02/2020;37;11;12;28;53;11;31;38;2
23/02/2020;55;17;11;22;58;7;34;28;2
01/03/2020;57;14;13;27;50;8;37;30;2
08/03/2020;90;15;19;34;100;6;44;49;2
15/03/2020;12;2;4;6;11;3;10;9;1
22/03/2020;16;4;3;6;9;4;6;7;1
29/03/2020;13;2;5;9;10;5;10;11;1
05/04/2020;14;3;5;8;10;5;9;11;1
12/04/2020;17;5;5;8;18;6;8;12;1
19/04/2020;14;4;3;8;13;3;10;11;1
26/04/2020;11;4;4;6;15;3;5;12;1
03/05/2020;10;3;4;6;11;3;11;10;1
10/05/2020;11;4;6;7;13;4;8;11;1
17/05/2020;11;3;6;5;14;3;12;10;1
24/05/2020;16;3;6;8;18;4;11;10;1
31/05/2020;19;5;7;6;18;3;14;10;1
07/06/2020;16;7;7;9;20;4;17;10;1
14/06/2020;18;6;8;6;26;4;15;10;1
21/06/2020;24;10;9;9;31;5;21;15;1
28/06/2020;35;8;8;10;27;4;20;13;1
05/07/2020;30;6;11;9;28;4;24;13;1
12/07/2020;52;6;10;11;39;6;26;16;1
19/07/2020;39;5;10;9;31;5;22;18;1
26/07/2020;33;7;10;8;33;7;17;15;1
02/08/2020;23;7;9;10;33;5;19;11;1
09/08/2020;34;6;7;8;39;5;15;12;1
16/08/2020;35;5;7;8;34;4;13;9;1
23/08/2020;47;7;6;9;31;4;15;8;1
30/08/2020;30;2;5;6;27;4;13;10;1
06/09/2020;35;7;5;10;27;5;15;9;1
13/09/2020;18;3;5;8;31;3;12;9;1
20/09/2020;24;4;5;6;33;2;13;7;1
27/09/2020;27;7;3;5;38;2;9;7;1
04/10/2020;25;4;4;7;41;3;8;8;1
11/10/2020;19;5;3;9;45;2;7;6;1
18/10/2020;12;1;3;6;41;2;6;5;1
25/10/2020;16;5;3;5;38;3;9;7;1
01/11/2020;16;5;2;4;43;2;5;4;1
08/11/2020;13;1;2;5;12;2;6;6;1
15/11/2020;14;4;3;4;13;2;7;6;1
22/11/2020;13;3;2;5;16;2;4;6;1
29/11/2020;10;3;3;7;12;3;7;5;1
06/12/2020;13;3;2;6;13;3;7;7;1
13/12/2020;6;4;2;6;12;2;6;5;1
