Campings;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;2,00;13,00;14,00;10,00;4,00;2,00;64,00;6,00;6,00
2019-01-13;5,00;22,00;15,00;12,00;7,00;10,00;145,00;15,00;10,00
2019-01-20;3,00;30,00;8,00;9,00;8,00;6,00;78,00;9,00;9,00
2019-01-27;21,00;39,00;22,00;15,00;10,00;9,00;72,00;9,00;6,00
2019-02-03;27,00;22,00;18,00;17,00;15,00;12,00;66,00;6,00;9,00
2019-02-10;27,00;22,00;26,00;16,00;13,00;15,00;66,00;9,00;9,00
2019-02-17;32,00;30,00;20,00;16,00;15,00;16,00;67,20;9,60;9,60
2019-02-24;27,00;28,00;19,00;15,00;15,00;12,00;63,00;9,00;9,00
2019-03-03;28,00;18,00;24,00;16,00;16,00;15,56;68,44;12,44;9,33
2019-03-10;32,00;26,00;31,00;17,00;21,00;19,20;57,60;9,60;12,80
2019-03-17;28,00;27,00;35,00;15,00;23,00;12,44;59,11;9,33;12,44
2019-03-24;36,00;34,00;37,00;20,00;25,00;18,00;66,00;9,00;15,00
2019-03-31;8,00;27,00;31,00;10,00;17,00;5,33;74,67;8,00;10,67
2019-04-07;6,00;28,00;21,00;11,00;17,00;12,00;87,00;12,00;15,00
2019-04-14;7,00;39,00;27,00;18,00;24,00;10,50;133,00;17,50;14,00
2019-04-21;6,00;31,00;21,00;15,00;12,00;9,00;123,00;12,00;15,00
2019-04-28;5,00;37,00;19,00;15,00;14,00;10,00;95,00;10,00;12,50
2019-05-05;6,00;28,00;18,00;14,00;17,00;12,00;111,00;15,00;15,00
2019-05-12;5,00;34,00;13,00;15,00;18,00;7,50;97,50;12,50;15,00
2019-05-19;7,00;27,00;22,00;13,00;21,00;10,50;143,50;17,50;24,50
2019-05-26;9,00;50,00;34,00;22,00;26,00;12,00;150,00;21,00;21,00
2019-06-02;8,00;40,00;35,00;25,00;25,00;13,33;125,33;10,67;18,67
2019-06-09;7,00;39,00;25,00;25,00;23,00;24,50;150,50;17,50;28,00
2019-06-16;9,00;42,00;32,00;22,00;34,00;24,00;156,00;18,00;24,00
2019-06-23;10,00;66,00;36,00;25,00;40,00;20,00;156,67;23,33;33,33
2019-06-30;11,00;67,00;42,00;23,00;47,00;19,25;154,00;16,50;24,75
2019-07-07;13,00;80,00;44,00;25,00;41,00;26,00;237,25;22,75;29,25
2019-07-14;17,00;81,00;49,00;26,00;48,00;22,67;229,50;19,83;22,67
2019-07-21;21,00;86,00;59,00;33,00;49,00;24,00;249,00;21,00;24,00
2019-07-28;23,00;67,00;42,00;23,00;51,00;29,57;253,00;26,29;26,29
2019-08-04;19,00;53,00;31,00;26,00;58,00;31,67;228,00;22,17;22,17
2019-08-11;15,00;52,00;35,00;25,00;52,00;30,00;156,00;21,00;18,00
2019-08-18;17,00;58,00;25,00;21,00;45,00;17,00;155,83;22,67;17,00
2019-08-25;9,00;40,00;18,00;20,00;32,00;18,00;105,00;21,00;18,00
2019-09-01;7,00;28,00;16,00;16,00;19,00;10,50;94,50;14,00;17,50
2019-09-08;7,00;20,00;17,00;17,00;8,00;14,00;73,50;14,00;14,00
2019-09-15;5,00;24,00;17,00;13,00;10,00;5,00;47,50;10,00;10,00
2019-09-22;4,00;19,00;14,00;8,00;9,00;8,00;56,00;12,00;16,00
2019-09-29;2,00;17,00;13,00;12,00;8,00;2,00;26,00;4,00;8,00
2019-10-06;2,00;17,00;8,00;8,00;11,00;2,00;26,00;4,00;6,00
2019-10-13;3,00;18,00;13,00;8,00;7,00;3,00;45,00;6,00;9,00
2019-10-20;3,00;13,00;12,00;7,00;7,00;3,00;45,00;6,00;9,00
2019-10-27;3,00;16,00;5,00;7,00;10,00;3,00;42,00;6,00;6,00
2019-11-03;2,00;16,00;11,00;6,00;5,00;2,00;28,00;4,00;4,00
2019-11-10;2,00;16,00;6,00;7,00;5,00;1,00;26,00;2,00;4,00
2019-11-17;1,00;12,00;5,00;6,00;5,00;2,00;26,00;4,00;4,00
2019-11-24;2,00;4,00;4,00;6,00;5,00;1,00;22,00;2,00;4,00
2019-12-01;2,00;10,00;2,00;6,00;7,00;2,00;24,00;2,00;2,00
2019-12-08;2,00;13,00;3,00;5,00;2,00;2,00;26,00;2,00;2,00
2019-12-15;2,00;10,00;8,00;5,00;3,00;2,00;26,00;2,00;2,00
