Hotel;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;28,00;37,00;57,00;45,00;51,00;47,04;36,96;60,48;23,52
2019-01-13;29,00;37,00;60,00;44,00;53,00;50,19;34,58;58,00;23,42
2019-01-20;30,00;38,00;62,00;39,00;54,00;46,67;34,44;54,44;24,44
2019-01-27;29,00;36,00;58,00;41,00;58,00;48,33;33,30;47,26;22,56
2019-02-03;33,00;38,00;61,00;38,00;60,00;46,20;36,30;52,80;24,20
2019-02-10;33,00;38,00;59,00;37,00;61,00;47,30;34,10;51,70;25,30
2019-02-17;33,00;35,00;58,00;38,00;63,00;51,70;35,20;50,60;26,40
2019-02-24;33,00;37,00;61,00;37,00;65,00;52,80;33,00;47,30;24,20
2019-03-03;32,00;35,00;55,00;36,00;58,00;49,66;30,90;48,55;27,59
2019-03-10;29,00;34,00;59,00;36,00;62,00;50,48;30,07;45,11;27,93
2019-03-17;33,00;35,00;57,00;36,00;62,00;51,70;29,70;47,30;25,30
2019-03-24;34,00;34,00;56,00;35,00;65,00;52,65;30,71;47,16;27,42
2019-03-31;34,00;36,00;55,00;35,00;59,00;50,45;31,81;47,16;26,32
2019-04-07;33,00;38,00;59,00;37,00;62,00;56,10;33,00;53,90;26,40
2019-04-14;33,00;36,00;58,00;36,00;63,00;53,90;30,80;47,30;24,20
2019-04-21;30,00;34,00;59,00;34,00;58,00;58,89;31,11;48,89;25,56
2019-04-28;32,00;36,00;58,00;36,00;58,00;54,07;35,31;49,66;26,48
2019-05-05;30,00;32,00;52,00;36,00;67,00;55,56;31,11;50,00;26,67
2019-05-12;30,00;34,00;54,00;36,00;62,00;52,22;32,22;51,11;27,78
2019-05-19;28,00;33,00;51,00;38,00;62,00;54,88;33,60;54,88;31,36
2019-05-26;32,00;33,00;57,00;37,00;66,00;52,97;35,31;56,28;32,00
2019-06-02;32,00;36,00;57,00;41,00;72,00;68,41;33,10;52,97;29,79
2019-06-09;32,00;36,00;60,00;43,00;74,00;76,14;35,31;54,07;30,90
2019-06-16;33,00;37,00;62,00;41,00;80,00;81,40;35,20;56,10;33,00
2019-06-23;32,00;36,00;59,00;41,00;85,00;83,86;33,10;55,17;33,10
2019-06-30;33,00;44,00;64,00;41,00;88,00;88,00;38,50;55,00;33,00
2019-07-07;34,00;46,00;71,00;45,00;92,00;84,45;41,68;57,03;31,81
2019-07-14;37,00;50,00;73,00;45,00;90,00;88,58;44,85;60,55;34,76
2019-07-21;38,00;49,00;73,00;44,00;93,00;90,53;42,47;55,88;34,65
2019-07-28;41,00;46,00;77,00;44,00;96,00;94,19;45,43;56,51;32,14
2019-08-04;44,00;46,00;67,00;47,00;100,00;99,00;42,90;58,30;29,70
2019-08-11;44,00;44,00;63,00;45,00;96,00;101,20;41,80;56,10;30,80
2019-08-18;37,00;40,00;60,00;44,00;90,00;83,79;39,18;57,68;27,21
2019-08-25;34,00;36,00;60,00;44,00;74,00;66,90;32,90;52,65;27,42
2019-09-01;32,00;32,00;61,00;42,00;72,00;59,59;35,31;62,90;27,59
2019-09-08;32,00;40,00;61,00;42,00;62,00;59,59;35,31;64,00;26,48
2019-09-15;30,00;35,00;59,00;41,00;59,00;50,00;35,56;64,44;28,89
2019-09-22;31,00;35,00;55,00;41,00;59,00;45,39;32,11;62,00;27,68
2019-09-29;30,00;32,00;61,00;39,00;60,00;44,44;32,22;58,89;28,89
2019-10-06;28,00;34,00;56,00;37,00;59,00;42,00;34,46;59,23;25,85
2019-10-13;28,00;30,00;52,00;36,00;58,00;41,44;33,60;57,12;24,64
2019-10-20;29,00;34,00;48,00;35,00;53,00;40,15;31,23;53,54;24,54
2019-10-27;27,00;34,00;49,00;33,00;53,00;39,96;30,24;46,44;21,60
2019-11-03;27,00;34,00;44,00;33,00;49,00;37,13;31,50;48,38;24,75
2019-11-10;26,00;33,00;44,00;32,00;46,00;41,83;30,52;48,61;24,87
2019-11-17;26,00;32,00;42,00;32,00;48,00;37,92;29,25;44,42;23,83
2019-11-24;25,00;30,00;42,00;28,00;47,00;36,96;26,09;45,65;23,91
2019-12-01;26,00;30,00;43,00;29,00;49,00;39,57;27,13;44,09;24,87
2019-12-08;24,00;28,00;41,00;28,00;43,00;38,18;26,18;41,45;25,09
2019-12-15;25,00;26,00;47,00;28,00;39,00;38,64;28,41;46,59;28,41
2019-12-22;30,00;35,00;62,00;39,00;46,00;48,89;35,56;55,56;33,33
2019-12-29;31,00;36,00;62,00;41,00;50,00;54,52;36,34;59,86;31,00
2020-01-05;29,00;35,00;60,00;42,00;50,00;42,96;35,44;63,37;32,22
2020-01-12;31,00;40,00;61,00;43,00;55,00;48,71;37,64;65,32;35,43
2020-01-19;30,00;39,00;61,00;42,00;50,00;46,67;35,56;64,44;35,56
2020-01-26;29,00;37,00;55,00;39,00;56,00;43,50;37,92;59,12;29,00
2020-02-02;31,00;39,00;58,00;37,00;58,00;42,07;34,32;57,57;32,11
2020-02-09;31,00;33,00;52,00;36,00;61,00;43,18;33,21;59,79;34,32
2020-02-16;32,00;36,00;56,00;36,00;59,00;43,03;35,31;60,69;35,31
2020-02-23;26,00;32,00;46,00;31,00;58,00;28,17;31,42;54,17;31,42
2020-03-01;25,00;27,00;39,00;29,00;47,00;28,41;27,27;51,14;32,95
2020-03-08;19,00;21,00;31,00;23,00;34,00;11,61;21,11;40,11;28,50
2020-03-15;9,00;12,00;18,00;14,00;18,00;11,25;13,50;33,75;23,63
2020-03-22;7,00;8,00;14,00;9,00;12,00;10,50;9,33;23,33;18,67
2020-03-29;6,00;8,00;13,00;8,00;11,00;8,00;7,00;16,00;12,00
2020-04-05;6,00;8,00;14,00;10,00;12,00;8,00;6,00;19,00;13,00
2020-04-12;6,00;8,00;15,00;9,00;12,00;8,00;7,00;18,00;14,00
2020-04-19;6,00;10,00;15,00;8,00;10,00;9,00;8,00;17,00;13,00
2020-04-26;6,00;8,00;20,00;9,00;10,00;10,00;10,00;17,00;13,00
2020-05-03;6,00;6,00;21,00;13,00;12,00;9,00;11,00;18,00;16,00
2020-05-10;8,00;7,00;26,00;15,00;13,00;13,71;16,00;22,86;21,71
2020-05-17;10,00;10,00;34,00;18,00;17,00;20,00;18,89;24,44;23,33
2020-05-24;12,00;13,00;37,00;20,00;24,00;24,00;19,64;22,91;22,91
2020-05-31;17,00;19,00;41,00;24,00;24,00;36,27;21,53;26,07;24,93
2020-06-07;17,00;22,00;46,00;26,00;28,00;41,44;23,38;24,44;28,69
2020-06-14;21,00;28,00;48,00;27,00;35,00;54,16;27,63;29,84;29,84
2020-06-21;24,00;26,00;54,00;27,00;41,00;67,64;28,36;32,73;29,45
2020-06-28;26,00;34,00;51,00;30,00;50,00;75,83;29,25;35,75;27,08
2020-07-05;31,00;30,00;61,00;33,00;51,00;84,14;35,43;39,86;26,57
2020-07-12;30,00;35,00;70,00;36,00;50,00;85,56;40,00;44,44;28,89
2020-07-19;29,00;29,00;77,00;36,00;54,00;89,15;36,52;48,33;29,00
2020-07-26;32,00;25,00;66,00;33,00;66,00;93,79;39,72;50,76;30,90
2020-08-02;37,00;28,00;64,00;35,00;73,00;99,03;35,91;53,32;30,47
2020-08-09;37,00;27,00;57,00;32,00;70,00;107,74;28,29;50,06;28,29
2020-08-16;31,00;25,00;53,00;33,00;64,00;89,79;26,72;52,38;26,72
2020-08-23;25,00;23,00;52,00;32,00;53,00;67,39;29,35;54,35;27,17
2020-08-30;23,00;22,00;52,00;31,00;46,00;54,76;27,38;51,48;27,38
2020-09-06;23,00;24,00;55,00;33,00;42,00;46,00;30,67;46,00;26,29
2020-09-13;21,00;21,00;52,00;31,00;34,00;39,79;26,53;44,21;24,32
2020-09-20;18,00;17,00;48,00;26,00;32,00;30,38;22,50;40,50;24,75
2020-09-27;18,00;17,00;52,00;25,00;29,00;27,00;18,00;41,63;27,00
2020-10-04;18,00;17,00;47,00;22,00;34,00;25,88;18,00;41,63;29,25
2020-10-11;18,00;14,00;40,00;19,00;27,00;22,50;18,00;39,38;28,13
2020-10-18;18,00;11,00;30,00;14,00;21,00;16,88;16,88;37,13;27,00
2020-10-25;11,00;11,00;26,00;12,00;18,00;13,20;13,20;29,70;22,00
2020-11-01;7,00;10,00;20,00;8,00;15,00;9,00;13,00;22,00;17,00
2020-11-08;7,00;12,00;21,00;8,00;16,00;8,00;13,00;24,00;21,00
2020-11-15;8,00;11,00;21,00;7,00;16,00;8,00;14,00;22,00;19,00
2020-11-22;9,00;11,00;21,00;8,00;16,00;11,25;15,75;24,75;22,50
2020-11-29;10,00;12,00;23,00;8,00;18,00;11,11;18,89;23,33;20,00
2020-12-06;10,00;10,00;24,00;7,00;18,00;13,33;17,78;26,67;21,11
2020-12-13;13,00;11,00;25,00;7,00;17,00;11,92;13,00;23,83;20,58
2020-12-20;12,00;10,00;26,00;9,00;16,00;10,91;10,91;22,91;22,91
2020-12-27;15,00;13,00;33,00;11,00;19,00;12,86;12,86;23,57;25,71
2021-01-03;14,00;11,00;28,00;10,00;17,00;14,00;11,85;21,54;24,77
2021-01-10;13,00;13,00;27,00;9,00;15,00;13,00;10,83;19,50;23,83
2021-01-17;12,00;12,00;28,00;9,00;14,00;13,09;10,91;20,73;24,00
2021-01-24;11,00;12,00;29,00;9,00;15,00;16,50;11,00;17,60;24,20
2021-01-31;12,00;12,00;36,00;9,00;17,00;18,55;13,09;17,45;24,00
2021-02-07;14,00;13,00;40,00;10,00;20,00;19,38;14,00;21,54;29,08
2021-02-14;15,00;15,00;40,00;10,00;20,00;19,29;16,07;22,50;34,29
2021-02-21;14,00;13,00;39,00;10,00;22,00;18,31;16,15;23,69;28,00
2021-02-28;14,00;14,00;38,00;10,00;22,00;14,00;15,08;21,54;30,15
2021-03-07;13,00;13,00;34,00;11,00;24,00;13,00;14,08;24,92;33,58
2021-03-14;13,00;14,00;38,00;10,00;25,00;13,00;15,17;24,92;34,67
2021-03-21;13,00;12,00;39,00;9,00;27,00;14,08;16,25;23,83;40,08
2021-03-28;10,00;12,00;37,00;8,00;27,00;16,67;14,44;21,11;41,11
2021-04-04;9,00;15,00;39,00;10,00;24,00;21,38;15,75;20,25;46,13
2021-04-11;11,00;15,00;40,00;9,00;25,00;22,00;15,40;23,10;45,10
2021-04-18;12,00;13,00;39,00;9,00;26,00;25,09;18,55;24,00;42,55
2021-04-25;14,00;17,00;36,00;11,00;29,00;29,08;19,38;25,85;39,85
2021-05-02;18,00;19,00;45,00;15,00;34,00;34,94;22,24;27,53;42,35
2021-05-09;21,00;22,00;49,00;20,00;43,00;40,89;23,21;32,05;43,11
2021-05-16;22,00;24,00;49,00;26,00;49,00;48,40;23,10;35,20;41,80
2021-05-23;23,00;25,00;46,00;31,00;55,00;54,76;27,38;37,24;41,62
2021-05-30;24,00;27,00;53,00;32,00;56,00;65,45;25,09;39,27;40,36
