Chambres_hotes;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;25,00;48,00;25,00;14,00;6,00;91,67;37,50;50,00;12,50
2019-01-13;28,00;48,00;28,00;14,00;6,00;92,00;40,00;44,00;12,00
2019-01-20;29,00;53,00;25,00;11,00;8,00;95,29;33,14;49,71;12,43
2019-01-27;33,00;45,00;27,00;10,00;7,00;86,63;33,00;45,38;12,38
2019-02-03;34,00;45,00;24,00;10,00;8,00;89,25;34,00;51,00;12,75
2019-02-10;35,00;49,00;38,00;10,00;8,00;100,63;48,13;52,50;13,13
2019-02-17;37,00;54,00;24,00;9,00;8,00;90,44;41,11;49,33;12,33
2019-02-24;44,00;51,00;31,00;8,00;9,00;114,40;44,00;57,20;13,20
2019-03-03;41,00;51,00;34,00;11,00;7,00;106,60;36,90;49,20;12,30
2019-03-10;37,00;49,00;31,00;11,00;8,00;106,89;32,89;45,22;12,33
2019-03-17;38,00;43,00;26,00;10,00;9,00;118,22;33,78;50,67;12,67
2019-03-24;39,00;46,00;27,00;9,00;8,00;121,33;39,00;52,00;13,00
2019-03-31;37,00;49,00;34,00;10,00;7,00;135,67;49,33;53,44;12,33
2019-04-07;37,00;55,00;42,00;12,00;8,00;139,78;45,22;61,67;12,33
2019-04-14;37,00;46,00;39,00;13,00;9,00;143,89;49,33;61,67;12,33
2019-04-21;35,00;47,00;34,00;12,00;8,00;175,00;39,38;61,25;13,13
2019-04-28;35,00;50,00;31,00;12,00;8,00;144,38;56,88;61,25;13,13
2019-05-05;33,00;46,00;35,00;11,00;7,00;136,13;41,25;53,63;12,38
2019-05-12;32,00;48,00;33,00;12,00;8,00;132,57;50,29;64,00;13,71
2019-05-19;35,00;50,00;35,00;12,00;8,00;135,63;52,50;70,00;13,13
2019-05-26;42,00;60,00;41,00;14,00;9,00;138,60;54,60;63,00;12,60
2019-06-02;39,00;62,00;39,00;12,00;10,00;182,00;47,67;60,67;13,00
2019-06-09;39,00;67,00;42,00;14,00;10,00;199,33;43,33;65,00;13,00
2019-06-16;39,00;74,00;40,00;14,00;10,00;212,33;52,00;65,00;17,33
2019-06-23;41,00;70,00;32,00;14,00;11,00;213,20;45,10;65,60;16,40
2019-06-30;40,00;95,00;41,00;12,00;10,00;235,56;48,89;71,11;17,78
2019-07-07;48,00;92,00;36,00;14,00;12,00;226,91;61,09;69,82;17,45
2019-07-14;51,00;99,00;48,00;16,00;10,00;229,50;63,75;68,00;17,00
2019-07-21;54,00;79,00;44,00;15,00;11,00;245,08;62,31;66,46;16,62
2019-07-28;55,00;74,00;45,00;15,00;10,00;258,08;63,46;71,92;16,92
2019-08-04;62,00;82,00;37,00;14,00;13,00;318,27;74,40;74,40;16,53
2019-08-11;64,00;69,00;35,00;15,00;10,00;341,33;72,53;68,27;12,80
2019-08-18;53,00;70,00;37,00;14,00;11,00;228,31;61,15;73,38;12,23
2019-08-25;43,00;59,00;31,00;14,00;9,00;189,20;47,30;64,50;12,90
2019-09-01;34,00;50,00;37,00;13,00;9,00;157,25;46,75;59,50;12,75
2019-09-08;35,00;47,00;37,00;12,00;8,00;157,50;48,13;65,63;13,13
2019-09-15;30,00;47,00;32,00;13,00;8,00;145,71;42,86;64,29;12,86
2019-09-22;28,00;45,00;30,00;11,00;8,00;120,00;36,00;56,00;12,00
2019-09-29;30,00;44,00;32,00;12,00;7,00;128,57;34,29;55,71;12,86
