Avion;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;51,00;75,00;18,00;12,00;4,00;14,93;113,20;6,22;22,39
2019-01-13;48,00;77,00;17,00;11,00;4,00;13,54;110,77;6,15;19,69
2019-01-20;45,00;67,00;11,00;11,00;5,00;12,50;96,25;6,25;21,25
2019-01-27;39,00;66,00;13,00;11,00;4,00;12,19;104,81;6,09;19,50
2019-02-03;42,00;68,00;12,00;12,00;5,00;12,35;97,59;7,41;19,76
2019-02-10;39,00;74,00;10,00;10,00;4,00;15,84;98,72;6,09;19,50
2019-02-17;45,00;58,00;16,00;11,00;6,00;12,16;97,30;6,08;20,68
2019-02-24;46,00;62,00;20,00;11,00;5,00;13,32;98,05;6,05;20,58
2019-03-03;39,00;78,00;15,00;12,00;5,00;13,41;90,19;6,09;21,94
2019-03-10;41,00;68,00;13,00;12,00;6,00;13,67;91,94;4,97;21,12
2019-03-17;43,00;64,00;18,00;11,00;4,00;12,29;87,23;7,37;20,89
2019-03-24;44,00;66,00;16,00;12,00;4,00;14,67;79,44;6,11;19,56
2019-03-31;48,00;73,00;18,00;12,00;5,00;14,77;89,85;6,15;20,92
2019-04-07;46,00;68,00;15,00;13,00;5,00;14,92;89,51;8,70;19,89
2019-04-14;41,00;59,00;15,00;12,00;4,00;13,67;77,03;6,21;18,64
2019-04-21;45,00;66,00;15,00;12,00;5,00;13,38;76,62;7,30;19,46
2019-04-28;44,00;56,00;13,00;11,00;5,00;15,89;89,22;6,11;19,56
2019-05-05;43,00;64,00;12,00;11,00;5,00;13,51;77,40;7,37;19,66
2019-05-12;39,00;56,00;13,00;11,00;5,00;13,41;86,53;7,31;20,72
2019-05-19;40,00;59,00;18,00;12,00;5,00;13,33;88,48;6,06;20,61
2019-05-26;40,00;62,00;14,00;13,00;5,00;13,75;92,50;6,25;21,25
2019-06-02;44,00;63,00;14,00;13,00;7,00;15,89;85,56;7,33;20,78
2019-06-09;47,00;76,00;16,00;14,00;6,00;14,84;94,00;6,18;22,26
2019-06-16;47,00;72,00;13,00;14,00;6,00;17,32;90,29;7,42;22,26
2019-06-23;47,00;70,00;18,00;13,00;5,00;16,08;89,05;7,42;22,26
2019-06-30;54,00;90,00;17,00;15,00;6,00;15,95;99,41;7,36;22,09
2019-07-07;55,00;88,00;20,00;16,00;7,00;18,33;122,22;8,56;22,00
2019-07-14;52,00;95,00;21,00;15,00;8,00;17,33;121,33;8,67;22,29
2019-07-21;50,00;72,00;20,00;16,00;8,00;18,29;115,85;9,76;20,73
2019-07-28;56,00;88,00;17,00;15,00;9,00;19,48;105,91;7,30;20,70
2019-08-04;54,00;79,00;19,00;13,00;9,00;19,64;111,68;7,36;19,64
2019-08-11;51,00;68,00;17,00;12,00;7,00;18,66;105,73;7,46;19,90
2019-08-18;44,00;61,00;24,00;13,00;7,00;14,67;99,00;7,33;19,56
2019-08-25;37,00;68,00;13,00;12,00;6,00;14,32;93,10;7,16;17,90
2019-09-01;41,00;53,00;14,00;11,00;5,00;16,15;100,64;8,70;18,64
2019-09-08;43,00;69,00;14,00;11,00;6,00;14,74;89,69;9,83;18,43
2019-09-15;40,00;55,00;15,00;11,00;6,00;13,75;91,25;10,00;18,75
2019-09-22;36,00;73,00;15,00;10,00;5,00;14,90;88,14;9,93;18,62
2019-09-29;42,00;56,00;14,00;12,00;5,00;14,82;81,53;9,88;18,53
2019-10-06;37,00;52,00;14,00;11,00;6,00;13,13;87,13;10,74;17,90
2019-10-13;40,00;59,00;15,00;11,00;5,00;13,75;90,00;13,75;20,00
2019-10-20;40,00;59,00;14,00;10,00;5,00;13,33;82,42;30,30;29,09
2019-10-27;41,00;60,00;15,00;10,00;5,00;14,91;79,52;17,39;22,36
2019-11-03;39,00;62,00;10,00;10,00;6,00;12,58;83,03;10,06;20,13
2019-11-10;37,00;58,00;14,00;11,00;5,00;14,80;83,87;8,63;18,50
2019-11-17;40,00;60,00;12,00;11,00;5,00;13,33;70,30;9,70;18,18
2019-11-24;39,00;56,00;12,00;10,00;6,00;15,84;79,22;10,97;19,50
2019-12-01;36,00;57,00;14,00;11,00;4,00;14,90;85,66;11,17;19,86
2019-12-08;38,00;56,00;13,00;11,00;5,00;13,48;71,10;12,26;19,61
2019-12-15;38,00;58,00;15,00;11,00;6,00;13,48;79,68;13,48;20,84
2019-12-22;46,00;63,00;17,00;13,00;5,00;16,16;94,49;16,16;23,62
2019-12-29;47,00;61,00;12,00;11,00;6,00;14,84;105,13;12,37;24,74
2020-01-05;46,00;73,00;17,00;11,00;5,00;14,92;118,11;12,43;26,11
2020-01-12;45,00;76,00;15,00;11,00;4,00;14,59;119,19;10,95;24,32
2020-01-19;44,00;76,00;20,00;11,00;5,00;13,44;110,00;11,00;23,22
2020-01-26;42,00;72,00;13,00;10,00;4,00;13,59;95,12;9,88;21,00
2020-02-02;44,00;68,00;15,00;10,00;4,00;11,00;101,44;9,78;20,78
2020-02-09;46,00;68,00;12,00;9,00;4,00;12,43;94,49;8,70;21,14
2020-02-16;46,00;67,00;13,00;10,00;5,00;12,11;90,79;10,89;21,79
2020-02-23;42,00;52,00;16,00;11,00;5,00;13,59;81,53;9,88;21,00
2020-03-01;37,00;57,00;13,00;9,00;5,00;11,10;78,93;8,63;20,97
2020-03-08;41,00;55,00;9,00;11,00;6,00;8,70;96,91;11,18;59,64
2020-03-15;24,00;28,00;7,00;6,00;4,00;3,79;46,74;10,11;25,26
2020-03-22;13,00;15,00;4,00;4,00;2,00;3,55;26,00;5,91;13,00
2020-03-29;12,00;15,00;4,00;3,00;2,00;3,60;19,20;6,00;10,80
2020-04-05;11,00;17,00;4,00;4,00;2,00;2,44;20,78;6,11;11,00
2020-04-12;11,00;12,00;4,00;4,00;1,00;3,67;19,56;4,89;11,00
2020-04-19;12,00;14,00;4,00;4,00;2,00;3,60;16,80;6,00;10,80
2020-04-26;11,00;16,00;4,00;4,00;2,00;4,89;19,56;4,89;11,00
2020-05-03;12,00;13,00;2,00;5,00;2,00;5,33;22,67;5,33;13,33
2020-05-10;13,00;15,00;4,00;4,00;2,00;4,73;26,00;4,73;13,00
2020-05-17;15,00;19,00;7,00;6,00;2,00;5,00;27,50;6,25;13,75
2020-05-24;16,00;21,00;8,00;6,00;1,00;4,92;29,54;4,92;13,54
2020-05-31;21,00;29,00;7,00;7,00;2,00;8,65;33,35;6,18;13,59
2020-06-07;23,00;29,00;7,00;8,00;2,00;7,26;35,11;6,05;15,74
2020-06-14;28,00;31,00;9,00;8,00;2,00;8,52;41,39;4,87;15,83
2020-06-21;27,00;39,00;8,00;8,00;3,00;9,82;44,18;4,91;14,73
2020-06-28;30,00;49,00;8,00;9,00;3,00;8,75;51,25;6,25;13,75
2020-07-05;30,00;41,00;10,00;9,00;3,00;10,80;42,00;6,00;13,20
2020-07-12;29,00;34,00;7,00;9,00;3,00;9,67;50,75;6,04;12,08
2020-07-19;28,00;24,00;8,00;8,00;3,00;8,52;45,04;6,09;13,39
2020-07-26;23,00;22,00;6,00;8,00;3,00;8,47;37,53;6,05;13,32
2020-08-02;29,00;22,00;4,00;7,00;4,00;9,67;33,83;7,25;13,29
2020-08-09;26,00;30,00;7,00;7,00;4,00;7,43;34,67;6,19;12,38
2020-08-16;21,00;26,00;9,00;6,00;3,00;7,00;31,50;5,83;11,67
2020-08-23;21,00;26,00;7,00;6,00;2,00;7,41;29,65;6,18;12,35
2020-08-30;21,00;29,00;5,00;6,00;3,00;7,41;29,65;6,18;13,59
2020-09-06;19,00;25,00;7,00;5,00;3,00;7,13;33,25;5,94;13,06
2020-09-13;19,00;18,00;6,00;6,00;3,00;4,75;30,88;7,13;11,88
2020-09-20;17,00;24,00;4,00;6,00;2,00;4,86;27,93;4,86;12,14
2020-09-27;18,00;25,00;7,00;6,00;3,00;6,00;25,20;6,00;13,20
2020-10-04;19,00;23,00;7,00;6,00;2,00;5,07;27,87;6,33;15,20
2020-10-11;22,00;18,00;5,00;6,00;2,00;4,89;24,44;6,11;14,67
2020-10-18;21,00;20,00;5,00;5,00;2,00;4,94;22,24;6,18;14,82
2020-10-25;15,00;22,00;7,00;5,00;3,00;3,75;23,75;5,00;13,75
2020-11-01;13,00;18,00;5,00;4,00;2,00;3,55;24,82;4,73;10,64
2020-11-08;15,00;23,00;9,00;5,00;2,00;3,46;28,85;5,77;13,85
2020-11-15;18,00;28,00;6,00;5,00;3,00;4,80;25,20;6,00;14,40
2020-11-22;20,00;24,00;6,00;4,00;2,00;5,00;27,50;7,50;15,00
2020-11-29;22,00;25,00;9,00;5,00;2,00;6,11;29,33;6,11;13,44
2020-12-06;25,00;27,00;7,00;5,00;3,00;4,76;25,00;5,95;13,10
2020-12-13;28,00;27,00;9,00;6,00;2,00;5,09;26,73;5,09;14,00
2020-12-20;23,00;20,00;7,00;6,00;2,00;3,63;19,37;6,05;14,53
2020-12-27;26,00;26,00;3,00;5,00;2,00;6,19;24,76;4,95;14,86
2021-01-03;30,00;26,00;7,00;4,00;1,00;4,80;27,60;6,00;14,40
2021-01-10;24,00;21,00;8,00;5,00;3,00;4,80;22,80;6,00;14,40
2021-01-17;23,00;21,00;6,00;4,00;2,00;4,84;21,79;4,84;14,53
2021-01-24;19,00;16,00;5,00;4,00;2,00;4,75;19,00;4,75;14,25
2021-01-31;16,00;16,00;5,00;5,00;2,00;4,92;20,92;3,69;14,77
2021-02-07;16,00;17,00;2,00;5,00;2,00;4,92;22,15;4,92;14,77
2021-02-14;20,00;16,00;6,00;5,00;2,00;5,00;22,50;3,75;16,25
2021-02-21;21,00;23,00;7,00;6,00;2,00;4,94;29,65;4,94;17,29
2021-02-28;19,00;21,00;8,00;6,00;1,00;4,75;24,94;4,75;17,81
2021-03-07;21,00;21,00;5,00;5,00;2,00;4,94;30,88;4,94;18,53
2021-03-14;20,00;19,00;7,00;6,00;2,00;5,00;27,50;5,00;20,00
2021-03-21;20,00;16,00;8,00;5,00;2,00;5,00;26,25;3,75;18,75
2021-03-28;19,00;19,00;5,00;6,00;2,00;6,33;24,07;2,53;19,00
2021-04-04;19,00;21,00;5,00;6,00;2,00;6,33;24,07;2,53;20,27
2021-04-11;20,00;28,00;5,00;5,00;2,00;5,00;28,75;2,50;18,75
2021-04-18;21,00;33,00;5,00;5,00;2,00;6,18;25,94;2,47;18,53
2021-04-25;25,00;30,00;6,00;6,00;2,00;7,50;31,25;2,50;17,50
2021-05-02;27,00;33,00;5,00;6,00;3,00;7,36;31,91;2,45;18,41
2021-05-09;28,00;36,00;9,00;8,00;3,00;7,30;47,48;2,43;19,48
2021-05-16;38,00;47,00;9,00;10,00;3,00;8,58;57,61;2,45;19,61
2021-05-23;36,00;59,00;11,00;11,00;4,00;9,93;60,83;3,72;21,10
2021-05-30;38,00;59,00;12,00;12,00;3,00;11,03;61,29;3,68;19,61
2021-06-06;48,00;75,00;13,00;13,00;5,00;13,54;73,85;3,69;20,92
2021-06-13;69,00;100,00;10,00;13,00;5,00;14,79;88,71;3,70;20,95
2021-06-20;51,00;79,00;14,00;14,00;5,00;14,57;86,21;3,64;20,64
2021-06-27;47,00;86,00;12,00;13,00;5,00;13,61;84,11;3,71;19,79
2021-07-04;49,00;82,00;14,00;14,00;5,00;14,70;71,05;3,68;20,83
2021-07-11;40,00;78,00;16,00;13,00;6,00;12,12;67,88;3,64;20,61
2021-07-18;37,00;75,00;14,00;12,00;5,00;14,80;78,93;4,93;19,73
2021-07-25;38,00;69,00;11,00;13,00;6,00;13,48;89,48;3,68;17,16
2021-08-01;36,00;67,00;15,00;11,00;6,00;14,40;73,20;3,60;16,80
2021-08-08;35,00;59,00;11,00;11,00;8,00;13,28;74,83;4,83;16,90
2021-08-15;35,00;62,00;10,00;10,00;6,00;13,75;71,25;3,75;16,25
2021-08-22;32,00;60,00;10,00;10,00;6,00;13,54;71,38;4,92;14,77
2021-08-29;33,00;51,00;10,00;10,00;4,00;12,22;64,78;3,67;15,89
2021-09-05;34,00;63,00;12,00;9,00;5,00;11,33;73,04;3,78;16,37
2021-09-12;34,00;60,00;11,00;8,00;4,00;10,93;66,79;3,64;15,79
2021-09-19;34,00;55,00;13,00;8,00;4,00;9,71;69,21;4,86;15,79
2021-09-26;34,00;59,00;8,00;9,00;5,00;10,93;71,64;4,86;17,00
2021-10-03;33,00;55,00;14,00;10,00;5,00;11,00;75,78;4,89;17,11
2021-10-10;39,00;61,00;13,00;10,00;5,00;12,58;72,97;6,29;17,61
