Croisiere;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;59,00;18,00;78,00;75,00;3,00;103,61;5,76;20,15;15,83
2019-01-13;58,00;21,00;63,00;75,00;3,00;91,95;2,83;18,39;15,56
2019-01-20;47,00;15,00;72,00;64,00;4,00;81,18;4,27;17,09;12,82
2019-01-27;30,00;11,00;54,00;66,00;4,00;75,71;2,86;15,71;11,43
2019-02-03;23,00;10,00;39,00;50,00;2,00;73,31;4,31;14,38;11,50
2019-02-10;22,00;9,00;35,00;60,00;3,00;71,87;2,93;16,13;13,20
2019-02-17;25,00;12,00;44,00;52,00;3,00;73,53;2,94;23,53;14,71
2019-02-24;33,00;10,00;42,00;52,00;2,00;77,48;2,87;21,52;11,48
2019-03-03;26,00;9,00;43,00;52,00;2,00;75,11;4,33;18,78;23,11
2019-03-10;28,00;6,00;42,00;48,00;4,00;67,20;2,80;12,60;12,60
2019-03-17;27,00;13,00;34,00;52,00;4,00;79,58;5,68;24,16;15,63
2019-03-24;29,00;16,00;33,00;48,00;4,00;110,20;7,25;36,25;40,60
2019-03-31;36,00;12,00;32,00;39,00;4,00;58,15;2,77;13,85;11,08
2019-04-07;40,00;15,00;50,00;41,00;2,00;62,86;2,86;14,29;10,00
2019-04-14;41,00;16,00;53,00;40,00;3,00;57,97;4,24;14,14;9,90
2019-04-21;42,00;15,00;50,00;45,00;3,00;81,10;2,90;17,38;10,14
2019-04-28;40,00;17,00;59,00;48,00;4,00;78,57;2,86;15,71;17,14
2019-05-05;40,00;12,00;46,00;50,00;3,00;74,29;4,29;15,71;11,43
2019-05-12;36,00;13,00;42,00;46,00;2,00;67,68;2,88;20,16;11,52
2019-05-19;35,00;15,00;45,00;47,00;3,00;68,60;2,80;18,20;9,80
2019-05-26;35,00;13,00;50,00;47,00;4,00;70,00;4,20;19,60;11,20
2019-06-02;49,00;24,00;44,00;46,00;5,00;144,12;7,21;54,76;25,94
2019-06-09;40,00;15,00;48,00;54,00;5,00;87,14;7,14;22,86;11,43
2019-06-16;41,00;16,00;51,00;55,00;4,00;97,55;2,83;21,21;11,31
2019-06-23;38,00;22,00;38,00;48,00;3,00;98,52;2,81;19,70;12,67
2019-06-30;38,00;13,00;45,00;57,00;3,00;101,33;5,63;18,30;11,26
2019-07-07;57,00;26,00;57,00;66,00;5,00;125,40;7,13;34,20;35,63
2019-07-14;55,00;19,00;57,00;59,00;5,00;104,36;5,64;21,15;15,51
2019-07-21;45,00;21,00;47,00;58,00;6,00;112,50;7,03;23,91;19,69
2019-07-28;51,00;23,00;57,00;55,00;5,00;117,58;4,25;31,17;14,17
2019-08-04;56,00;18,00;57,00;63,00;6,00;126,36;4,31;22,97;11,49
2019-08-11;50,00;16,00;59,00;69,00;6,00;130,00;5,71;21,43;11,43
2019-08-18;46,00;21,00;48,00;58,00;5,00;120,75;4,31;23,00;11,50
2019-08-25;49,00;13,00;48,00;61,00;5,00;103,60;5,60;23,80;11,20
2019-09-01;41,00;17,00;43,00;57,00;6,00;91,90;4,24;22,62;12,72
2019-09-08;37,00;19,00;60,00;55,00;4,00;85,38;4,27;21,35;9,96
2019-09-15;39,00;13,00;47,00;59,00;4,00;76,61;4,18;19,50;9,75
2019-09-22;37,00;17,00;47,00;56,00;5,00;71,15;2,85;19,92;9,96
2019-09-29;36,00;13,00;55,00;54,00;6,00;70,56;4,32;18,72;10,08
2019-10-06;33,00;13,00;38,00;54,00;4,00;67,43;2,87;18,65;11,48
2019-10-13;34,00;16,00;45,00;52,00;4,00;65,17;4,25;14,17;9,92
2019-10-20;32,00;13,00;46,00;54,00;4,00;61,09;2,91;17,45;10,18
2019-10-27;35,00;14,00;38,00;53,00;5,00;54,60;4,20;15,40;11,20
2019-11-03;33,00;14,00;48,00;51,00;5,00;54,52;4,30;14,35;10,04
2019-11-10;32,00;13,00;36,00;51,00;4,00;52,36;2,91;13,09;10,18
2019-11-17;29,00;16,00;35,00;48,00;4,00;52,20;2,90;13,05;11,60
2019-11-24;28,00;11,00;30,00;42,00;4,00;44,80;4,20;9,80;11,20
2019-12-01;25,00;12,00;41,00;44,00;3,00;40,28;4,17;9,72;9,72
2019-12-08;27,00;11,00;34,00;39,00;3,00;42,63;4,26;14,21;11,37
2019-12-15;26,00;11,00;31,00;45,00;3,00;42,42;4,11;19,16;20,53
2019-12-22;35,00;12,00;33,00;73,00;4,00;65,63;4,38;21,88;18,96
2019-12-29;51,00;14,00;60,00;89,00;4,00;78,69;4,37;21,86;16,03
2020-01-05;61,00;16,00;57,00;81,00;4,00;75,19;2,84;21,28;15,60
2020-01-12;46,00;16,00;49,00;74,00;2,00;79,06;2,88;18,69;17,25
2020-01-19;43,00;16,00;50,00;68,00;3,00;77,40;4,30;18,63;18,63
2020-01-26;48,00;17,00;48,00;63,00;3,00;81,88;2,82;25,41;24,00
2020-02-02;41,00;14,00;45,00;59,00;4,00;59,38;5,66;31,10;29,69
2020-02-09;39,00;17,00;39,00;57,00;3,00;51,54;5,57;27,86;29,25
2020-02-16;39,00;19,00;45,00;49,00;3,00;53,44;4,33;27,44;24,56
2020-02-23;36,00;16,00;35,00;48,00;3,00;47,52;4,32;30,24;24,48
2020-03-01;29,00;11,00;44,00;56,00;3,00;43,50;4,35;31,90;37,70
2020-03-08;32,00;10,00;43,00;100,00;6,00;23,65;4,17;37,57;57,04
2020-03-15;14,00;5,00;23,00;39,00;2,00;19,60;2,80;26,60;19,60
2020-03-22;16,00;3,00;18,00;23,00;1,00;17,45;2,91;16,00;20,36
2020-03-29;14,00;8,00;10,00;27,00;1,00;15,40;4,20;15,40;28,00
2020-04-05;12,00;6,00;20,00;24,00;1,00;16,50;1,50;12,00;13,50
2020-04-12;13,00;4,00;19,00;26,00;1,00;17,33;1,44;11,56;8,67
2020-04-19;17,00;6,00;14,00;24,00;1,00;18,42;1,42;9,92;8,50
2020-04-26;10,00;6,00;17,00;28,00;0,50;15,71;1,43;10,00;7,14
2020-05-03;10,00;4,00;13,00;26,00;1,00;14,29;1,43;11,43;7,14
2020-05-10;11,00;6,00;12,00;25,00;1,00;16,50;1,38;8,25;6,88
2020-05-17;14,00;5,00;11,00;31,00;1,00;15,40;2,80;11,20;7,00
2020-05-24;13,00;10,00;16,00;30,00;1,00;20,22;4,33;10,11;5,78
2020-05-31;19,00;7,00;23,00;30,00;1,00;21,92;2,92;11,69;5,85
2020-06-07;18,00;9,00;16,00;33,00;1,00;23,54;1,38;11,08;6,92
2020-06-14;43,00;9,00;21,00;32,00;1,00;27,23;1,43;14,33;7,17
2020-06-21;40,00;11,00;24,00;29,00;1,00;27,14;2,86;14,29;5,71
2020-06-28;22,00;8,00;16,00;33,00;1,00;31,63;1,38;13,75;5,50
2020-07-05;26,00;8,00;26,00;36,00;1,00;28,89;1,44;15,89;5,78
2020-07-12;30,00;6,00;15,00;27,00;2,00;31,43;7,14;12,86;5,71
2020-07-19;32,00;12,00;27,00;29,00;2,00;32,00;4,17;12,52;5,57
2020-07-26;33,00;4,00;28,00;26,00;1,00;37,30;2,87;11,48;7,17
2020-08-02;33,00;9,00;31,00;34,00;1,00;40,17;5,74;12,91;7,17
2020-08-09;30,00;9,00;18,00;25,00;1,00;41,43;2,86;12,86;7,14
2020-08-16;34,00;9,00;18,00;22,00;1,00;42,50;2,83;14,17;5,67
2020-08-23;31,00;15,00;13,00;26,00;1,00;32,48;2,95;11,81;5,90
2020-08-30;19,00;6,00;15,00;17,00;2,00;27,14;4,07;10,86;5,43
2020-09-06;18,00;4,00;12,00;18,00;0,50;24,92;1,38;11,08;5,54
2020-09-13;17,00;6,00;9,00;19,00;1,00;24,08;2,83;9,92;5,67
2020-09-20;14,00;4,00;14,00;19,00;1,00;21,00;1,40;8,40;5,60
2020-09-27;14,00;3,00;13,00;19,00;1,00;22,40;1,40;11,20;5,60
2020-10-04;13,00;4,00;12,00;17,00;1,00;21,67;1,44;11,56;5,78
2020-10-11;12,00;3,00;12,00;16,00;0,50;16,50;1,50;10,50;7,50
2020-10-18;17,00;6,00;17,00;16,00;1,00;14,17;1,42;8,50;5,67
2020-10-25;9,00;3,00;7,00;16,00;0,50;11,57;2,57;7,71;5,14
2020-11-01;7,00;3,00;8,00;15,00;1,00;15,40;1,40;7,00;4,20
2020-11-08;8,00;6,00;9,00;16,00;1,00;13,33;1,33;9,33;6,67
