Disney;BE;CH;DE;ES;FR;IT;NL;UK;US
2019-01-06;69,00;13,00;17,00;28,00;44,00;15,00;40,00;46,00;1,00
2019-01-13;69,00;16,00;17,00;28,00;47,00;18,00;37,00;39,00;1,00
2019-01-20;53,00;12,00;15,00;26,00;39,00;17,00;32,00;34,00;1,00
2019-01-27;45,00;9,00;12,00;23,00;29,00;12,00;27,00;29,00;1,00
2019-02-03;45,00;13,00;11,00;24,00;30,00;10,00;24,00;31,00;1,00
2019-02-10;47,00;12,00;11,00;30,00;35,00;10,00;26,00;31,00;1,00
2019-02-17;47,00;12,00;12,00;31,00;37,00;10,00;26,00;31,00;1,00
2019-02-24;47,00;15,00;11,00;28,00;34,00;11,00;24,00;27,00;1,00
2019-03-03;60,00;13,00;12,00;30,00;36,00;10,00;34,00;32,00;1,00
2019-03-10;49,00;15,00;13,00;29,00;35,00;15,00;34,00;30,00;1,00
2019-03-17;63,00;11,00;14,00;31,00;47,00;18,00;35,00;61,00;1,00
2019-03-24;58,00;15,00;14,00;33,00;47,00;15,00;32,00;40,00;1,00
2019-03-31;65,00;15,00;14,00;27,00;43,00;14,00;39,00;27,00;1,00
2019-04-07;64,00;20,00;15,00;27,00;50,00;15,00;31,00;31,00;1,00
2019-04-14;52,00;25,00;17,00;27,00;51,00;14,00;35,00;26,00;1,00
2019-04-21;49,00;21,00;17,00;26,00;50,00;16,00;36,00;25,00;1,00
2019-04-28;51,00;17,00;18,00;22,00;47,00;13,00;35,00;25,00;1,00
2019-05-05;49,00;15,00;19,00;25,00;38,00;12,00;27,00;26,00;1,00
2019-05-12;47,00;15,00;18,00;26,00;37,00;12,00;27,00;27,00;1,00
2019-05-19;44,00;15,00;18,00;26,00;38,00;12,00;33,00;29,00;1,00
2019-05-26;49,00;18,00;17,00;24,00;47,00;11,00;31,00;33,00;1,00
2019-06-02;53,00;12,00;15,00;28,00;39,00;11,00;28,00;27,00;1,00
2019-06-09;57,00;13,00;18,00;26,00;43,00;14,00;29,00;29,00;1,00
2019-06-16;52,00;13,00;16,00;27,00;42,00;14,00;26,00;30,00;1,00
2019-06-23;46,00;13,00;13,00;23,00;42,00;12,00;23,00;28,00;1,00
2019-06-30;63,00;12,00;14,00;26,00;47,00;13,00;26,00;28,00;1,00
2019-07-07;65,00;16,00;18,00;25,00;47,00;13,00;44,00;29,00;1,00
2019-07-14;73,00;17,00;17,00;29,00;61,00;14,00;40,00;31,00;1,00
2019-07-21;59,00;15,00;16,00;28,00;52,00;14,00;36,00;31,00;1,00
2019-07-28;70,00;18,00;20,00;29,00;54,00;16,00;37,00;34,00;1,00
2019-08-04;70,00;12,00;16,00;29,00;60,00;16,00;43,00;35,00;1,00
2019-08-11;65,00;16,00;16,00;28,00;61,00;17,00;34,00;32,00;1,00
2019-08-18;66,00;15,00;15,00;30,00;57,00;17,00;34,00;33,00;1,00
2019-08-25;56,00;15,00;15,00;32,00;50,00;17,00;26,00;32,00;1,00
2019-09-01;65,00;18,00;16,00;26,00;47,00;15,00;32,00;32,00;1,00
2019-09-08;74,00;21,00;16,00;25,00;50,00;14,00;48,00;37,00;1,00
2019-09-15;75,00;19,00;16,00;24,00;49,00;15,00;39,00;38,00;1,00
2019-09-22;94,00;20,00;20,00;28,00;55,00;13,00;43,00;38,00;1,00
2019-09-29;81,00;19,00;21,00;25,00;53,00;15,00;37,00;36,00;1,00
2019-10-06;65,00;18,00;16,00;25,00;58,00;14,00;43,00;31,00;1,00
2019-10-13;60,00;20,00;15,00;22,00;56,00;18,00;39,00;32,00;1,00
2019-10-20;63,00;17,00;14,00;19,00;64,00;19,00;32,00;33,00;1,00
2019-10-27;67,00;15,00;14,00;22,00;61,00;19,00;29,00;28,00;1,00
2019-11-03;60,00;13,00;12,00;24,00;51,00;15,00;35,00;27,00;1,00
2019-11-10;66,00;14,00;12,00;23,00;58,00;17,00;34,00;23,00;1,00
2019-11-17;63,00;14,00;13,00;30,00;53,00;21,00;32,00;24,00;1,00
2019-11-24;59,00;11,00;12,00;26,00;51,00;16,00;26,00;21,00;2,00
2019-12-01;45,00;13,00;12,00;23,00;50,00;15,00;27,00;20,00;1,00
2019-12-08;52,00;11,00;12,00;21,00;47,00;13,00;29,00;18,00;2,00
2019-12-15;57,00;14,00;13,00;19,00;51,00;11,00;32,00;21,00;2,00
2019-12-22;86,00;22,00;18,00;22,00;76,00;14,00;35,00;36,00;2,00
2019-12-29;76,00;14,00;18,00;25,00;68,00;18,00;38,00;52,00;2,00
2020-01-05;68,00;19,00;23,00;27,00;50,00;15,00;39,00;45,00;2,00
2020-01-12;72,00;18,00;23,00;28,00;45,00;25,00;42,00;43,00;2,00
2020-01-19;61,00;18,00;20,00;25,00;43,00;24,00;39,00;40,00;2,00
2020-01-26;57,00;15,00;16,00;26,00;42,00;21,00;34,00;33,00;2,00
2020-02-02;61,00;15,00;14,00;28,00;45,00;15,00;28,00;31,00;2,00
2020-02-09;48,00;19,00;13,00;28,00;44,00;13,00;30,00;36,00;2,00
2020-02-16;59,00;15,00;14,00;29,00;57,00;14,00;33,00;40,00;2,00
2020-02-23;70,00;13,00;13,00;25,00;60,00;9,00;32,00;32,00;2,00
2020-03-01;60,00;10,00;13,00;27,00;57,00;9,00;34,00;33,00;2,00
2020-03-08;98,00;20,00;20,00;34,00;100,00;8,00;47,00;52,00;2,00
2020-03-15;17,00;5,00;5,00;7,00;11,00;4,00;12,00;10,00;1,00
2020-03-22;16,00;5,00;4,00;8,00;10,00;4,00;11,00;7,00;1,00
