Disney;BE;CH;DE;ES;FR;IT;NL;UK;US
2019-01-06;70,00;12,00;17,00;28,00;45,00;14,00;38,00;45,00;1,00
2019-01-13;70,00;16,00;17,00;28,00;47,00;19,00;38,00;39,00;1,00
2019-01-20;53,00;13,00;15,00;26,00;39,00;17,00;32,00;33,00;1,00
2019-01-27;45,00;10,00;12,00;24,00;30,00;12,00;27,00;29,00;1,00
2019-02-03;45,00;12,00;11,00;24,00;31,00;10,00;24,00;31,00;1,00
2019-02-10;46,00;13,00;11,00;29,00;35,00;10,00;25,00;31,00;1,00
2019-02-17;47,00;11,00;12,00;30,00;37,00;10,00;26,00;31,00;1,00
2019-02-24;45,00;15,00;11,00;28,00;33,00;11,00;24,00;27,00;1,00
2019-03-03;61,00;12,00;12,00;30,00;37,00;10,00;34,00;32,00;1,00
2019-03-10;48,00;13,00;13,00;28,00;35,00;15,00;34,00;31,00;1,00
2019-03-17;62,00;10,00;14,00;31,00;47,00;18,00;36,00;61,00;1,00
2019-03-24;58,00;14,00;14,00;33,00;46,00;15,00;32,00;40,00;1,00
2019-03-31;63,00;15,00;14,00;26,00;45,00;14,00;39,00;27,00;1,00
2019-04-07;63,00;20,00;15,00;27,00;50,00;15,00;31,00;31,00;1,00
2019-04-14;51,00;25,00;17,00;27,00;51,00;14,00;34,00;26,00;1,00
2019-04-21;50,00;20,00;17,00;26,00;50,00;16,00;36,00;25,00;1,00
2019-04-28;49,00;17,00;18,00;21,00;47,00;14,00;35,00;25,00;1,00
2019-05-05;49,00;15,00;19,00;25,00;38,00;12,00;27,00;26,00;1,00
2019-05-12;47,00;14,00;18,00;26,00;36,00;12,00;27,00;27,00;1,00
2019-05-19;46,00;15,00;19,00;26,00;38,00;12,00;33,00;28,00;1,00
2019-05-26;48,00;18,00;17,00;25,00;46,00;11,00;31,00;32,00;1,00
2019-06-02;53,00;13,00;16,00;27,00;38,00;11,00;28,00;27,00;1,00
2019-06-09;56,00;12,00;20,00;27,00;43,00;14,00;29,00;28,00;1,00
2019-06-16;53,00;14,00;16,00;27,00;41,00;14,00;26,00;30,00;1,00
2019-06-23;47,00;12,00;13,00;23,00;42,00;12,00;23,00;28,00;1,00
2019-06-30;63,00;12,00;14,00;27,00;46,00;13,00;25,00;28,00;1,00
2019-07-07;65,00;14,00;18,00;25,00;46,00;13,00;44,00;29,00;1,00
2019-07-14;72,00;16,00;18,00;28,00;61,00;14,00;40,00;31,00;1,00
2019-07-21;60,00;14,00;16,00;28,00;52,00;14,00;35,00;31,00;1,00
2019-07-28;71,00;17,00;20,00;28,00;54,00;16,00;37,00;34,00;1,00
2019-08-04;69,00;13,00;16,00;29,00;60,00;16,00;43,00;35,00;1,00
2019-08-11;66,00;16,00;16,00;28,00;62,00;17,00;34,00;32,00;1,00
2019-08-18;68,00;14,00;15,00;29,00;57,00;17,00;33,00;33,00;1,00
2019-08-25;55,00;15,00;15,00;32,00;50,00;17,00;26,00;32,00;1,00
2019-09-01;65,00;17,00;16,00;26,00;47,00;16,00;31,00;32,00;1,00
2019-09-08;73,00;20,00;16,00;24,00;50,00;14,00;48,00;37,00;1,00
2019-09-15;75,00;19,00;16,00;24,00;49,00;15,00;39,00;38,00;1,00
2019-09-22;92,00;21,00;20,00;28,00;55,00;14,00;42,00;38,00;1,00
2019-09-29;81,00;19,00;20,00;25,00;53,00;15,00;37,00;36,00;1,00
2019-10-06;65,00;17,00;17,00;25,00;58,00;13,00;43,00;31,00;1,00
2019-10-13;60,00;19,00;15,00;22,00;56,00;18,00;39,00;32,00;1,00
