Ski;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;67,00;63,81;86,14;25,52;12,76;24,00;42,00;36,00;17,00
2019-01-13;67,00;49,86;91,93;18,70;10,91;19,00;37,00;30,00;17,00
2019-01-20;73,00;49,70;85,43;17,09;15,53;21,00;33,00;29,00;16,00
2019-01-27;70,00;51,33;85,56;20,22;17,11;16,00;28,00;24,00;14,00
2019-02-03;77,00;36,14;99,00;22,00;18,86;16,00;25,00;24,00;13,00
2019-02-10;82,00;28,38;105,65;18,92;17,35;17,00;31,00;23,00;14,00
2019-02-17;80,00;31,37;98,82;15,69;14,12;17,00;30,00;23,00;14,00
2019-02-24;58,00;39,19;75,24;14,11;12,54;13,00;23,00;18,00;11,00
2019-03-03;43,00;32,25;53,75;10,75;10,75;12,00;20,00;16,00;10,00
2019-03-10;33,00;25,14;56,57;9,43;9,43;11,00;16,00;12,00;8,00
2019-03-17;26,00;19,88;47,41;7,65;6,12;8,00;10,00;13,00;6,00
2019-03-24;19,00;14,25;31,67;4,75;4,75;6,00;8,00;10,00;5,00
2019-03-31;16,00;20,80;27,20;3,20;4,80;6,00;7,00;9,00;4,00
2019-04-07;14,00;12,44;21,78;3,11;4,67;5,00;7,00;10,00;3,00
2019-04-14;12,00;7,50;22,50;3,00;4,50;5,00;4,00;7,00;3,00
2019-04-21;7,00;7,00;9,80;1,40;2,80;5,00;5,00;6,00;2,00
2019-04-28;6,00;6,00;7,50;1,50;1,50;3,00;6,00;5,00;2,00
2019-05-05;5,00;5,00;8,33;1,67;1,67;2,00;5,00;5,00;2,00
2019-05-12;4,00;6,00;6,00;2,00;2,00;3,00;4,00;4,00;2,00
2019-05-19;4,00;6,00;6,00;2,00;2,00;1,00;4,00;5,00;2,00
2019-05-26;4,00;4,00;8,00;2,00;2,00;2,00;4,00;4,00;2,00
2019-06-02;4,00;8,00;6,00;2,00;2,00;2,00;4,00;5,00;2,00
2019-06-09;5,00;5,00;6,67;1,67;1,67;2,00;5,00;5,00;2,00
2019-06-16;4,00;5,33;2,67;1,33;1,33;3,00;4,00;5,00;2,00
2019-06-23;4,00;4,00;5,33;1,33;1,33;3,00;3,00;5,00;2,00
2019-06-30;5,00;5,00;8,33;1,67;1,67;2,00;5,00;6,00;3,00
2019-07-07;6,00;6,00;6,00;1,50;1,50;2,00;7,00;5,00;2,00
2019-07-14;6,00;7,50;6,00;1,50;1,50;2,00;6,00;6,00;3,00
2019-07-21;9,00;9,00;6,00;1,50;3,00;3,00;8,00;6,00;3,00
2019-07-28;9,00;12,00;9,00;1,50;1,50;4,00;9,00;7,00;3,00
2019-08-04;10,00;15,00;8,33;1,67;1,67;4,00;8,00;6,00;3,00
2019-08-11;12,00;19,50;10,50;3,00;1,50;4,00;12,00;8,00;3,00
2019-08-18;13,00;14,44;11,56;1,44;2,89;5,00;12,00;8,00;3,00
2019-08-25;13,00;14,63;9,75;3,25;3,25;5,00;10,00;8,00;3,00
2019-09-01;13,00;16,25;13,00;3,25;4,88;4,00;14,00;9,00;3,00
2019-09-08;15,00;25,50;9,00;3,00;3,00;5,00;16,00;10,00;3,00
2019-09-15;14,00;23,33;15,56;3,11;3,11;6,00;13,00;10,00;4,00
2019-09-22;16,00;24,00;14,40;3,20;3,20;5,00;15,00;11,00;4,00
2019-09-29;18,00;19,50;12,00;4,50;3,00;5,00;16,00;11,00;4,00
2019-10-06;18,00;26,18;21,27;4,91;3,27;6,00;18,00;13,00;5,00
2019-10-13;19,00;26,92;17,42;4,75;3,17;6,00;16,00;13,00;5,00
2019-10-20;22,00;22,00;17,29;6,29;4,71;7,00;16,00;14,00;5,00
2019-10-27;22,00;31,43;17,29;6,29;4,71;7,00;19,00;13,00;5,00
2019-11-03;29,00;21,37;22,89;6,11;6,11;10,00;20,00;14,00;7,00
2019-11-10;41,00;31,54;36,27;7,88;11,04;15,00;21,00;15,00;7,00
2019-11-17;43,00;31,85;50,96;9,56;11,15;16,00;21,00;15,00;8,00
2019-11-24;39,00;31,20;42,12;7,80;12,48;15,00;19,00;14,00;9,00
2019-12-01;40,00;25,60;52,80;11,20;16,00;17,00;20,00;15,00;11,00
2019-12-08;44,00;28,29;62,86;11,00;12,57;18,00;23,00;17,00;11,00
2019-12-15;50,00;37,50;64,06;12,50;12,50;21,00;27,00;18,00;14,00
2019-12-22;87,00;43,50;130,50;21,75;15,54;37,00;35,00;26,00;18,00
2019-12-29;90,00;50,53;157,89;22,11;20,53;45,00;37,00;31,00;19,00
2020-01-05;64,00;46,83;96,78;17,17;14,05;28,00;38,00;31,00;15,00
2020-01-12;65,00;50,73;84,02;15,85;11,10;23,00;36,00;28,00;15,00
2020-01-19;71,00;52,07;77,31;14,20;15,78;21,00;33,00;25,00;14,00
2020-01-26;65,00;42,80;77,68;12,68;15,85;18,00;28,00;23,00;11,00
2020-02-02;68,00;37,95;90,14;14,23;12,65;21,00;33,00;23,00;12,00
2020-02-09;71,00;34,71;105,71;12,62;11,04;18,00;38,00;22,00;12,00
2020-02-16;70,00;42,00;98,00;10,89;9,33;18,00;35,00;21,00;13,00
2020-02-23;60,00;50,53;82,11;12,63;9,47;16,00;34,00;25,00;10,00
2020-03-01;45,00;40,34;49,66;9,31;6,21;17,00;32,00;19,00;8,00
2020-03-08;67,00;89,33;100,50;14,36;6,38;9,00;49,00;31,00;8,00
2020-03-15;21,00;17,77;14,54;1,62;1,62;2,00;9,00;11,00;6,00
2020-03-22;4,00;4,00;4,00;1,33;1,33;2,00;4,00;3,00;2,00
2020-03-29;4,00;4,00;2,67;0,67;1,33;2,00;2,00;4,00;2,00
2020-04-05;4,00;6,00;8,00;2,00;2,00;2,00;2,00;4,00;2,00
2020-04-12;3,00;4,50;3,00;0,75;1,50;1,00;2,00;4,00;2,00
2020-04-19;3,00;1,50;3,00;0,75;1,50;1,00;3,00;3,00;2,00
2020-04-26;4,00;4,00;4,00;1,00;2,00;2,00;1,00;3,00;2,00
2020-05-03;3,00;3,00;4,50;0,75;1,50;1,00;2,00;4,00;2,00
2020-05-10;3,00;3,00;4,50;1,50;1,50;1,00;2,00;3,00;2,00
2020-05-17;4,00;2,67;4,00;0,67;1,33;2,00;2,00;3,00;2,00
2020-05-24;3,00;3,00;6,00;0,75;0,75;2,00;3,00;3,00;2,00
2020-05-31;4,00;2,67;5,33;1,33;0,67;2,00;3,00;4,00;2,00
2020-06-07;5,00;3,33;6,67;1,67;1,67;3,00;4,00;4,00;2,00
2020-06-14;4,00;4,00;2,67;1,33;1,33;3,00;4,00;4,00;2,00
2020-06-21;4,00;4,00;2,67;1,33;1,33;2,00;2,00;4,00;2,00
