Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Marseille (FR);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;23,00;147,86;197,14;141,29;141,29;95,54;1,77;58,38;92,00;141,29;49,29;108,43;64,40;96,60;105,80;36,80;49,29;73,38;5,48;10,00;36,00;20,00;6,00;12,00;3,00;3,00;3,00;3,00;1,00;6,00;1,00;1,00
2019-01-13;21,00;135,00;201,00;129,00;135,00;105,00;1,75;59,50;98,00;161,00;52,50;122,50;68,25;120,75;131,25;47,25;48,30;75,60;5,25;11,00;38,00;24,00;4,00;11,00;5,00;5,00;4,00;3,00;1,00;5,00;0,50;0,50
2019-01-20;22,00;125,71;191,71;138,29;141,43;100,83;1,83;78,83;97,17;135,14;44,00;103,71;52,80;92,40;105,60;39,60;49,24;73,33;6,29;8,00;36,00;19,00;4,00;11,00;3,00;4,00;2,00;3,00;2,00;4,00;1,00;1,00
2019-01-27;17,00;149,60;204,00;153,00;122,40;61,20;0,85;69,70;90,10;125,80;57,80;119,00;59,50;93,50;93,50;38,25;49,94;80,75;5,31;11,00;35,00;24,00;7,00;11,00;2,00;4,00;3,00;3,00;1,00;5,00;1,00;1,00
2019-02-03;14,00;140,00;185,50;161,00;122,50;54,25;1,75;70,00;98,00;126,00;52,50;129,50;60,67;126,00;107,33;51,33;51,69;75,38;6,46;9,00;35,00;22,00;5,00;9,00;2,00;7,00;3,00;3,00;1,00;7,00;1,00;1,00
2019-02-10;16,00;147,20;188,80;144,00;118,40;56,89;1,78;71,11;106,67;118,40;44,80;121,60;74,67;122,67;117,33;64,00;51,20;77,87;5,33;9,00;35,00;22,00;5,00;11,00;1,00;6,00;4,00;4,00;1,00;8,00;1,00;1,00
2019-02-17;18,00;135,00;159,00;135,00;99,00;61,20;1,80;70,20;100,80;136,80;64,80;147,60;63,00;108,00;103,50;49,50;51,88;70,94;10,59;7,00;35,00;22,00;7,00;8,00;1,00;5,00;3,00;3,00;0,50;9,00;1,00;1,00
2019-02-24;16,00;153,60;176,00;163,20;118,40;65,78;1,78;81,78;97,78;128,00;57,60;121,60;74,67;144,00;117,33;64,00;48,00;69,33;5,33;11,00;30,00;15,00;7,00;12,00;2,00;4,00;2,00;4,00;2,00;8,00;1,00;0,50
2019-03-03;17,00;166,60;207,40;170,00;129,20;59,50;1,70;68,00;102,00;149,60;74,80;139,40;59,50;106,25;97,75;51,00;56,31;69,06;6,38;7,00;35,00;25,00;10,00;19,00;2,00;4,00;2,00;3,00;2,00;9,00;0,50;1,00
2019-03-10;20,00;163,33;193,33;163,33;123,33;63,64;1,82;78,18;109,09;133,33;73,33;133,33;70,00;130,00;115,00;60,00;44,44;82,22;6,67;11,00;30,00;19,00;5,00;15,00;2,00;8,00;2,00;2,00;3,00;10,00;1,00;0,50
2019-03-17;22,00;157,14;185,43;179,14;113,14;66,00;1,83;71,50;111,83;128,86;56,57;125,71;70,40;114,40;101,20;57,20;49,24;76,48;6,29;12,00;34,00;22,00;7,00;11,00;2,00;6,00;4,00;3,00;2,00;10,00;1,00;1,00
2019-03-24;18,00;147,00;171,00;162,00;114,00;55,80;1,80;73,80;118,80;132,00;57,00;108,00;72,00;108,00;108,00;67,50;47,65;73,06;4,24;10,00;31,00;21,00;9,00;11,00;2,00;6,00;2,00;2,00;3,00;9,00;1,00;1,00
2019-03-31;24,00;171,43;171,43;164,57;164,57;112,62;1,85;73,85;116,31;192,00;68,57;178,29;76,80;124,80;110,40;62,40;54,55;65,45;7,64;12,00;32,00;24,00;8,00;10,00;5,00;4,00;2,00;5,00;3,00;5,00;1,00;0,50
2019-04-07;37,00;188,08;175,75;169,58;169,58;111,00;1,76;84,57;176,19;222,00;80,73;158,09;83,25;129,50;120,25;69,38;52,86;70,83;8,46;13,00;31,00;26,00;6,00;11,00;4,00;4,00;3,00;4,00;2,00;6,00;1,00;1,00
2019-04-14;35,00;318,18;171,82;200,45;168,64;117,89;1,84;79,21;151,05;273,00;73,50;150,50;95,00;170,00;150,00;95,00;48,79;77,42;6,36;16,00;38,00;22,00;9,00;12,00;4,00;5,00;5,00;3,00;1,00;6,00;1,00;0,50
2019-04-21;35,00;155,91;168,64;159,09;159,09;101,50;1,75;66,50;99,75;206,82;60,45;108,18;85,00;140,00;130,00;80,00;48,79;63,64;5,30;14,00;39,00;29,00;12,00;10,00;5,00;4,00;4,00;3,00;2,00;10,00;1,00;1,00
2019-04-28;30,00;156,67;176,67;153,33;166,67;109,41;1,76;68,82;95,29;213,33;60,00;130,00;85,00;160,00;115,00;75,00;54,64;64,29;6,43;14,00;44,00;29,00;9,00;9,00;5,00;4,00;3,00;3,00;2,00;7,00;0,50;0,50
2019-05-05;27,00;155,25;192,38;141,75;182,25;106,20;1,80;90,00;97,20;185,63;67,50;131,63;67,50;130,50;108,00;54,00;51,92;67,50;6,23;14,00;37,00;18,00;8,00;12,00;7,00;6,00;5,00;2,00;2,00;8,00;1,00;1,00
2019-05-12;32,00;160,00;160,00;144,00;153,60;113,78;1,78;72,89;101,33;176,00;57,60;118,40;73,14;137,14;109,71;68,57;49,07;66,13;7,47;15,00;36,00;23,00;6,00;12,00;5,00;6,00;4,00;2,00;2,00;6,00;1,00;1,00
2019-05-19;28,00;164,89;143,11;143,11;146,22;108,50;1,75;66,50;96,25;203,00;63,00;122,50;65,33;140,00;116,67;70,00;53,85;70,00;12,92;15,00;41,00;34,00;6,00;19,00;5,00;4,00;3,00;3,00;2,00;6,00;2,00;1,00
2019-05-26;36,00;160,36;157,09;150,55;166,91;100,80;3,60;77,40;95,40;206,18;58,91;124,36;195,43;164,57;138,86;82,29;52,94;66,71;10,59;15,00;40,00;33,00;9,00;13,00;4,00;6,00;5,00;2,00;3,00;12,00;2,00;1,00
2019-06-02;38,00;171,00;174,17;145,67;158,33;101,33;1,81;68,76;94,10;214,18;58,73;124,36;99,75;304,00;114,00;71,25;48,56;66,50;8,44;15,00;40,00;28,00;8,00;10,00;4,00;5,00;4,00;5,00;2,00;6,00;1,00;1,00
2019-06-09;38,00;174,17;158,33;148,83;161,50;106,76;1,81;65,14;101,33;224,55;65,64;124,36;80,75;156,75;128,25;76,00;52,78;61,22;7,39;16,00;49,00;27,00;9,00;12,00;6,00;6,00;5,00;4,00;2,00;8,00;2,00;1,00
2019-06-16;44,00;154,00;154,00;150,86;138,29;102,67;1,83;69,67;89,83;213,23;60,92;148,92;83,11;146,67;127,11;88,00;51,51;68,68;9,66;16,00;47,00;34,00;10,00;10,00;6,00;5,00;5,00;2,00;3,00;7,00;1,00;1,00
