Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;50,00;5,00;4,00;12,00;9,00;6,00;1,00;15,00;2,00;5,00;1,25;40,00;32,50;44,00;0,00;11,00;9,00;2,17;0,00;93,48;0,00;0,00;5,00;1,00;4,00;1,00;0,00;0,00;4,00;6,00;11,00;2,00;4,00;1,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;28,00;7,00;0,00;11,00;8,00;2,00;1,00;8,00;2,00;2,55;1,27;15,27;40,73;8,00;0,00;4,00;5,00;4,31;0,00;66,77;2,15;1,00;5,00;2,00;4,00;0,00;0,00;1,00;0,00;2,00;17,00;1,00;2,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;48,00;7,00;2,00;6,00;8,00;1,00;5,00;3,00;0,00;0,00;1,26;7,58;20,21;3,00;0,00;3,00;5,00;2,18;2,18;102,55;2,18;1,00;5,00;0,00;3,00;2,00;0,00;1,00;2,00;5,00;14,00;2,00;9,00;6,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;21,00;4,00;3,00;8,00;5,00;1,00;1,00;4,00;1,00;1,17;0,00;7,00;28,00;3,00;0,00;1,00;6,00;0,00;2,10;88,20;2,10;0,00;0,00;0,00;6,00;1,00;0,00;2,00;2,00;1,00;14,00;0,00;8,00;2,00;0,00;1,00;3,00;1,00;0,00;0,00;0,00;0,00
2019-02-03;33,00;2,00;6,00;7,00;5,00;1,00;1,00;5,00;0,00;1,27;0,00;10,15;22,85;3,00;2,00;7,00;3,00;2,20;0,00;59,40;0,00;1,00;2,00;0,00;8,00;0,00;2,00;1,00;2,00;3,00;4,00;0,00;9,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;32,00;3,00;7,00;13,00;5,00;4,00;2,00;3,00;1,00;1,23;1,23;4,92;27,08;2,00;2,00;8,00;1,00;2,29;0,00;80,00;0,00;2,00;5,00;0,00;6,00;1,00;1,00;0,00;1,00;2,00;2,00;2,00;4,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;21,00;7,00;5,00;7,00;6,00;1,00;2,00;5,00;0,00;2,63;0,00;13,13;26,25;2,00;2,00;7,00;1,00;4,67;2,33;93,33;0,00;0,00;5,00;2,00;7,00;1,00;0,00;6,00;0,00;5,00;6,00;1,00;4,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;34,00;5,00;8,00;11,00;11,00;0,00;0,00;5,00;0,00;2,43;1,21;4,86;26,71;1,00;0,00;11,00;2,00;2,27;0,00;81,60;2,27;0,00;6,00;2,00;6,00;2,00;1,00;1,00;0,00;1,00;7,00;3,00;4,00;4,00;0,00;0,00;0,00;8,00;0,00;0,00;1,00;0,00
2019-03-03;44,00;11,00;5,00;9,00;8,00;1,00;2,00;4,00;1,00;0,00;1,22;9,78;29,33;2,00;1,00;4,00;4,00;2,20;2,20;68,20;2,20;0,00;1,00;0,00;5,00;0,00;2,00;2,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;1,00;1,00;9,00;0,00;0,00;0,00;0,00
2019-03-10;34,00;2,00;12,00;5,00;9,00;6,00;4,00;6,00;0,00;2,43;1,21;9,71;34,00;2,00;1,00;7,00;7,00;2,27;0,00;49,87;0,00;0,00;4,00;0,00;5,00;0,00;0,00;4,00;2,00;1,00;4,00;0,00;1,00;1,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
