Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;45,00;930,00;1095,00;195,00;540,00;697,50;11,25;427,50;112,50;172,50;105,00;135,00;183,75;135,00;393,75;78,75;11,25;261,00;369,00;18,00;94,50;21,60;84,60;46,80;50,40;14,14;34,71;38,57;14,14;7,00;3,00;1,00;4,00;22,00;2,00;1,00
2019-01-13;44,00;894,67;997,33;205,33;542,67;594,00;11,00;396,00;110,00;161,33;102,67;128,33;187,00;132,00;374,00;77,00;11,00;220,00;347,60;22,00;123,20;22,00;82,50;40,33;53,17;18,86;26,40;47,77;21,37;7,00;5,00;3,00;8,00;18,00;1,00;3,00
2019-01-20;47,00;908,67;1065,33;203,67;517,00;681,50;11,75;399,50;141,00;162,69;97,62;130,15;188,00;141,00;399,50;70,50;11,75;249,10;390,10;23,50;103,40;19,88;83,15;48,81;56,04;17,78;29,22;39,38;12,70;8,00;4,00;5,00;9,00;16,00;3,00;1,00
2019-01-27;41,00;792,67;888,33;191,33;464,67;553,50;10,25;307,50;102,50;160,27;89,45;123,00;182,64;112,75;317,75;71,75;10,25;268,78;314,33;18,22;82,00;16,04;85,57;41,00;53,48;17,39;32,30;44,73;14,91;9,00;2,00;5,00;5,00;19,00;2,00;1,00
2019-02-03;49,00;698,25;771,75;159,25;404,25;637,00;12,25;416,50;122,50;147,00;98,00;122,50;175,00;107,80;323,40;68,60;19,60;240,55;334,09;17,82;89,09;23,59;81,67;41,74;43,56;13,82;36,44;45,23;17,59;5,00;4,00;3,00;5,00;12,00;1,00;3,00
2019-02-10;45,00;855,00;1020,00;195,00;510,00;675,00;11,25;337,50;135,00;165,00;101,25;123,75;176,25;123,75;416,25;78,75;11,25;243,00;333,00;18,00;81,00;21,60;72,00;41,40;48,60;20,57;33,43;38,57;18,00;9,00;6,00;4,00;9,00;16,00;3,00;5,00
2019-02-17;44,00;924,00;997,33;205,33;572,00;638,00;11,00;396,00;132,00;183,33;102,67;132,00;209,00;143,00;418,00;66,00;11,00;278,67;391,11;19,56;92,89;20,17;80,67;44,00;56,83;15,09;36,46;45,26;15,09;6,00;3,00;2,00;13,00;13,00;2,00;4,00
2019-02-24;48,00;732,00;816,00;156,00;504,00;672,00;12,00;480,00;144,00;192,00;103,38;136,62;192,00;115,20;345,60;76,80;9,60;249,60;374,40;19,20;100,80;19,56;80,00;40,89;48,00;17,68;30,32;39,16;13,89;9,00;7,00;3,00;6,00;16,00;2,00;1,00
2019-03-03;51,00;867,00;930,75;204,00;522,75;765,00;12,75;535,50;153,00;204,00;112,93;142,07;200,36;153,00;397,80;81,60;10,20;296,73;384,82;23,18;102,00;25,50;94,71;56,46;63,75;14,03;30,60;39,53;19,13;10,00;8,00;4,00;13,00;18,00;1,00;4,00
2019-03-10;60,00;1020,00;1080,00;225,00;630,00;620,00;10,00;400,00;120,00;191,25;101,25;135,00;225,00;130,00;380,00;70,00;10,00;272,31;443,08;18,46;115,38;25,45;89,09;45,45;65,45;25,53;35,74;53,62;20,43;13,00;4,00;2,00;7,00;21,00;1,00;5,00
2019-03-17;57,00;897,75;997,50;199,50;555,75;551,00;9,50;342,00;114,00;171,00;92,63;142,50;174,56;136,80;421,80;79,80;11,40;275,50;432,25;23,75;114,00;22,06;93,77;51,48;57,00;17,73;35,47;40,53;22,80;6,00;6,00;4,00;10,00;32,00;0,50;4,00
2019-03-24;58,00;942,50;1000,50;203,00;565,50;580,00;9,67;348,00;116,00;174,00;119,63;137,75;184,88;125,67;348,00;67,67;19,33;265,83;415,67;19,33;130,50;16,31;85,19;50,75;50,75;20,17;31,52;42,87;18,91;9,00;6,00;1,00;10,00;20,00;2,00;3,00
